raw_nacionalidad,propuesta_nacionalidad
Alemania,alemania
Apátridas,apatridas
Argelia,argelia
Argentina,argentina
Bangladesh,bangladesh
Bélgica,belgica
Bolivia,bolivia
Brasil,brasil
Bulgaria,bulgaria
Canadá,canada
Chile,chile
China,china
Colombia,colombia
Cuba,cuba
De Africa,de africa
De América del Norte,de america del norte
De Asia,de asia
De Centro América y Caribe,de centro america y caribe
De Oceanía,de oceania
De Sudamérica,de sudamerica
Dinamarca,dinamarca
Ecuador,ecuador
Española,espanola
Estados Unidos de América,estados unidos de america
Extranjera,extranjera
Filipinas,filipinas
Finlandia,finlandia
Francia,francia
Gambia,gambia
Ghana,ghana
Guinea,guinea
Guinea Ecuatorial,guinea ecuatorial
Honduras,honduras
India,india
Irlanda,irlanda
Italia,italia
Lituania,lituania
Mali,mali
Marruecos,marruecos
Mauritania,mauritania
México,mexico
Moldavia,moldavia
Nicaragua,nicaragua
Nigeria,nigeria
Noruega,noruega
Otro país de África,otro pais de africa
Otro país de Asia,otro pais de asia
Otro país de la Unión Europea sin España,otro pais de la union europea sin espana
Otro país de Sudamérica,otro pais de sudamerica
Otro país del resto de Europa,otro pais del resto de europa
Otros países de Centro América y Caribe,otros paises de centro america y caribe
País de Europa menos UE27_2020,pais de europa menos ue27_2020
País de Europa menos UE28,pais de europa menos ue28
País de la UE27_2020 sin España,pais de la ue27_2020 sin espana
País de la UE28 sin España,pais de la ue28 sin espana
Países Bajos,paises bajos
Pakistán,pakistan
Paraguay,paraguay
Perú,peru
Polonia,polonia
Portugal,portugal
Reino Unido,reino unido
República Dominicana,republica dominicana
Rumanía,rumania
Rusia,rusia
Senegal,senegal
Suecia,suecia
Suiza,suiza
Total,total
Ucrania,ucrania
Uruguay,uruguay
Venezuela,venezuela
