raw_region,propuesta_region
ANDALUCÍA,andalucia
Andalucía,andalucia
ARAGÓN,aragon
Aragón,aragon
ASTURIAS (PRINCIPADO DE),asturias (principado de)
"Asturias, Principado de","asturias, principado de"
BALEARS (ILLES),balears (illes)
"Balears, Illes","balears, illes"
CANARIAS,canarias
Canarias,canarias
CANTABRIA,cantabria
Cantabria,cantabria
CASTILLA - LA MANCHA,castilla - la mancha
Castilla - La Mancha,castilla - la mancha
CASTILLA Y LEÓN,castilla y leon
Castilla y León,castilla y leon
CATALUÑA,cataluna
Cataluña,cataluna
Ceuta,ceuta
CIUDAD AUTÓNOMA DE CEUTA,ciudad autonoma de ceuta
CIUDAD AUTÓNOMA DE MELILLA,ciudad autonoma de melilla
COMUNITAT VALENCIANA,comunitat valenciana
Comunitat Valenciana,comunitat valenciana
EN EL EXTRANJERO,en el extranjero
EXTREMADURA,extremadura
Extremadura,extremadura
GALICIA,galicia
Galicia,galicia
MADRID (COMUNIDAD DE),madrid (comunidad de)
"Madrid, Comunidad de","madrid, comunidad de"
Melilla,melilla
MURCIA (REGIÓN DE),murcia (region de)
"Murcia, Región de","murcia, region de"
NAVARRA (COMUNIDAD FORAL DE),navarra (comunidad foral de)
"Navarra, Comunidad Foral de","navarra, comunidad foral de"
PAÍS VASCO,pais vasco
País Vasco,pais vasco
RIOJA (LA),rioja (la)
"Rioja, La","rioja, la"
TOTAL NACIONAL,total nacional
Total Nacional,total nacional
