ano,componente,valor
2010,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),26.1
2011,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),26.7
2012,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),27.2
2013,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),27.3
2014,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),29.2
2015,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),28.6
2016,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),27.9
2017,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),26.6
2018,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),26.1
2019,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),25.3
2020,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),26.4
2021,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),27.6
2022,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),26.3
2023,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),26.9
