ano,pib_pc_real,tasa_hc_100k,tasa_he_100k,share_extranjeros,pct_extranjeros,poblacion_total,hc_total,he_total,det_tot,det_ext,paro_joven,arope
2010,24510,4934.195626981491,1557.0368100859223,20.129386492540963,0.11498059499962664,46562483,2297484,724995,1043231,209996,37.447825977640946,26.1
2011,24260,4890.261109271117,1575.1689314786163,19.02000222198816,0.1127488236809379,46736257,2285525,736175,1386146,263645,40.88814006826856,26.7
2012,23560,4853.263801601492,1559.2296638091054,18.39593638776067,0.109877167580445,46749303,2268867,728929,1369422,251918,47.5012226583187,27.2
2013,23310,4663.118476917818,1580.8291787892451,17.899620214809563,0.10439185623773269,46581124,2172133,736368,1359716,243384,49.817603613456015,27.3
2014,23730,4505.497700452587,1540.620312471397,16.35578962195494,0.09737421944067856,46433050,2092040,715357,1277890,209009,47.021067685735886,29.2
2015,24720,4391.1658276162325,1422.4336171451168,15.643093659406226,0.09516925946125096,46384379,2036815,659787,1120731,175317,44.23111766054698,28.6
2016,25420,4328.700263423733,1381.4194726786725,15.999108777072738,0.09446665848179188,46427100,2009690,641353,1086148,173774,40.35349424936562,27.9
2017,26110,4398.54595292014,1407.9004721109943,15.895195244554664,0.0956945578329142,46510461,2045784,654821,1107278,176004,35.926248140674545,26.6
2018,26620,4561.9191434222,1441.9104730448212,16.368873746486543,0.10003026198029888,46715383,2131118,673594,1160538,189967,32.24982026342606,26.1
2019,26930,4671.010384053374,1491.988005889766,17.04592969159297,0.1068990981056698,47087778,2199475,702544,1210154,206282,30.10717126596086,25.3
2020,23850,3731.7235673268137,1302.4964150273402,20.78326177606432,0.11289890609437324,47344852,1766779,616665,1214179,252346,36.078194573620614,26.4
2021,25440,4134.8465185720115,1447.579306038528,21.141882973381723,0.1133912094991944,47346836,1957719,685383,1330364,281264,33.7132933400969,27.6
2022,26770,4861.886082173393,1614.2321960989218,22.44150882275112,0.12111446234863918,47781354,2323075,771302,1500269,336683,28.14816682489508,26.3
2023,27150,5100.853633197656,1750.4881983885934,23.49106735187542,0.13008059515915807,48320520,2464759,845845,1646992,386896,27.063685519287,26.9
