ano,tasa_hc_100k,tasa_he_100k,share_extranjeros,pct_extranjeros,poblacion_total,hc_total,he_total,det_tot,det_ext,paro_joven,arope,pib_pc_real,pib_pc_real_yoy,pib_pc_real_idx2010,pib_pc_real_z
2010,4934.195626981491,1557.0368100859223,20.129386492540963,0.11498059499962664,46562483,2297484,724995,1043231,209996,37.447825977640946,26.1,24510,NA,100,-0.48540920117753766
2011,4890.261109271117,1575.1689314786163,19.02000222198816,0.1127488236809379,46736257,2285525,736175,1386146,263645,40.88814006826856,26.7,24260,-0.010199918400652819,98.98000815993473,-0.6692763228356959
2012,4853.263801601492,1559.2296638091054,18.39593638776067,0.109877167580445,46749303,2268867,728929,1369422,251918,47.5012226583187,27.2,23560,-0.028854080791426262,96.12403100775194,-1.1841042634785388
2013,4663.118476917818,1580.8291787892451,17.899620214809563,0.10439185623773269,46581124,2172133,736368,1359716,243384,49.817603613456015,27.3,23310,-0.010611205432937143,95.10403916768666,-1.367971385136697
2014,4505.497700452587,1540.620312471397,16.35578962195494,0.09737421944067856,46433050,2092040,715357,1277890,209009,47.021067685735886,29.2,23730,0.018018018018018056,96.81762545899633,-1.0590746207509913
2015,4391.1658276162325,1422.4336171451168,15.643093659406226,0.09516925946125096,46384379,2036815,659787,1120731,175317,44.23111766054698,28.6,24720,0.041719342604298326,100.85679314565483,-0.33096081898468477
2016,4328.700263423733,1381.4194726786725,15.999108777072738,0.09446665848179188,46427100,2009690,641353,1086148,173774,40.35349424936562,27.9,25420,0.028317152103559895,103.71277029783762,0.18386712165815822
2017,4398.54595292014,1407.9004721109943,15.895195244554664,0.0956945578329142,46510461,2045784,654821,1107278,176004,35.926248140674545,26.6,26110,0.027143981117230487,106.52794777641779,0.6913403774346749
2018,4561.9191434222,1441.9104730448212,16.368873746486543,0.10003026198029888,46715383,2131118,673594,1160538,189967,32.24982026342606,26.1,26620,0.01953274607430111,108.60873113015096,1.0664293056173177
2019,4671.010384053374,1491.988005889766,17.04592969159297,0.1068990981056698,47087778,2199475,702544,1210154,206282,30.10717126596086,25.3,26930,0.011645379413974366,109.87352101183191,1.294424536473434
2020,3731.7235673268137,1302.4964150273402,20.78326177606432,0.11289890609437324,47344852,1766779,616665,1214179,252346,36.078194573620614,26.4,23850,-0.1143705904196064,97.30722154222767,-0.9708184023550753
2021,4134.8465185720115,1447.579306038528,21.141882973381723,0.1133912094991944,47346836,1957719,685383,1330364,281264,33.7132933400969,27.6,25440,0.06666666666666665,103.79436964504283,0.19857649139081088
2022,4861.886082173393,1614.2321960989218,22.44150882275112,0.12111446234863918,47781354,2323075,771302,1500269,336683,28.14816682489508,26.3,26770,0.0522798742138364,109.22072623419012,1.1767495786122126
2023,5100.853633197656,1750.4881983885934,23.49106735187542,0.13008059515915807,48320520,2464759,845845,1646992,386896,27.063685519287,26.9,27150,0.01419499439671279,110.77111383108935,1.4562276035326132
