ano,tipo,valor
2010,1. contra las personas,21061
2010,1.1.-homicidios dolosos/asesinatos,305
2010,1.1.1.-homicidios dolosos/asesinatos consumados,124
2010,1.2.-lesiones,5072
2010,1.3.-malos tratos ambito familiar,14747
2010,1.4.-otros contra las personas,937
2010,10. orden publico,7567
2010,11. legislacion especial,40
2010,12. otras infracciones penales,1928
2010,2. contra la libertad,5553
2010,2.1.-malos tratos habituales en el ambito familiar,2498
2010,2.2.-otros contra la libertad,3055
2010,3. libertad sexual,2143
2010,3.1.-agresion sexual,951
2010,3.2.-agresion sexual con penetracion,509
2010,3.3.-corrupcion de menores o incapacitados,51
2010,3.4.-pornografia de menores,39
2010,3.5.-otros contra la libertad sexual,593
2010,4. relaciones familiares,307
2010,5. patrimonio,42321
2010,5.1.-hurtos,13561
2010,5.2.-robos con fuerza en las cosas,11939
2010,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,1785
2010,5.2.2.-robos con fuerza en viviendas,2782
2010,5.2.3.-robos con fuerza en establecimientos,2846
2010,5.3.-robos con violencia o intimidacion,6279
2010,5.3.1.-robos con violencia en via publica,4198
2010,5.3.2.-robos con violencia en viviendas,536
2010,5.3.3.-robos con violencia en establecimientos,936
2010,5.4.-sustraccion de vehiculos,1799
2010,5.5.-estafas,2746
2010,5.5.1.-estafas informaticas,583
2010,5.6.-danos,1381
2010,5.7.-contra la propiedad intelectual/industrial,2867
2010,5.8.-blanqueo de capitales,98
2010,5.9.-otros contra el patrimonio,1651
2010,6. seguridad colectiva,17090
2010,6.1.-trafico de drogas,7837
2010,6.2.-contra la seguridad vial,8833
2010,6.3.-otros contra la seguridad colectiva,420
2010,7. falsedades,5335
2010,8. admon. publica,33
2010,9. admon. justicia,4660
2010,total infracciones penales,108038
2011,1. contra las personas,28182
2011,1.1.-homicidios dolosos/asesinatos,399
2011,1.1.1.-homicidios dolosos/asesinatos consumados,176
2011,1.2.-lesiones,8541
2011,1.3.-malos tratos ambito familiar,16260
2011,1.4.-otros contra las personas,2982
2011,10. orden publico,9322
2011,11. legislacion especial,58
2011,12. otras infracciones penales,1717
2011,2. contra la libertad,6799
2011,2.1.-malos tratos habituales en el ambito familiar,3011
2011,2.2.-otros contra la libertad,3788
2011,3. libertad sexual,2288
2011,3.1.-agresion sexual,1105
2011,3.2.-agresion sexual con penetracion,534
2011,3.3.-corrupcion de menores o incapacitados,53
2011,3.4.-pornografia de menores,43
2011,3.5.-otros contra la libertad sexual,553
2011,4. relaciones familiares,516
2011,5. patrimonio,54480
2011,5.1.-hurtos,21823
2011,5.2.-robos con fuerza en las cosas,14469
2011,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,2602
2011,5.2.2.-robos con fuerza en viviendas,3654
2011,5.2.3.-robos con fuerza en establecimientos,3103
2011,5.3.-robos con violencia o intimidacion,6814
2011,5.3.1.-robos con violencia en via publica,4276
2011,5.3.2.-robos con violencia en viviendas,581
2011,5.3.3.-robos con violencia en establecimientos,882
2011,5.4.-sustraccion de vehiculos,2001
2011,5.5.-estafas,3327
2011,5.5.1.-estafas informaticas,615
2011,5.6.-danos,2115
2011,5.7.-contra la propiedad intelectual/industrial,1447
2011,5.8.-blanqueo de capitales,184
2011,5.9.-otros contra el patrimonio,2300
2011,6. seguridad colectiva,20508
2011,6.1.-trafico de drogas,8145
2011,6.2.-contra la seguridad vial,11838
2011,6.3.-otros contra la seguridad colectiva,525
2011,7. falsedades,6318
2011,8. admon. publica,43
2011,9. admon. justicia,5268
2011,total infracciones penales,135499
2012,1. contra las personas,25836
2012,1.1.-homicidios dolosos/asesinatos,326
2012,1.1.1.-homicidios dolosos/asesinatos consumados,140
2012,1.2.-lesiones,7667
2012,1.3.-malos tratos ambito familiar,15177
2012,1.4.-otros contra las personas,2666
2012,10. orden publico,8399
2012,11. legislacion especial,69
2012,12. otras infracciones penales,1625
2012,2. contra la libertad,6126
2012,2.1.-malos tratos habituales en el ambito familiar,2748
2012,2.2.-otros contra la libertad,3378
2012,3. libertad sexual,1995
2012,3.1.-agresion sexual,978
2012,3.2.-agresion sexual con penetracion,447
2012,3.3.-corrupcion de menores o incapacitados,54
2012,3.4.-pornografia de menores,38
2012,3.5.-otros contra la libertad sexual,478
2012,4. relaciones familiares,599
2012,5. patrimonio,53767
2012,5.1.-hurtos,22246
2012,5.2.-robos con fuerza en las cosas,12797
2012,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,2096
2012,5.2.2.-robos con fuerza en viviendas,4269
2012,5.2.3.-robos con fuerza en establecimientos,2653
2012,5.3.-robos con violencia o intimidacion,7058
2012,5.3.1.-robos con violencia en via publica,4680
2012,5.3.2.-robos con violencia en viviendas,604
2012,5.3.3.-robos con violencia en establecimientos,934
2012,5.4.-sustraccion de vehiculos,1787
2012,5.5.-estafas,3308
2012,5.5.1.-estafas informaticas,638
2012,5.6.-danos,2000
2012,5.7.-contra la propiedad intelectual/industrial,1592
2012,5.8.-blanqueo de capitales,198
2012,5.9.-otros contra el patrimonio,2781
2012,6. seguridad colectiva,19199
2012,6.1.-trafico de drogas,7821
2012,6.2.-contra la seguridad vial,10762
2012,6.3.-otros contra la seguridad colectiva,616
2012,7. falsedades,6693
2012,8. admon. publica,29
2012,9. admon. justicia,4644
2012,total infracciones penales,128981
2013,1. contra las personas,23714
2013,1.1.-homicidios dolosos/asesinatos,250
2013,1.1.1.-homicidios dolosos/asesinatos consumados,81
2013,1.2.-lesiones,7155
2013,1.3.-malos tratos ambito familiar,14046
2013,1.4.-otros contra las personas,2263
2013,10. orden publico,8046
2013,11. legislacion especial,81
2013,12. otras infracciones penales,1557
2013,2. contra la libertad,6091
2013,2.1.-malos tratos habituales en el ambito familiar,2653
2013,2.2.-otros contra la libertad,3438
2013,3. libertad sexual,1843
2013,3.1.-agresion sexual,855
2013,3.2.-agresion sexual con penetracion,438
2013,3.3.-corrupcion de menores o incapacitados,48
2013,3.4.-pornografia de menores,34
2013,3.5.-otros contra la libertad sexual,468
2013,4. relaciones familiares,516
2013,5. patrimonio,54266
2013,5.1.-hurtos,23045
2013,5.2.-robos con fuerza en las cosas,12827
2013,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,1897
2013,5.2.2.-robos con fuerza en viviendas,4973
2013,5.2.3.-robos con fuerza en establecimientos,2326
2013,5.3.-robos con violencia o intimidacion,6393
2013,5.3.1.-robos con violencia en via publica,4073
2013,5.3.2.-robos con violencia en viviendas,595
2013,5.3.3.-robos con violencia en establecimientos,970
2013,5.4.-sustraccion de vehiculos,1444
2013,5.5.-estafas,3269
2013,5.5.1.-estafas informaticas,587
2013,5.6.-danos,1836
2013,5.7.-contra la propiedad intelectual/industrial,1882
2013,5.8.-blanqueo de capitales,177
2013,5.9.-otros contra el patrimonio,3393
