ano,tipo,sexo,valor
2010,1. contra las personas,hombres,19526
2010,1. contra las personas,mujeres,1535
2010,1. contra las personas,total,21061
2010,1.1.-homicidios dolosos/asesinatos,hombres,267
2010,1.1.-homicidios dolosos/asesinatos,mujeres,38
2010,1.1.-homicidios dolosos/asesinatos,total,305
2010,1.1.1.-homicidios dolosos/asesinatos consumados,hombres,102
2010,1.1.1.-homicidios dolosos/asesinatos consumados,mujeres,22
2010,1.1.1.-homicidios dolosos/asesinatos consumados,total,124
2010,1.2.-lesiones,hombres,4647
2010,1.2.-lesiones,mujeres,425
2010,1.2.-lesiones,total,5072
2010,1.3.-malos tratos ambito familiar,hombres,13778
2010,1.3.-malos tratos ambito familiar,mujeres,969
2010,1.3.-malos tratos ambito familiar,total,14747
2010,1.4.-otros contra las personas,hombres,834
2010,1.4.-otros contra las personas,mujeres,103
2010,1.4.-otros contra las personas,total,937
2010,10. orden publico,hombres,6605
2010,10. orden publico,mujeres,962
2010,10. orden publico,total,7567
2010,11. legislacion especial,hombres,36
2010,11. legislacion especial,mujeres,4
2010,11. legislacion especial,total,40
2010,12. otras infracciones penales,hombres,1525
2010,12. otras infracciones penales,mujeres,403
2010,12. otras infracciones penales,total,1928
2010,2. contra la libertad,hombres,5114
2010,2. contra la libertad,mujeres,439
2010,2. contra la libertad,total,5553
2010,2.1.-malos tratos habituales en el ambito familiar,hombres,2381
2010,2.1.-malos tratos habituales en el ambito familiar,mujeres,117
2010,2.1.-malos tratos habituales en el ambito familiar,total,2498
2010,2.2.-otros contra la libertad,hombres,2733
2010,2.2.-otros contra la libertad,mujeres,322
2010,2.2.-otros contra la libertad,total,3055
2010,3. libertad sexual,hombres,1848
2010,3. libertad sexual,mujeres,295
2010,3. libertad sexual,total,2143
2010,3.1.-agresion sexual,hombres,938
2010,3.1.-agresion sexual,mujeres,13
2010,3.1.-agresion sexual,total,951
2010,3.2.-agresion sexual con penetracion,hombres,502
2010,3.2.-agresion sexual con penetracion,mujeres,7
2010,3.2.-agresion sexual con penetracion,total,509
2010,3.3.-corrupcion de menores o incapacitados,hombres,30
2010,3.3.-corrupcion de menores o incapacitados,mujeres,21
2010,3.3.-corrupcion de menores o incapacitados,total,51
2010,3.4.-pornografia de menores,hombres,39
2010,3.4.-pornografia de menores,mujeres,0
2010,3.4.-pornografia de menores,total,39
2010,3.5.-otros contra la libertad sexual,hombres,339
2010,3.5.-otros contra la libertad sexual,mujeres,254
2010,3.5.-otros contra la libertad sexual,total,593
2010,4. relaciones familiares,hombres,186
2010,4. relaciones familiares,mujeres,121
2010,4. relaciones familiares,total,307
2010,5. patrimonio,hombres,36133
2010,5. patrimonio,mujeres,6188
2010,5. patrimonio,total,42321
2010,5.1.-hurtos,hombres,9754
2010,5.1.-hurtos,mujeres,3807
2010,5.1.-hurtos,total,13561
2010,5.2.-robos con fuerza en las cosas,hombres,11265
2010,5.2.-robos con fuerza en las cosas,mujeres,674
2010,5.2.-robos con fuerza en las cosas,total,11939
2010,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,hombres,1747
2010,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,mujeres,38
2010,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,total,1785
2010,5.2.2.-robos con fuerza en viviendas,hombres,2530
2010,5.2.2.-robos con fuerza en viviendas,mujeres,252
2010,5.2.2.-robos con fuerza en viviendas,total,2782
2010,5.2.3.-robos con fuerza en establecimientos,hombres,2685
2010,5.2.3.-robos con fuerza en establecimientos,mujeres,161
2010,5.2.3.-robos con fuerza en establecimientos,total,2846
2010,5.3.-robos con violencia o intimidacion,hombres,5819
2010,5.3.-robos con violencia o intimidacion,mujeres,460
2010,5.3.-robos con violencia o intimidacion,total,6279
2010,5.3.1.-robos con violencia en via publica,hombres,3963
2010,5.3.1.-robos con violencia en via publica,mujeres,235
2010,5.3.1.-robos con violencia en via publica,total,4198
2010,5.3.2.-robos con violencia en viviendas,hombres,466
2010,5.3.2.-robos con violencia en viviendas,mujeres,70
2010,5.3.2.-robos con violencia en viviendas,total,536
2010,5.3.3.-robos con violencia en establecimientos,hombres,834
2010,5.3.3.-robos con violencia en establecimientos,mujeres,102
2010,5.3.3.-robos con violencia en establecimientos,total,936
2010,5.4.-sustraccion de vehiculos,hombres,1734
2010,5.4.-sustraccion de vehiculos,mujeres,65
2010,5.4.-sustraccion de vehiculos,total,1799
2010,5.5.-estafas,hombres,2059
2010,5.5.-estafas,mujeres,687
2010,5.5.-estafas,total,2746
2010,5.5.1.-estafas informaticas,hombres,420
2010,5.5.1.-estafas informaticas,mujeres,163
2010,5.5.1.-estafas informaticas,total,583
2010,5.6.-danos,hombres,1283
2010,5.6.-danos,mujeres,98
2010,5.6.-danos,total,1381
2010,5.7.-contra la propiedad intelectual/industrial,hombres,2733
2010,5.7.-contra la propiedad intelectual/industrial,mujeres,134
2010,5.7.-contra la propiedad intelectual/industrial,total,2867
2010,5.8.-blanqueo de capitales,hombres,74
2010,5.8.-blanqueo de capitales,mujeres,24
2010,5.8.-blanqueo de capitales,total,98
2010,5.9.-otros contra el patrimonio,hombres,1412
2010,5.9.-otros contra el patrimonio,mujeres,239
2010,5.9.-otros contra el patrimonio,total,1651
2010,6. seguridad colectiva,hombres,15397
2010,6. seguridad colectiva,mujeres,1693
2010,6. seguridad colectiva,total,17090
2010,6.1.-trafico de drogas,hombres,6761
2010,6.1.-trafico de drogas,mujeres,1076
2010,6.1.-trafico de drogas,total,7837
2010,6.2.-contra la seguridad vial,hombres,8276
2010,6.2.-contra la seguridad vial,mujeres,557
2010,6.2.-contra la seguridad vial,total,8833
2010,6.3.-otros contra la seguridad colectiva,hombres,360
2010,6.3.-otros contra la seguridad colectiva,mujeres,60
2010,6.3.-otros contra la seguridad colectiva,total,420
2010,7. falsedades,hombres,4534
2010,7. falsedades,mujeres,801
2010,7. falsedades,total,5335
2010,8. admon. publica,hombres,28
2010,8. admon. publica,mujeres,5
2010,8. admon. publica,total,33
2010,9. admon. justicia,hombres,4299
2010,9. admon. justicia,mujeres,361
2010,9. admon. justicia,total,4660
2010,total infracciones penales,hombres,95231
2010,total infracciones penales,mujeres,12807
2010,total infracciones penales,total,108038
2011,1. contra las personas,hombres,24875
2011,1. contra las personas,mujeres,3307
2011,1. contra las personas,total,28182
2011,1.1.-homicidios dolosos/asesinatos,hombres,360
2011,1.1.-homicidios dolosos/asesinatos,mujeres,39
2011,1.1.-homicidios dolosos/asesinatos,total,399
2011,1.1.1.-homicidios dolosos/asesinatos consumados,hombres,151
2011,1.1.1.-homicidios dolosos/asesinatos consumados,mujeres,25
2011,1.1.1.-homicidios dolosos/asesinatos consumados,total,176
2011,1.2.-lesiones,hombres,7251
2011,1.2.-lesiones,mujeres,1290
2011,1.2.-lesiones,total,8541
2011,1.3.-malos tratos ambito familiar,hombres,14952
2011,1.3.-malos tratos ambito familiar,mujeres,1308
2011,1.3.-malos tratos ambito familiar,total,16260
2011,1.4.-otros contra las personas,hombres,2312
2011,1.4.-otros contra las personas,mujeres,670
2011,1.4.-otros contra las personas,total,2982
2011,10. orden publico,hombres,8075
2011,10. orden publico,mujeres,1247
2011,10. orden publico,total,9322
2011,11. legislacion especial,hombres,49
2011,11. legislacion especial,mujeres,9
2011,11. legislacion especial,total,58
2011,12. otras infracciones penales,hombres,1395
2011,12. otras infracciones penales,mujeres,322
2011,12. otras infracciones penales,total,1717
2011,2. contra la libertad,hombres,6125
2011,2. contra la libertad,mujeres,674
2011,2. contra la libertad,total,6799
2011,2.1.-malos tratos habituales en el ambito familiar,hombres,2841
2011,2.1.-malos tratos habituales en el ambito familiar,mujeres,170
2011,2.1.-malos tratos habituales en el ambito familiar,total,3011
2011,2.2.-otros contra la libertad,hombres,3284
2011,2.2.-otros contra la libertad,mujeres,504
2011,2.2.-otros contra la libertad,total,3788
2011,3. libertad sexual,hombres,2046
2011,3. libertad sexual,mujeres,242
2011,3. libertad sexual,total,2288
2011,3.1.-agresion sexual,hombres,1094
2011,3.1.-agresion sexual,mujeres,11
2011,3.1.-agresion sexual,total,1105
2011,3.2.-agresion sexual con penetracion,hombres,528
2011,3.2.-agresion sexual con penetracion,mujeres,6
2011,3.2.-agresion sexual con penetracion,total,534
2011,3.3.-corrupcion de menores o incapacitados,hombres,37
2011,3.3.-corrupcion de menores o incapacitados,mujeres,16
2011,3.3.-corrupcion de menores o incapacitados,total,53
2011,3.4.-pornografia de menores,hombres,39
2011,3.4.-pornografia de menores,mujeres,4
2011,3.4.-pornografia de menores,total,43
2011,3.5.-otros contra la libertad sexual,hombres,348
2011,3.5.-otros contra la libertad sexual,mujeres,205
2011,3.5.-otros contra la libertad sexual,total,553
2011,4. relaciones familiares,hombres,332
2011,4. relaciones familiares,mujeres,184
2011,4. relaciones familiares,total,516
2011,5. patrimonio,hombres,45099
2011,5. patrimonio,mujeres,9381
2011,5. patrimonio,total,54480
2011,5.1.-hurtos,hombres,15550
2011,5.1.-hurtos,mujeres,6273
2011,5.1.-hurtos,total,21823
2011,5.2.-robos con fuerza en las cosas,hombres,13644
2011,5.2.-robos con fuerza en las cosas,mujeres,825
2011,5.2.-robos con fuerza en las cosas,total,14469
2011,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,hombres,2532
2011,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,mujeres,70
2011,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,total,2602
2011,5.2.2.-robos con fuerza en viviendas,hombres,3379
2011,5.2.2.-robos con fuerza en viviendas,mujeres,275
2011,5.2.2.-robos con fuerza en viviendas,total,3654
