ano,tipo,valor
2010,1. contra las personas,66224
2010,1.1.-homicidios dolosos/asesinatos,1338
2010,1.1.1.-homicidios dolosos/asesinatos consumados,397
2010,1.2.-lesiones,16137
2010,1.3.-malos tratos ambito familiar,46479
2010,1.4.-otros contra las personas,2270
2010,10. orden publico,23749
2010,11. legislacion especial,146
2010,12. otras infracciones penales,3778
2010,2. contra la libertad,24203
2010,2.1.-malos tratos habituales en el ambito familiar,10905
2010,2.2.-otros contra la libertad,13298
2010,3. libertad sexual,6234
2010,3.1.-agresion sexual,2793
2010,3.2.-agresion sexual con penetracion,1331
2010,3.3.-corrupcion de menores o incapacitados,226
2010,3.4.-pornografia de menores,504
2010,3.5.-otros contra la libertad sexual,1380
2010,4. relaciones familiares,1093
2010,5. patrimonio,137368
2010,5.1.-hurtos,33639
2010,5.2.-robos con fuerza en las cosas,50266
2010,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,8455
2010,5.2.2.-robos con fuerza en viviendas,9730
2010,5.2.3.-robos con fuerza en establecimientos,9520
2010,5.3.-robos con violencia o intimidacion,21621
2010,5.3.1.-robos con violencia en via publica,10397
2010,5.3.2.-robos con violencia en viviendas,1280
2010,5.3.3.-robos con violencia en establecimientos,3368
2010,5.4.-sustraccion de vehiculos,7169
2010,5.5.-estafas,8334
2010,5.5.1.-estafas informaticas,1611
2010,5.6.-danos,5797
2010,5.7.-contra la propiedad intelectual/industrial,3733
2010,5.8.-blanqueo de capitales,296
2010,5.9.-otros contra el patrimonio,6513
2010,6. seguridad colectiva,60510
2010,6.1.-trafico de drogas,21683
2010,6.2.-contra la seguridad vial,36751
2010,6.3.-otros contra la seguridad colectiva,2076
2010,7. falsedades,9541
2010,8. admon. publica,245
2010,9. admon. justicia,18876
2010,total infracciones penales,351967
2011,1. contra las personas,101176
2011,1.1.-homicidios dolosos/asesinatos,1390
2011,1.1.1.-homicidios dolosos/asesinatos consumados,451
2011,1.2.-lesiones,31319
2011,1.3.-malos tratos ambito familiar,51888
2011,1.4.-otros contra las personas,16579
2011,10. orden publico,28116
2011,11. legislacion especial,253
2011,12. otras infracciones penales,4017
2011,2. contra la libertad,28751
2011,2.1.-malos tratos habituales en el ambito familiar,12164
2011,2.2.-otros contra la libertad,16587
2011,3. libertad sexual,6697
2011,3.1.-agresion sexual,3342
2011,3.2.-agresion sexual con penetracion,1375
2011,3.3.-corrupcion de menores o incapacitados,213
2011,3.4.-pornografia de menores,464
2011,3.5.-otros contra la libertad sexual,1303
2011,4. relaciones familiares,2560
2011,5. patrimonio,184811
2011,5.1.-hurtos,62864
2011,5.2.-robos con fuerza en las cosas,56959
2011,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,11379
2011,5.2.2.-robos con fuerza en viviendas,11082
2011,5.2.3.-robos con fuerza en establecimientos,10064
2011,5.3.-robos con violencia o intimidacion,23075
2011,5.3.1.-robos con violencia en via publica,10452
2011,5.3.2.-robos con violencia en viviendas,1457
2011,5.3.3.-robos con violencia en establecimientos,3339
2011,5.4.-sustraccion de vehiculos,7601
2011,5.5.-estafas,12028
2011,5.5.1.-estafas informaticas,1823
2011,5.6.-danos,9955
2011,5.7.-contra la propiedad intelectual/industrial,2136
2011,5.8.-blanqueo de capitales,422
2011,5.9.-otros contra el patrimonio,9771
2011,6. seguridad colectiva,78158
2011,6.1.-trafico de drogas,23610
2011,6.2.-contra la seguridad vial,52460
2011,6.3.-otros contra la seguridad colectiva,2088
2011,7. falsedades,11247
2011,8. admon. publica,429
2011,9. admon. justicia,22038
2011,total infracciones penales,468253
2012,1. contra las personas,97294
2012,1.1.-homicidios dolosos/asesinatos,1325
2012,1.1.1.-homicidios dolosos/asesinatos consumados,408
2012,1.2.-lesiones,29942
2012,1.3.-malos tratos ambito familiar,49830
2012,1.4.-otros contra las personas,16197
2012,10. orden publico,26775
2012,11. legislacion especial,228
2012,12. otras infracciones penales,3884
2012,2. contra la libertad,27943
2012,2.1.-malos tratos habituales en el ambito familiar,11621
2012,2.2.-otros contra la libertad,16322
2012,3. libertad sexual,6250
2012,3.1.-agresion sexual,3202
2012,3.2.-agresion sexual con penetracion,1202
2012,3.3.-corrupcion de menores o incapacitados,201
2012,3.4.-pornografia de menores,506
2012,3.5.-otros contra la libertad sexual,1139
2012,4. relaciones familiares,2926
2012,5. patrimonio,189877
2012,5.1.-hurtos,68234
2012,5.2.-robos con fuerza en las cosas,55473
2012,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,10091
2012,5.2.2.-robos con fuerza en viviendas,14494
2012,5.2.3.-robos con fuerza en establecimientos,9653
2012,5.3.-robos con violencia o intimidacion,23475
2012,5.3.1.-robos con violencia en via publica,11235
2012,5.3.2.-robos con violencia en viviendas,1686
2012,5.3.3.-robos con violencia en establecimientos,3453
2012,5.4.-sustraccion de vehiculos,6808
2012,5.5.-estafas,12548
2012,5.5.1.-estafas informaticas,1978
2012,5.6.-danos,9507
2012,5.7.-contra la propiedad intelectual/industrial,2257
2012,5.8.-blanqueo de capitales,567
2012,5.9.-otros contra el patrimonio,11008
2012,6. seguridad colectiva,72976
2012,6.1.-trafico de drogas,22575
2012,6.2.-contra la seguridad vial,48133
2012,6.3.-otros contra la seguridad colectiva,2268
2012,7. falsedades,11624
2012,8. admon. publica,274
2012,9. admon. justicia,20991
2012,total infracciones penales,461042
2013,1. contra las personas,93213
2013,1.1.-homicidios dolosos/asesinatos,1086
2013,1.1.1.-homicidios dolosos/asesinatos consumados,311
2013,1.2.-lesiones,28574
2013,1.3.-malos tratos ambito familiar,49079
2013,1.4.-otros contra las personas,14474
2013,10. orden publico,24981
2013,11. legislacion especial,295
2013,12. otras infracciones penales,4013
2013,2. contra la libertad,27444
2013,2.1.-malos tratos habituales en el ambito familiar,11184
2013,2.2.-otros contra la libertad,16260
2013,3. libertad sexual,5827
2013,3.1.-agresion sexual,2831
2013,3.2.-agresion sexual con penetracion,1179
2013,3.3.-corrupcion de menores o incapacitados,221
2013,3.4.-pornografia de menores,391
2013,3.5.-otros contra la libertad sexual,1205
2013,4. relaciones familiares,2817
2013,5. patrimonio,195566
2013,5.1.-hurtos,72864
2013,5.2.-robos con fuerza en las cosas,56230
2013,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,8924
2013,5.2.2.-robos con fuerza en viviendas,16437
2013,5.2.3.-robos con fuerza en establecimientos,9601
2013,5.3.-robos con violencia o intimidacion,22152
2013,5.3.1.-robos con violencia en via publica,10175
2013,5.3.2.-robos con violencia en viviendas,1769
2013,5.3.3.-robos con violencia en establecimientos,3564
2013,5.4.-sustraccion de vehiculos,6203
2013,5.5.-estafas,12567
2013,5.5.1.-estafas informaticas,1940
2013,5.6.-danos,8812
2013,5.7.-contra la propiedad intelectual/industrial,2595
2013,5.8.-blanqueo de capitales,597
2013,5.9.-otros contra el patrimonio,13546
2013,6. seguridad colectiva,68771
2013,6.1.-trafico de drogas,22312
2013,6.2.-contra la seguridad vial,44625
2013,6.3.-otros contra la seguridad colectiva,1834
2013,7. falsedades,14055
2013,8. admon. publica,398
2013,9. admon. justicia,20707
2013,total infracciones penales,458087
2014,1. contra las personas,97159
2014,1.1.-homicidios dolosos/asesinatos,1106
2014,1.1.1.-homicidios dolosos/asesinatos consumados,305
2014,1.2.-lesiones,28867
2014,1.3.-malos tratos ambito familiar,50644
2014,1.4.-otros contra las personas,16542
2014,10. orden publico,22357
2014,11. legislacion especial,255
2014,12. otras infracciones penales,4908
2014,2. contra la libertad,25834
2014,2.1.-malos tratos habituales en el ambito familiar,10454
2014,2.2.-otros contra la libertad,15380
2014,3. libertad sexual,6186
2014,3.1.-agresion sexual,3060
2014,3.2.-agresion sexual con penetracion,1191
2014,3.3.-corrupcion de menores o incapacitados,264
2014,3.4.-pornografia de menores,456
2014,3.5.-otros contra la libertad sexual,1215
2014,4. relaciones familiares,2920
2014,5. patrimonio,176396
2014,5.1.-hurtos,68509
2014,5.2.-robos con fuerza en las cosas,45249
2014,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,6884
2014,5.2.2.-robos con fuerza en viviendas,13513
2014,5.2.3.-robos con fuerza en establecimientos,8016
2014,5.3.-robos con violencia o intimidacion,18258
2014,5.3.1.-robos con violencia en via publica,8538
2014,5.3.2.-robos con violencia en viviendas,1490
2014,5.3.3.-robos con violencia en establecimientos,3020
2014,5.4.-sustraccion de vehiculos,5392
2014,5.5.-estafas,13085
2014,5.5.1.-estafas informaticas,2200
2014,5.6.-danos,8100
2014,5.7.-contra la propiedad intelectual/industrial,2263
2014,5.8.-blanqueo de capitales,803
2014,5.9.-otros contra el patrimonio,14737
2014,6. seguridad colectiva,63639
2014,6.1.-trafico de drogas,20701
2014,6.2.-contra la seguridad vial,41153
2014,6.3.-otros contra la seguridad colectiva,1785
2014,7. falsedades,11651
2014,8. admon. publica,509
2014,9. admon. justicia,20541
2014,total infracciones penales,432355
2015,1. contra las personas,86933
2015,1.1.-homicidios dolosos/asesinatos,1076
2015,1.1.1.-homicidios dolosos/asesinatos consumados,351
2015,1.2.-lesiones,27203
2015,1.3.-malos tratos ambito familiar,49898
2015,1.4.-otros contra las personas,8756
2015,10. orden publico,18628
2015,11. legislacion especial,270
2015,12. otras infracciones penales,4451
2015,2. contra la libertad,29183
2015,2.1.-malos tratos habituales en el ambito familiar,9804
2015,2.2.-otros contra la libertad,19379
2015,3. libertad sexual,6044
2015,3.1.-agresion sexual,3026
2015,3.2.-agresion sexual con penetracion,1159
2015,3.3.-corrupcion de menores o incapacitados,294
2015,3.4.-pornografia de menores,473
2015,3.5.-otros contra la libertad sexual,1092
2015,4. relaciones familiares,2170
2015,5. patrimonio,145876
2015,5.1.-hurtos,57447
2015,5.2.-robos con fuerza en las cosas,36420
2015,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,5941
2015,5.2.2.-robos con fuerza en viviendas,10764
2015,5.2.3.-robos con fuerza en establecimientos,7002
2015,5.3.-robos con violencia o intimidacion,15444
2015,5.3.1.-robos con violencia en via publica,6944
2015,5.3.2.-robos con violencia en viviendas,1203
2015,5.3.3.-robos con violencia en establecimientos,2522
2015,5.4.-sustraccion de vehiculos,4920
2015,5.5.-estafas,11035
2015,5.5.1.-estafas informaticas,2226
2015,5.6.-danos,7014
2015,5.7.-contra la propiedad intelectual/industrial,1710
2015,5.8.-blanqueo de capitales,636
2015,5.9.-otros contra el patrimonio,11250
2015,6. seguridad colectiva,55254
2015,6.1.-trafico de drogas,18240
2015,6.2.-contra la seguridad vial,35354
2015,6.3.-otros contra la seguridad colectiva,1660
2015,7. falsedades,11469
2015,8. admon. publica,780
2015,9. admon. justicia,19186
2015,total infracciones penales,380244
2016,1. contra las personas,81360
2016,1.1.-homicidios dolosos/asesinatos,1233
2016,1.1.1.-homicidios dolosos/asesinatos consumados,333
2016,1.2.-lesiones,28184
2016,1.3.-malos tratos ambito familiar,50743
2016,1.4.-otros contra las personas,1200
2016,10. orden publico,17358
2016,11. legislacion especial,319
2016,12. otras infracciones penales,4934
2016,2. contra la libertad,34222
2016,2.1.-malos tratos habituales en el ambito familiar,9083
2016,2.2.-otros contra la libertad,25139
2016,3. libertad sexual,6363
2016,3.1.-agresion sexual,3472
2016,3.2.-agresion sexual con penetracion,1238
2016,3.3.-corrupcion de menores o incapacitados,248
2016,3.4.-pornografia de menores,441
2016,3.5.-otros contra la libertad sexual,964
2016,4. relaciones familiares,1586
2016,5. patrimonio,139669
2016,5.1.-hurtos,56696
2016,5.2.-robos con fuerza en las cosas,33077
2016,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,5851
2016,5.2.2.-robos con fuerza en viviendas,10259
2016,5.2.3.-robos con fuerza en establecimientos,6702
2016,5.3.-robos con violencia o intimidacion,15417
2016,5.3.1.-robos con violencia en via publica,6901
2016,5.3.2.-robos con violencia en viviendas,1207
2016,5.3.3.-robos con violencia en establecimientos,2619
2016,5.4.-sustraccion de vehiculos,4825
2016,5.5.-estafas,11276
2016,5.5.1.-estafas informaticas,2103
2016,5.6.-danos,7304
2016,5.7.-contra la propiedad intelectual/industrial,1700
2016,5.8.-blanqueo de capitales,531
2016,5.9.-otros contra el patrimonio,8843
2016,6. seguridad colectiva,52687
2016,6.1.-trafico de drogas,18564
2016,6.2.-contra la seguridad vial,32419
2016,6.3.-otros contra la seguridad colectiva,1704
2016,7. falsedades,10241
2016,8. admon. publica,810
2016,9. admon. justicia,18387
2016,total infracciones penales,367936
2017,1. contra las personas,86481
2017,1.1.-homicidios dolosos/asesinatos,1208
2017,1.1.1.-homicidios dolosos/asesinatos consumados,332
2017,1.2.-lesiones,30690
2017,1.3.-malos tratos ambito familiar,53238
2017,1.4.-otros contra las personas,1345
2017,10. orden publico,18023
2017,11. legislacion especial,339
2017,12. otras infracciones penales,4970
2017,2. contra la libertad,37237
2017,2.1.-malos tratos habituales en el ambito familiar,9141
2017,2.2.-otros contra la libertad,28096
2017,3. libertad sexual,6796
2017,3.1.-agresion sexual,3708
2017,3.2.-agresion sexual con penetracion,1369
2017,3.3.-corrupcion de menores o incapacitados,275
2017,3.4.-pornografia de menores,463
2017,3.5.-otros contra la libertad sexual,981
2017,4. relaciones familiares,1787
2017,5. patrimonio,137764
2017,5.1.-hurtos,56846
2017,5.2.-robos con fuerza en las cosas,31454
2017,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,5549
2017,5.2.2.-robos con fuerza en viviendas,9584
2017,5.2.3.-robos con fuerza en establecimientos,6445
2017,5.3.-robos con violencia o intimidacion,15143
2017,5.3.1.-robos con violencia en via publica,6563
2017,5.3.2.-robos con violencia en viviendas,1161
2017,5.3.3.-robos con violencia en establecimientos,2757
2017,5.4.-sustraccion de vehiculos,4410
2017,5.5.-estafas,11248
2017,5.5.1.-estafas informaticas,1997
2017,5.6.-danos,7640
2017,5.7.-contra la propiedad intelectual/industrial,1380
2017,5.8.-blanqueo de capitales,608
2017,5.9.-otros contra el patrimonio,9035
2017,6. seguridad colectiva,52882
2017,6.1.-trafico de drogas,18865
2017,6.2.-contra la seguridad vial,32152
2017,6.3.-otros contra la seguridad colectiva,1865
2017,7. falsedades,9555
2017,8. admon. publica,694
2017,9. admon. justicia,19337
2017,total infracciones penales,375865
2018,1. contra las personas,89831
2018,1.1.-homicidios dolosos/asesinatos,1204
2018,1.1.1.-homicidios dolosos/asesinatos consumados,340
2018,1.2.-lesiones,31812
2018,1.3.-malos tratos ambito familiar,55153
2018,1.4.-otros contra las personas,1662
2018,10. orden publico,18235
2018,11. legislacion especial,507
2018,12. otras infracciones penales,5078
2018,2. contra la libertad,38927
2018,2.1.-malos tratos habituales en el ambito familiar,9078
2018,2.2.-otros contra la libertad,29849
2018,3. libertad sexual,8288
2018,3.1.-agresion sexual,4642
2018,3.2.-agresion sexual con penetracion,1829
2018,3.3.-corrupcion de menores o incapacitados,185
2018,3.4.-pornografia de menores,677
2018,3.5.-otros contra la libertad sexual,955
2018,4. relaciones familiares,1687
2018,5. patrimonio,143192
2018,5.1.-hurtos,59652
2018,5.2.-robos con fuerza en las cosas,30314
2018,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,5534
2018,5.2.2.-robos con fuerza en viviendas,8662
2018,5.2.3.-robos con fuerza en establecimientos,5798
2018,5.3.-robos con violencia o intimidacion,15491
2018,5.3.1.-robos con violencia en via publica,6395
2018,5.3.2.-robos con violencia en viviendas,1178
2018,5.3.3.-robos con violencia en establecimientos,2890
2018,5.4.-sustraccion de vehiculos,3424
2018,5.5.-estafas,12521
2018,5.5.1.-estafas informaticas,2528
2018,5.6.-danos,8013
2018,5.7.-contra la propiedad intelectual/industrial,2273
2018,5.8.-blanqueo de capitales,701
2018,5.9.-otros contra el patrimonio,10803
2018,6. seguridad colectiva,57327
2018,6.1.-trafico de drogas,20350
2018,6.2.-contra la seguridad vial,34894
2018,6.3.-otros contra la seguridad colectiva,2083
2018,7. falsedades,11014
2018,8. admon. publica,693
2018,9. admon. justicia,20045
2018,total infracciones penales,394824
2019,1. contra las personas,95194
2019,1.1.-homicidios dolosos/asesinatos,1256
2019,1.1.1.-homicidios dolosos/asesinatos consumados,363
2019,1.2.-lesiones,33570
2019,1.3.-malos tratos ambito familiar,58600
2019,1.4.-otros contra las personas,1768
2019,10. orden publico,19712
2019,11. legislacion especial,559
2019,12. otras infracciones penales,6176
2019,2. contra la libertad,40383
2019,2.1.-malos tratos habituales en el ambito familiar,9488
2019,2.2.-otros contra la libertad,30895
2019,3. libertad sexual,8983
2019,3.1.-agresion sexual,5151
2019,3.2.-agresion sexual con penetracion,1958
2019,3.3.-corrupcion de menores o incapacitados,191
2019,3.4.-pornografia de menores,615
2019,3.5.-otros contra la libertad sexual,1068
2019,4. relaciones familiares,1549
2019,5. patrimonio,144958
2019,5.1.-hurtos,58955
2019,5.2.-robos con fuerza en las cosas,29401
2019,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,5402
2019,5.2.2.-robos con fuerza en viviendas,8049
2019,5.2.3.-robos con fuerza en establecimientos,6070
2019,5.3.-robos con violencia o intimidacion,18253
2019,5.3.1.-robos con violencia en via publica,7725
2019,5.3.2.-robos con violencia en viviendas,1153
2019,5.3.3.-robos con violencia en establecimientos,3037
2019,5.4.-sustraccion de vehiculos,3399
2019,5.5.-estafas,13478
2019,5.5.1.-estafas informaticas,3792
2019,5.6.-danos,8298
2019,5.7.-contra la propiedad intelectual/industrial,1795
2019,5.8.-blanqueo de capitales,602
2019,5.9.-otros contra el patrimonio,10777
2019,6. seguridad colectiva,61239
2019,6.1.-trafico de drogas,22888
2019,6.2.-contra la seguridad vial,36861
2019,6.3.-otros contra la seguridad colectiva,1490
2019,7. falsedades,11288
2019,8. admon. publica,446
2019,9. admon. justicia,21416
2019,total infracciones penales,411903
2020,1. contra las personas,96238
2020,1.1.-homicidios dolosos/asesinatos,1225
2020,1.1.1.-homicidios dolosos/asesinatos consumados,377
2020,1.2.-lesiones,32334
2020,1.3.-malos tratos ambito familiar,60547
2020,1.4.-otros contra las personas,2132
2020,10. orden publico,27668
2020,11. legislacion especial,585
2020,12. otras infracciones penales,5061
2020,2. contra la libertad,45672
2020,2.1.-malos tratos habituales en el ambito familiar,9514
2020,2.2.-otros contra la libertad,36158
2020,3. libertad sexual,7991
2020,3.1.-agresion sexual,4553
2020,3.2.-agresion sexual con penetracion,1860
2020,3.3.-corrupcion de menores o incapacitados,163
2020,3.4.-pornografia de menores,453
2020,3.5.-otros contra la libertad sexual,962
2020,4. relaciones familiares,2339
2020,5. patrimonio,139280
2020,5.1.-hurtos,49103
2020,5.2.-robos con fuerza en las cosas,25748
2020,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,3971
2020,5.2.2.-robos con fuerza en viviendas,8563
2020,5.2.3.-robos con fuerza en establecimientos,6515
2020,5.3.-robos con violencia o intimidacion,14160
2020,5.3.1.-robos con violencia en via publica,8029
