ano,region,tipo,valor
2010,ANDALUCIA,1. contra las personas,63795
2010,ANDALUCIA,1.1.-homicidios dolosos/asesinatos,276
2010,ANDALUCIA,1.1.1.-homicidios dolosos/asesinatos consumados,78
2010,ANDALUCIA,1.2.-lesiones,22742
2010,ANDALUCIA,1.3.-malos tratos ambito familiar,12849
2010,ANDALUCIA,1.4.-otros contra las personas,27928
2010,ANDALUCIA,10. orden publico,6181
2010,ANDALUCIA,11. legislacion especial,78
2010,ANDALUCIA,12. otras infracciones penales,1378
2010,ANDALUCIA,2. contra la libertad,6570
2010,ANDALUCIA,2.1.-malos tratos habituales en el ambito familiar,2488
2010,ANDALUCIA,2.2.-otros contra la libertad,4082
2010,ANDALUCIA,3. libertad sexual,1768
2010,ANDALUCIA,3.1.-agresion sexual,959
2010,ANDALUCIA,3.2.-agresion sexual con penetracion,279
2010,ANDALUCIA,3.3.-corrupcion de menores o incapacitados,75
2010,ANDALUCIA,3.4.-pornografia de menores,138
2010,ANDALUCIA,3.5.-otros contra la libertad sexual,317
2010,ANDALUCIA,4. relaciones familiares,1405
2010,ANDALUCIA,5. patrimonio,303476
2010,ANDALUCIA,5.1.-hurtos,136528
2010,ANDALUCIA,5.2.-robos con fuerza en las cosas,79070
2010,ANDALUCIA,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,25045
2010,ANDALUCIA,5.2.2.-robos con fuerza en viviendas,20541
2010,ANDALUCIA,5.2.3.-robos con fuerza en establecimientos,10205
2010,ANDALUCIA,5.3.-robos con violencia o intimidacion,12194
2010,ANDALUCIA,5.3.1.-robos con violencia en via publica,8925
2010,ANDALUCIA,5.3.2.-robos con violencia en viviendas,670
2010,ANDALUCIA,5.3.3.-robos con violencia en establecimientos,1699
2010,ANDALUCIA,5.4.-sustraccion de vehiculos,14065
2010,ANDALUCIA,5.5.-estafas,12900
2010,ANDALUCIA,5.5.1.-estafas informaticas,3433
2010,ANDALUCIA,5.6.-danos,44486
2010,ANDALUCIA,5.7.-contra la propiedad intelectual/industrial,809
2010,ANDALUCIA,5.8.-blanqueo de capitales,49
2010,ANDALUCIA,5.9.-otros contra el patrimonio,3375
2010,ANDALUCIA,6. seguridad colectiva,16049
2010,ANDALUCIA,6.1.-trafico de drogas,3019
2010,ANDALUCIA,6.2.-contra la seguridad vial,12409
2010,ANDALUCIA,6.3.-otros contra la seguridad colectiva,621
2010,ANDALUCIA,7. falsedades,2638
