ano,tipo,valor
2010,1. CONTRA LAS PERSONAS,297488
2010,1.1.-Homicidios dolosos/asesinatos,1177
2010,1.1.1.-Homicidios dolosos/asesinatos consumados,401
2010,1.2.-Lesiones,113067
2010,1.3.-Malos tratos ámbito familiar,60307
2010,1.4.-Otros contra las personas,122937
2010,10. ORDEN PÚBLICO,33767
2010,11. LEGISLACIÓN ESPECIAL,234
2010,12. OTRAS INFRACCIONES PENALES,6785
2010,2. CONTRA LA LIBERTAD,42376
2010,2.1.-Malos tratos habituales en el ámbito familiar,17270
2010,2.2.-Otros contra la libertad,25106
2010,3. LIBERTAD SEXUAL,9957
2010,3.1.-Agresión sexual,5068
2010,3.2.-Agresión sexual con penetración,1991
2010,3.3.-Corrupción de menores o incapacitados,345
2010,3.4.-Pornografía de menores,953
2010,3.5.-Otros contra la libertad sexual,1600
2010,4. RELACIONES FAMILIARES,7877
2010,5. PATRIMONIO,1779019
2010,5.1.-Hurtos,785635
2010,5.2.-Robos con fuerza en las cosas,443772
2010,5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,141674
2010,5.2.2.-Robos con fuerza en viviendas,111656
2010,5.2.3.-Robos con fuerza en establecimientos,48958
2010,5.3.-Robos con violencia o intimidación,84411
2010,5.3.1.-Robos con violencia en vía pública,42238
2010,5.3.2.-Robos con violencia en viviendas,4950
2010,5.3.3.-Robos con violencia en establecimientos,7772
2010,5.4.-Sustracción de vehículos,65948
2010,5.5.-Estafas,102567
2010,5.5.1.-Estafas informáticas,20563
2010,5.6.-Daños,266291
2010,5.7.-Contra la propiedad intelectual/industrial,3619
2010,5.8.-Blanqueo de capitales,182
2010,5.9.-Otros contra el patrimonio,26594
2010,6. SEGURIDAD COLECTIVA,74158
2010,6.1.-Tráfico de drogas,14391
2010,6.2.-Contra la seguridad vial,57088
2010,6.3.-Otros contra la seguridad colectiva,2679
2010,7. FALSEDADES,17502
2010,8. ADMÓN. PÚBLICA,416
2010,9. ADMÓN. JUSTICIA,27905
2010,TOTAL INFRACCIONES PENALES,2297484
2011,1. CONTRA LAS PERSONAS,300654
2011,1.1.-Homicidios dolosos/asesinatos,1210
2011,1.1.1.-Homicidios dolosos/asesinatos consumados,385
2011,1.2.-Lesiones,112824
2011,1.3.-Malos tratos ámbito familiar,62260
2011,1.4.-Otros contra las personas,124360
2011,10. ORDEN PÚBLICO,36317
2011,11. LEGISLACIÓN ESPECIAL,285
2011,12. OTRAS INFRACCIONES PENALES,6592
2011,2. CONTRA LA LIBERTAD,45131
2011,2.1.-Malos tratos habituales en el ámbito familiar,17694
2011,2.2.-Otros contra la libertad,27437
2011,3. LIBERTAD SEXUAL,9892
2011,3.1.-Agresión sexual,5479
2011,3.2.-Agresión sexual con penetración,1887
2011,3.3.-Corrupción de menores o incapacitados,253
2011,3.4.-Pornografía de menores,715
2011,3.5.-Otros contra la libertad sexual,1558
2011,4. RELACIONES FAMILIARES,9087
2011,5. PATRIMONIO,1742631
2011,5.1.-Hurtos,786704
2011,5.2.-Robos con fuerza en las cosas,414961
2011,5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,153259
2011,5.2.2.-Robos con fuerza en viviendas,100780
2011,5.2.3.-Robos con fuerza en establecimientos,41250
2011,5.3.-Robos con violencia o intimidación,87718
2011,5.3.1.-Robos con violencia en vía pública,38831
2011,5.3.2.-Robos con violencia en viviendas,5450
2011,5.3.3.-Robos con violencia en establecimientos,6458
2011,5.4.-Sustracción de vehículos,60061
2011,5.5.-Estafas,106304
2011,5.5.1.-Estafas informáticas,21075
2011,5.6.-Daños,254361
2011,5.7.-Contra la propiedad intelectual/industrial,2643
2011,5.8.-Blanqueo de capitales,171
2011,5.9.-Otros contra el patrimonio,29708
2011,6. SEGURIDAD COLECTIVA,85010
2011,6.1.-Tráfico de drogas,15220
2011,6.2.-Contra la seguridad vial,67374
2011,6.3.-Otros contra la seguridad colectiva,2416
2011,7. FALSEDADES,20175
2011,8. ADMÓN. PÚBLICA,341
2011,9. ADMÓN. JUSTICIA,29410
2011,TOTAL INFRACCIONES PENALES,2285525
2012,1. CONTRA LAS PERSONAS,286446
2012,1.1.-Homicidios dolosos/asesinatos,1125
2012,1.1.1.-Homicidios dolosos/asesinatos consumados,364
2012,1.2.-Lesiones,105913
2012,1.3.-Malos tratos ámbito familiar,59703
2012,1.4.-Otros contra las personas,119705
2012,10. ORDEN PÚBLICO,33582
2012,11. LEGISLACIÓN ESPECIAL,237
2012,12. OTRAS INFRACCIONES PENALES,6655
2012,2. CONTRA LA LIBERTAD,44476
2012,2.1.-Malos tratos habituales en el ámbito familiar,17523
2012,2.2.-Otros contra la libertad,26953
2012,3. LIBERTAD SEXUAL,9008
2012,3.1.-Agresión sexual,5101
2012,3.2.-Agresión sexual con penetración,1631
2012,3.3.-Corrupción de menores o incapacitados,278
2012,3.4.-Pornografía de menores,569
2012,3.5.-Otros contra la libertad sexual,1429
2012,4. RELACIONES FAMILIARES,10424
2012,5. PATRIMONIO,1754632
2012,5.1.-Hurtos,790281
2012,5.2.-Robos con fuerza en las cosas,405939
2012,5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,139483
2012,5.2.2.-Robos con fuerza en viviendas,126425
2012,5.2.3.-Robos con fuerza en establecimientos,41559
2012,5.3.-Robos con violencia o intimidación,96607
2012,5.3.1.-Robos con violencia en vía pública,45144
2012,5.3.2.-Robos con violencia en viviendas,6912
2012,5.3.3.-Robos con violencia en establecimientos,6822
2012,5.4.-Sustracción de vehículos,55197
2012,5.5.-Estafas,124675
2012,5.5.1.-Estafas informáticas,27231
2012,5.6.-Daños,246355
2012,5.7.-Contra la propiedad intelectual/industrial,2884
2012,5.8.-Blanqueo de capitales,199
2012,5.9.-Otros contra el patrimonio,32495
2012,6. SEGURIDAD COLECTIVA,76654
2012,6.1.-Tráfico de drogas,14509
2012,6.2.-Contra la seguridad vial,59634
2012,6.3.-Otros contra la seguridad colectiva,2511
2012,7. FALSEDADES,18223
2012,8. ADMÓN. PÚBLICA,325
2012,9. ADMÓN. JUSTICIA,28205
2012,TOTAL INFRACCIONES PENALES,2268867
2013,1. CONTRA LAS PERSONAS,274655
2013,1.1.-Homicidios dolosos/asesinatos,964
2013,1.1.1.-Homicidios dolosos/asesinatos consumados,302
2013,1.2.-Lesiones,100193
2013,1.3.-Malos tratos ámbito familiar,59819
2013,1.4.-Otros contra las personas,113679
2013,10. ORDEN PÚBLICO,31489
2013,11. LEGISLACIÓN ESPECIAL,205
2013,12. OTRAS INFRACCIONES PENALES,7129
2013,2. CONTRA LA LIBERTAD,43322
2013,2.1.-Malos tratos habituales en el ámbito familiar,16676
2013,2.2.-Otros contra la libertad,26646
2013,3. LIBERTAD SEXUAL,8923
2013,3.1.-Agresión sexual,4859
2013,3.2.-Agresión sexual con penetración,1684
2013,3.3.-Corrupción de menores o incapacitados,320
2013,3.4.-Pornografía de menores,508
2013,3.5.-Otros contra la libertad sexual,1552
2013,4. RELACIONES FAMILIARES,10331
2013,5. PATRIMONIO,1679585
2013,5.1.-Hurtos,770296
2013,5.2.-Robos con fuerza en las cosas,381777
2013,5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,123355
2013,5.2.2.-Robos con fuerza en viviendas,127444
2013,5.2.3.-Robos con fuerza en establecimientos,39940
2013,5.3.-Robos con violencia o intimidación,86034
2013,5.3.1.-Robos con violencia en vía pública,38975
2013,5.3.2.-Robos con violencia en viviendas,6306
2013,5.3.3.-Robos con violencia en establecimientos,6747
2013,5.4.-Sustracción de vehículos,48855
2013,5.5.-Estafas,122483
2013,5.5.1.-Estafas informáticas,26664
2013,5.6.-Daños,226619
2013,5.7.-Contra la propiedad intelectual/industrial,3260
2013,5.8.-Blanqueo de capitales,243
2013,5.9.-Otros contra el patrimonio,40018
2013,6. SEGURIDAD COLECTIVA,71596
2013,6.1.-Tráfico de drogas,14296
2013,6.2.-Contra la seguridad vial,55226
2013,6.3.-Otros contra la seguridad colectiva,2074
2013,7. FALSEDADES,17262
2013,8. ADMÓN. PÚBLICA,391
2013,9. ADMÓN. JUSTICIA,27245
2013,TOTAL INFRACCIONES PENALES,2172133
2014,1. CONTRA LAS PERSONAS,281713
2014,1.1.-Homicidios dolosos/asesinatos,1048
2014,1.1.1.-Homicidios dolosos/asesinatos consumados,323
2014,1.2.-Lesiones,98821
2014,1.3.-Malos tratos ámbito familiar,62392
2014,1.4.-Otros contra las personas,119452
2014,10. ORDEN PÚBLICO,29466
2014,11. LEGISLACIÓN ESPECIAL,185
2014,12. OTRAS INFRACCIONES PENALES,7864
2014,2. CONTRA LA LIBERTAD,42953
2014,2.1.-Malos tratos habituales en el ámbito familiar,15958
2014,2.2.-Otros contra la libertad,26995
2014,3. LIBERTAD SEXUAL,9468
2014,3.1.-Agresión sexual,5150
2014,3.2.-Agresión sexual con penetración,1622
2014,3.3.-Corrupción de menores o incapacitados,386
2014,3.4.-Pornografía de menores,625
2014,3.5.-Otros contra la libertad sexual,1685
2014,4. RELACIONES FAMILIARES,10506
2014,5. PATRIMONIO,1595984
2014,5.1.-Hurtos,727800
2014,5.2.-Robos con fuerza en las cosas,344875
2014,5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,106174
2014,5.2.2.-Robos con fuerza en viviendas,120783
2014,5.2.3.-Robos con fuerza en establecimientos,37962
2014,5.3.-Robos con violencia o intimidación,70855
2014,5.3.1.-Robos con violencia en vía pública,31830
2014,5.3.2.-Robos con violencia en viviendas,4697
2014,5.3.3.-Robos con violencia en establecimientos,5489
2014,5.4.-Sustracción de vehículos,43206
2014,5.5.-Estafas,140440
2014,5.5.1.-Estafas informáticas,32842
2014,5.6.-Daños,218166
2014,5.7.-Contra la propiedad intelectual/industrial,2608
2014,5.8.-Blanqueo de capitales,230
2014,5.9.-Otros contra el patrimonio,47804
2014,6. SEGURIDAD COLECTIVA,66938
2014,6.1.-Tráfico de drogas,13411
2014,6.2.-Contra la seguridad vial,51419
2014,6.3.-Otros contra la seguridad colectiva,2108
2014,7. FALSEDADES,18408
2014,8. ADMÓN. PÚBLICA,521
2014,9. ADMÓN. JUSTICIA,28034
2014,TOTAL INFRACCIONES PENALES,2092040
2015,1. CONTRA LAS PERSONAS,223893
2015,1.1.-Homicidios dolosos/asesinatos,964
2015,1.1.1.-Homicidios dolosos/asesinatos consumados,302
2015,1.2.-Lesiones,97012
2015,1.3.-Malos tratos ámbito familiar,64118
2015,1.4.-Otros contra las personas,61799
2015,10. ORDEN PÚBLICO,23160
2015,11. LEGISLACIÓN ESPECIAL,192
2015,12. OTRAS INFRACCIONES PENALES,9702
2015,2. CONTRA LA LIBERTAD,78815
2015,2.1.-Malos tratos habituales en el ámbito familiar,15676
2015,2.2.-Otros contra la libertad,63139
2015,3. LIBERTAD SEXUAL,9869
2015,3.1.-Agresión sexual,5338
2015,3.2.-Agresión sexual con penetración,1668
2015,3.3.-Corrupción de menores o incapacitados,432
2015,3.4.-Pornografía de menores,748
2015,3.5.-Otros contra la libertad sexual,1683
2015,4. RELACIONES FAMILIARES,9814
2015,5. PATRIMONIO,1573983
2015,5.1.-Hurtos,715469
2015,5.2.-Robos con fuerza en las cosas,322705
2015,5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,100021
2015,5.2.2.-Robos con fuerza en viviendas,115302
2015,5.2.3.-Robos con fuerza en establecimientos,35959
2015,5.3.-Robos con violencia o intimidación,64581
2015,5.3.1.-Robos con violencia en vía pública,28949
2015,5.3.2.-Robos con violencia en viviendas,3929
2015,5.3.3.-Robos con violencia en establecimientos,5168
2015,5.4.-Sustracción de vehículos,43170
2015,5.5.-Estafas,165300
2015,5.5.1.-Estafas informáticas,62038
2015,5.6.-Daños,215519
2015,5.7.-Contra la propiedad intelectual/industrial,2047
2015,5.8.-Blanqueo de capitales,290
2015,5.9.-Otros contra el patrimonio,44902
2015,6. SEGURIDAD COLECTIVA,60090
2015,6.1.-Tráfico de drogas,12069
2015,6.2.-Contra la seguridad vial,45991
2015,6.3.-Otros contra la seguridad colectiva,2030
2015,7. FALSEDADES,19224
2015,8. ADMÓN. PÚBLICA,535
2015,9. ADMÓN. JUSTICIA,27538
2015,TOTAL INFRACCIONES PENALES,2036815
2016,1. CONTRA LAS PERSONAS,166431
2016,1.1.-Homicidios dolosos/asesinatos,1107
2016,1.1.1.-Homicidios dolosos/asesinatos consumados,294
2016,1.2.-Lesiones,97108
2016,1.3.-Malos tratos ámbito familiar,66102
2016,1.4.-Otros contra las personas,2114
2016,10. ORDEN PÚBLICO,18867
2016,11. LEGISLACIÓN ESPECIAL,143
2016,12. OTRAS INFRACCIONES PENALES,10394
2016,2. CONTRA LA LIBERTAD,115493
2016,2.1.-Malos tratos habituales en el ámbito familiar,14554
2016,2.2.-Otros contra la libertad,100939
2016,3. LIBERTAD SEXUAL,10844
2016,3.1.-Agresión sexual,6233
2016,3.2.-Agresión sexual con penetración,1793
2016,3.3.-Corrupción de menores o incapacitados,368
2016,3.4.-Pornografía de menores,621
2016,3.5.-Otros contra la libertad sexual,1829
2016,4. RELACIONES FAMILIARES,8043
2016,5. PATRIMONIO,1572967
2016,5.1.-Hurtos,711507
2016,5.2.-Robos con fuerza en las cosas,318164
2016,5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,104274
2016,5.2.2.-Robos con fuerza en viviendas,113299
2016,5.2.3.-Robos con fuerza en establecimientos,37619
2016,5.3.-Robos con violencia o intimidación,62952
2016,5.3.1.-Robos con violencia en vía pública,28900
2016,5.3.2.-Robos con violencia en viviendas,3521
2016,5.3.3.-Robos con violencia en establecimientos,5174
2016,5.4.-Sustracción de vehículos,43335
2016,5.5.-Estafas,179756
2016,5.5.1.-Estafas informáticas,70178
2016,5.6.-Daños,214709
2016,5.7.-Contra la propiedad intelectual/industrial,1889
2016,5.8.-Blanqueo de capitales,262
2016,5.9.-Otros contra el patrimonio,40393
2016,6. SEGURIDAD COLECTIVA,58350
2016,6.1.-Tráfico de drogas,12448
2016,6.2.-Contra la seguridad vial,43913
2016,6.3.-Otros contra la seguridad colectiva,1989
2016,7. FALSEDADES,19958
2016,8. ADMÓN. PÚBLICA,553
2016,9. ADMÓN. JUSTICIA,27647
2016,TOTAL INFRACCIONES PENALES,2009690
2017,1. CONTRA LAS PERSONAS,174217
2017,1.1.-Homicidios dolosos/asesinatos,1106
2017,1.1.1.-Homicidios dolosos/asesinatos consumados,307
2017,1.2.-Lesiones,100354
2017,1.3.-Malos tratos ámbito familiar,69812
2017,1.4.-Otros contra las personas,2945
2017,10. ORDEN PÚBLICO,19591
2017,11. LEGISLACIÓN ESPECIAL,165
2017,12. OTRAS INFRACCIONES PENALES,9772
2017,2. CONTRA LA LIBERTAD,119031
2017,2.1.-Malos tratos habituales en el ámbito familiar,14238
2017,2.2.-Otros contra la libertad,104793
2017,3. LIBERTAD SEXUAL,11692
2017,3.1.-Agresión sexual,6580
2017,3.2.-Agresión sexual con penetración,2136
2017,3.3.-Corrupción de menores o incapacitados,400
2017,3.4.-Pornografía de menores,767
2017,3.5.-Otros contra la libertad sexual,1809
2017,4. RELACIONES FAMILIARES,7915
2017,5. PATRIMONIO,1593930
2017,5.1.-Hurtos,712398
2017,5.2.-Robos con fuerza en las cosas,301734
2017,5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,102988
2017,5.2.2.-Robos con fuerza en viviendas,105095
2017,5.2.3.-Robos con fuerza en establecimientos,35059
2017,5.3.-Robos con violencia o intimidación,61763
2017,5.3.1.-Robos con violencia en vía pública,27561
2017,5.3.2.-Robos con violencia en viviendas,3389
2017,5.3.3.-Robos con violencia en establecimientos,5383
2017,5.4.-Sustracción de vehículos,42519
2017,5.5.-Estafas,214625
2017,5.5.1.-Estafas informáticas,94792
2017,5.6.-Daños,214246
2017,5.7.-Contra la propiedad intelectual/industrial,1622
2017,5.8.-Blanqueo de capitales,260
2017,5.9.-Otros contra el patrimonio,44763
2017,6. SEGURIDAD COLECTIVA,59162
2017,6.1.-Tráfico de drogas,12958
2017,6.2.-Contra la seguridad vial,43942
2017,6.3.-Otros contra la seguridad colectiva,2262
2017,7. FALSEDADES,20640
2017,8. ADMÓN. PÚBLICA,668
2017,9. ADMÓN. JUSTICIA,29001
2017,TOTAL INFRACCIONES PENALES,2045784
