ano,region,tipo,valor
2010,Andalucía,1. contra las personas,55826
2010,Andalucía,1.1.-homicidios dolosos/asesinatos,275
2010,Andalucía,1.1.1.-homicidios dolosos/asesinatos consumados,80
2010,Andalucía,1.2.-lesiones,19331
2010,Andalucía,1.3.-malos tratos ambito familiar,12865
2010,Andalucía,1.4.-otros contra las personas,23355
2010,Andalucía,10. orden publico,6068
2010,Andalucía,11. legislacion especial,75
2010,Andalucía,12. otras infracciones penales,1046
2010,Andalucía,2. contra la libertad,6084
2010,Andalucía,2.1.-malos tratos habituales en el ambito familiar,2488
2010,Andalucía,2.2.-otros contra la libertad,3596
2010,Andalucía,3. libertad sexual,1395
2010,Andalucía,3.1.-agresion sexual,769
2010,Andalucía,3.2.-agresion sexual con penetracion,247
2010,Andalucía,3.3.-corrupcion de menores o incapacitados,59
2010,Andalucía,3.4.-pornografia de menores,64
2010,Andalucía,3.5.-otros contra la libertad sexual,256
2010,Andalucía,4. relaciones familiares,1317
2010,Andalucía,5. patrimonio,52828
2010,Andalucía,5.1.-hurtos,18730
2010,Andalucía,5.2.-robos con fuerza en las cosas,12521
2010,Andalucía,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,2743
2010,Andalucía,5.2.2.-robos con fuerza en viviendas,3663
2010,Andalucía,5.2.3.-robos con fuerza en establecimientos,2326
2010,Andalucía,5.3.-robos con violencia o intimidacion,3699
2010,Andalucía,5.3.1.-robos con violencia en via publica,2187
2010,Andalucía,5.3.2.-robos con violencia en viviendas,276
2010,Andalucía,5.3.3.-robos con violencia en establecimientos,929
2010,Andalucía,5.4.-sustraccion de vehiculos,2918
2010,Andalucía,5.5.-estafas,5651
2010,Andalucía,5.5.1.-estafas informaticas,1199
2010,Andalucía,5.6.-danos,6008
2010,Andalucía,5.7.-contra la propiedad intelectual/industrial,767
2010,Andalucía,5.8.-blanqueo de capitales,44
2010,Andalucía,5.9.-otros contra el patrimonio,2490
2010,Andalucía,6. seguridad colectiva,15822
2010,Andalucía,6.1.-trafico de drogas,2948
2010,Andalucía,6.2.-contra la seguridad vial,12365
2010,Andalucía,6.3.-otros contra la seguridad colectiva,509
2010,Andalucía,7. falsedades,1871
2010,Andalucía,8. admon. publica,89
2010,Andalucía,9. admon. justicia,5912
2010,Andalucía,total infracciones penales,148333
2010,Aragón,1. contra las personas,5680
2010,Aragón,1.1.-homicidios dolosos/asesinatos,22
2010,Aragón,1.1.1.-homicidios dolosos/asesinatos consumados,10
2010,Aragón,1.2.-lesiones,2110
2010,Aragón,1.3.-malos tratos ambito familiar,1510
2010,Aragón,1.4.-otros contra las personas,2038
2010,Aragón,10. orden publico,755
2010,Aragón,11. legislacion especial,2
2010,Aragón,12. otras infracciones penales,107
2010,Aragón,2. contra la libertad,868
2010,Aragón,2.1.-malos tratos habituales en el ambito familiar,416
2010,Aragón,2.2.-otros contra la libertad,452
2010,Aragón,3. libertad sexual,233
2010,Aragón,3.1.-agresion sexual,121
2010,Aragón,3.2.-agresion sexual con penetracion,55
2010,Aragón,3.3.-corrupcion de menores o incapacitados,7
2010,Aragón,3.4.-pornografia de menores,17
2010,Aragón,3.5.-otros contra la libertad sexual,33
2010,Aragón,4. relaciones familiares,137
2010,Aragón,5. patrimonio,6812
2010,Aragón,5.1.-hurtos,2716
2010,Aragón,5.2.-robos con fuerza en las cosas,1228
2010,Aragón,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,145
2010,Aragón,5.2.2.-robos con fuerza en viviendas,295
2010,Aragón,5.2.3.-robos con fuerza en establecimientos,324
2010,Aragón,5.3.-robos con violencia o intimidacion,463
2010,Aragón,5.3.1.-robos con violencia en via publica,253
2010,Aragón,5.3.2.-robos con violencia en viviendas,29
2010,Aragón,5.3.3.-robos con violencia en establecimientos,140
2010,Aragón,5.4.-sustraccion de vehiculos,205
2010,Aragón,5.5.-estafas,747
2010,Aragón,5.5.1.-estafas informaticas,141
2010,Aragón,5.6.-danos,1020
2010,Aragón,5.7.-contra la propiedad intelectual/industrial,95
2010,Aragón,5.8.-blanqueo de capitales,1
2010,Aragón,5.9.-otros contra el patrimonio,337
2010,Aragón,6. seguridad colectiva,1263
2010,Aragón,6.1.-trafico de drogas,305
2010,Aragón,6.2.-contra la seguridad vial,906
2010,Aragón,6.3.-otros contra la seguridad colectiva,52
2010,Aragón,7. falsedades,193
2010,Aragón,8. admon. publica,9
2010,Aragón,9. admon. justicia,585
2010,Aragón,total infracciones penales,16644
2010,Canarias,1. contra las personas,19164
2010,Canarias,1.1.-homicidios dolosos/asesinatos,61
2010,Canarias,1.1.1.-homicidios dolosos/asesinatos consumados,18
2010,Canarias,1.2.-lesiones,6612
2010,Canarias,1.3.-malos tratos ambito familiar,3490
2010,Canarias,1.4.-otros contra las personas,9001
2010,Canarias,10. orden publico,1636
2010,Canarias,11. legislacion especial,5
2010,Canarias,12. otras infracciones penales,141
2010,Canarias,2. contra la libertad,1994
2010,Canarias,2.1.-malos tratos habituales en el ambito familiar,947
2010,Canarias,2.2.-otros contra la libertad,1047
2010,Canarias,3. libertad sexual,494
2010,Canarias,3.1.-agresion sexual,245
2010,Canarias,3.2.-agresion sexual con penetracion,144
2010,Canarias,3.3.-corrupcion de menores o incapacitados,22
2010,Canarias,3.4.-pornografia de menores,19
2010,Canarias,3.5.-otros contra la libertad sexual,64
2010,Canarias,4. relaciones familiares,817
2010,Canarias,5. patrimonio,13619
2010,Canarias,5.1.-hurtos,4773
2010,Canarias,5.2.-robos con fuerza en las cosas,2877
2010,Canarias,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,409
2010,Canarias,5.2.2.-robos con fuerza en viviendas,935
2010,Canarias,5.2.3.-robos con fuerza en establecimientos,559
2010,Canarias,5.3.-robos con violencia o intimidacion,836
2010,Canarias,5.3.1.-robos con violencia en via publica,530
2010,Canarias,5.3.2.-robos con violencia en viviendas,72
2010,Canarias,5.3.3.-robos con violencia en establecimientos,159
2010,Canarias,5.4.-sustraccion de vehiculos,634
2010,Canarias,5.5.-estafas,1354
2010,Canarias,5.5.1.-estafas informaticas,226
2010,Canarias,5.6.-danos,2460
2010,Canarias,5.7.-contra la propiedad intelectual/industrial,60
2010,Canarias,5.8.-blanqueo de capitales,1
2010,Canarias,5.9.-otros contra el patrimonio,624
2010,Canarias,6. seguridad colectiva,4153
2010,Canarias,6.1.-trafico de drogas,799
2010,Canarias,6.2.-contra la seguridad vial,3269
2010,Canarias,6.3.-otros contra la seguridad colectiva,85
2010,Canarias,7. falsedades,326
2010,Canarias,8. admon. publica,18
2010,Canarias,9. admon. justicia,1311
2010,Canarias,total infracciones penales,43678
2010,Cantabria,1. contra las personas,3222
2010,Cantabria,1.1.-homicidios dolosos/asesinatos,6
2010,Cantabria,1.1.1.-homicidios dolosos/asesinatos consumados,1
2010,Cantabria,1.2.-lesiones,1331
2010,Cantabria,1.3.-malos tratos ambito familiar,557
2010,Cantabria,1.4.-otros contra las personas,1328
2010,Cantabria,10. orden publico,408
