ano,tipo,valor
2010,1. CONTRA LAS PERSONAS,244533
2010,1.1.-Homicidios dolosos/asesinatos,1103
2010,1.1.1.-Homicidios dolosos/asesinatos consumados,281
2010,1.2.-Lesiones,88238
2010,1.3.-Malos tratos ámbito familiar,59593
2010,1.4.-Otros contra las personas,95599
2010,10. ORDEN PÚBLICO,31038
2010,11. LEGISLACIÓN ESPECIAL,212
2010,12. OTRAS INFRACCIONES PENALES,4892
2010,2. CONTRA LA LIBERTAD,34862
2010,2.1.-Malos tratos habituales en el ámbito familiar,14403
2010,2.2.-Otros contra la libertad,20459
2010,3. LIBERTAD SEXUAL,7651
2010,3.1.-Agresión sexual,4004
2010,3.2.-Agresión sexual con penetración,1670
2010,3.3.-Corrupción de menores o incapacitados,244
2010,3.4.-Pornografía de menores,483
2010,3.5.-Otros contra la libertad sexual,1250
2010,4. RELACIONES FAMILIARES,7057
2010,5. PATRIMONIO,286627
2010,5.1.-Hurtos,105448
2010,5.2.-Robos con fuerza en las cosas,61805
2010,5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,14007
2010,5.2.2.-Robos con fuerza en viviendas,12948
2010,5.2.3.-Robos con fuerza en establecimientos,9832
2010,5.3.-Robos con violencia o intimidación,21666
2010,5.3.1.-Robos con violencia en vía pública,9330
2010,5.3.2.-Robos con violencia en viviendas,1211
2010,5.3.3.-Robos con violencia en establecimientos,3474
2010,5.4.-Sustracción de vehículos,17252
2010,5.5.-Estafas,28514
2010,5.5.1.-Estafas informáticas,4931
2010,5.6.-Daños,33303
2010,5.7.-Contra la propiedad intelectual/industrial,3421
2010,5.8.-Blanqueo de capitales,162
2010,5.9.-Otros contra el patrimonio,15056
2010,6. SEGURIDAD COLECTIVA,69842
2010,6.1.-Tráfico de drogas,13155
2010,6.2.-Contra la seguridad vial,54703
2010,6.3.-Otros contra la seguridad colectiva,1984
2010,7. FALSEDADES,11343
2010,8. ADMÓN. PÚBLICA,345
2010,9. ADMÓN. JUSTICIA,26593
2010,TOTAL INFRACCIONES PENALES,724995
2011,1. CONTRA LAS PERSONAS,244461
2011,1.1.-Homicidios dolosos/asesinatos,1107
2011,1.1.1.-Homicidios dolosos/asesinatos consumados,271
2011,1.2.-Lesiones,86806
2011,1.3.-Malos tratos ámbito familiar,61043
2011,1.4.-Otros contra las personas,95505
2011,10. ORDEN PÚBLICO,32851
2011,11. LEGISLACIÓN ESPECIAL,262
2011,12. OTRAS INFRACCIONES PENALES,4383
2011,2. CONTRA LA LIBERTAD,36522
2011,2.1.-Malos tratos habituales en el ámbito familiar,14324
2011,2.2.-Otros contra la libertad,22198
2011,3. LIBERTAD SEXUAL,7155
2011,3.1.-Agresión sexual,3946
2011,3.2.-Agresión sexual con penetración,1519
2011,3.3.-Corrupción de menores o incapacitados,173
2011,3.4.-Pornografía de menores,348
2011,3.5.-Otros contra la libertad sexual,1169
2011,4. RELACIONES FAMILIARES,7977
2011,5. PATRIMONIO,282680
2011,5.1.-Hurtos,109396
2011,5.2.-Robos con fuerza en las cosas,55755
2011,5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,14786
2011,5.2.2.-Robos con fuerza en viviendas,10737
2011,5.2.3.-Robos con fuerza en establecimientos,8548
2011,5.3.-Robos con violencia o intimidación,21146
2011,5.3.1.-Robos con violencia en vía pública,8516
2011,5.3.2.-Robos con violencia en viviendas,1205
2011,5.3.3.-Robos con violencia en establecimientos,2898
2011,5.4.-Sustracción de vehículos,15519
2011,5.5.-Estafas,30319
2011,5.5.1.-Estafas informáticas,4735
2011,5.6.-Daños,31461
2011,5.7.-Contra la propiedad intelectual/industrial,2363
2011,5.8.-Blanqueo de capitales,149
2011,5.9.-Otros contra el patrimonio,16572
2011,6. SEGURIDAD COLECTIVA,80297
2011,6.1.-Tráfico de drogas,14583
2011,6.2.-Contra la seguridad vial,64012
2011,6.3.-Otros contra la seguridad colectiva,1702
2011,7. FALSEDADES,11860
2011,8. ADMÓN. PÚBLICA,268
2011,9. ADMÓN. JUSTICIA,27459
2011,TOTAL INFRACCIONES PENALES,736175
2012,1. CONTRA LAS PERSONAS,237300
2012,1.1.-Homicidios dolosos/asesinatos,1031
2012,1.1.1.-Homicidios dolosos/asesinatos consumados,252
