ano,tipo,total
2010,1. contra las personas,244427
2010,1.1.-homicidios dolosos/asesinatos,1102
2010,1.1.1.-homicidios dolosos/asesinatos consumados,280
2010,1.2.-lesiones,88225
2010,1.3.-malos tratos ambito familiar,59543
2010,1.4.-otros contra las personas,95557
2010,10. orden publico,31035
2010,11. legislacion especial,212
2010,12. otras infracciones penales,4887
2010,2. contra la libertad,34822
2010,2.1.-malos tratos habituales en el ambito familiar,14384
2010,2.2.-otros contra la libertad,20438
2010,3. libertad sexual,7638
2010,3.1.-agresion sexual,3997
2010,3.2.-agresion sexual con penetracion,1666
2010,3.3.-corrupcion de menores o incapacitados,244
2010,3.4.-pornografia de menores,482
2010,3.5.-otros contra la libertad sexual,1249
2010,4. relaciones familiares,7032
2010,5. patrimonio,286093
2010,5.1.-hurtos,105429
2010,5.2.-robos con fuerza en las cosas,61786
2010,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,14007
2010,5.2.2.-robos con fuerza en viviendas,12946
2010,5.2.3.-robos con fuerza en establecimientos,9828
2010,5.3.-robos con violencia o intimidacion,21662
2010,5.3.1.-robos con violencia en via publica,9328
2010,5.3.2.-robos con violencia en viviendas,1210
2010,5.3.3.-robos con violencia en establecimientos,3473
2010,5.4.-sustraccion de vehiculos,17197
2010,5.5.-estafas,28103
2010,5.5.1.-estafas informaticas,4737
2010,5.6.-danos,33299
2010,5.7.-contra la propiedad intelectual/industrial,3420
2010,5.8.-blanqueo de capitales,162
2010,5.9.-otros contra el patrimonio,15035
2010,6. seguridad colectiva,69835
2010,6.1.-trafico de drogas,13151
2010,6.2.-contra la seguridad vial,54700
2010,6.3.-otros contra la seguridad colectiva,1984
2010,7. falsedades,11189
2010,8. admon. publica,345
2010,9. admon. justicia,26578
2010,total infracciones penales,724093
2011,1. contra las personas,244342
2011,1.1.-homicidios dolosos/asesinatos,1106
2011,1.1.1.-homicidios dolosos/asesinatos consumados,271
2011,1.2.-lesiones,86800
2011,1.3.-malos tratos ambito familiar,60973
2011,1.4.-otros contra las personas,95463
2011,10. orden publico,32846
2011,11. legislacion especial,261
2011,12. otras infracciones penales,4376
2011,2. contra la libertad,36476
2011,2.1.-malos tratos habituales en el ambito familiar,14306
2011,2.2.-otros contra la libertad,22170
2011,3. libertad sexual,7134
2011,3.1.-agresion sexual,3939
2011,3.2.-agresion sexual con penetracion,1511
2011,3.3.-corrupcion de menores o incapacitados,172
2011,3.4.-pornografia de menores,343
2011,3.5.-otros contra la libertad sexual,1169
2011,4. relaciones familiares,7952
2011,5. patrimonio,282106
2011,5.1.-hurtos,109375
2011,5.2.-robos con fuerza en las cosas,55745
2011,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,14785
2011,5.2.2.-robos con fuerza en viviendas,10737
2011,5.2.3.-robos con fuerza en establecimientos,8544
2011,5.3.-robos con violencia o intimidacion,21143
2011,5.3.1.-robos con violencia en via publica,8513
2011,5.3.2.-robos con violencia en viviendas,1205
2011,5.3.3.-robos con violencia en establecimientos,2898
2011,5.4.-sustraccion de vehiculos,15394
2011,5.5.-estafas,29941
2011,5.5.1.-estafas informaticas,4541
2011,5.6.-danos,31459
2011,5.7.-contra la propiedad intelectual/industrial,2363
2011,5.8.-blanqueo de capitales,143
2011,5.9.-otros contra el patrimonio,16543
2011,6. seguridad colectiva,80275
2011,6.1.-trafico de drogas,14563
2011,6.2.-contra la seguridad vial,64010
2011,6.3.-otros contra la seguridad colectiva,1702
2011,7. falsedades,11730
2011,8. admon. publica,266
2011,9. admon. justicia,27452
2011,total infracciones penales,735216
2012,1. contra las personas,237156
2012,1.1.-homicidios dolosos/asesinatos,1029
2012,1.1.1.-homicidios dolosos/asesinatos consumados,250
2012,1.2.-lesiones,83281
2012,1.3.-malos tratos ambito familiar,58841
2012,1.4.-otros contra las personas,94005
2012,10. orden publico,30720
2012,11. legislacion especial,257
2012,12. otras infracciones penales,4364
2012,2. contra la libertad,35817
2012,2.1.-malos tratos habituales en el ambito familiar,14097
2012,2.2.-otros contra la libertad,21720
2012,3. libertad sexual,6684
2012,3.1.-agresion sexual,3754
2012,3.2.-agresion sexual con penetracion,1324
2012,3.3.-corrupcion de menores o incapacitados,196
2012,3.4.-pornografia de menores,362
2012,3.5.-otros contra la libertad sexual,1048
2012,4. relaciones familiares,9120
2012,5. patrimonio,293409
2012,5.1.-hurtos,117446
2012,5.2.-robos con fuerza en las cosas,54562
2012,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,13354
2012,5.2.2.-robos con fuerza en viviendas,13642
