ano,det_tot,det_ext,det_tot_rate,det_ext_rate,share_extranjeros,pct_extranjeros_poblacion,arope,paro_15_29,pib_pc_real,poblacion_total,poblacion_15_29,l_hc_rate,l_he_rate,l_det_tot_rate,l_det_ext_rate,l_pib_pc_real,covid_2020,covid_2021,covid_2020_2021
2010,66224,21061,2240.4969253894815,683.0262896418132,0.11498057352310873,11.5,26.1,31.87646132634303,24510,46562483,8168063,9.642897263285288,8.437374430111266,7.714452961937589,6.5265333502528735,10.106836476522158,0,0,0
2011,101176,28182,2965.890058333084,854.0350161117951,0.1127488236809379,11.27,26.7,33.46346222304872,24260,46736257,7891949,9.631573585978591,8.445507905156594,7.994932454692285,6.74997219542082,10.096584182498042,0,0,0
2012,97294,25836,2929.288592816026,814.7693667218953,0.109877167580445,10.99,27.2,40.45569918675741,23560,46749303,7640669,9.62862786191915,8.437801839211208,7.982514871443477,6.702905087575571,10.067305637765523,0,0,0
2013,93213,23714,2919.027887777032,789.5429917062543,0.10439185623773269,10.44,27.3,41.77523156572221,23310,46581124,7386572,9.587487297779742,8.455543025706733,7.979005924688926,6.671454286559223,10.056637732029802,0,0,0
2014,97159,21611,2752.1129884855723,682.7206052585389,0.09737421944067856,9.74,29.2,38.38815636613211,23730,46433050,7191758,9.54997790333394,8.427663607889933,7.920124255072914,6.526085705979224,10.074495349429808,0,0,0
2015,86933,19923,2416.1819650533644,575.8943113154538,0.09516925946125096,9.52,28.6,37.083359365896854,24720,46384379,7075329,9.52786795321473,8.346954780219429,7.789943872879709,6.355924156560478,10.115367911571628,0,0,0
2016,81360,19467,2339.469835505556,568.57955805984,0.09446665848179188,9.45,27.9,33.05925345109651,25420,46427100,7015180,9.5166584903291,8.320487448474637,7.757679616658522,6.343141247216149,10.143291544743445,0,0,0
2017,86481,21304,2380.7074283783168,576.2467071655127,0.0956945578329142,9.57,26.6,28.033233569812747,26110,46510461,7005361,9.533316272141844,8.338896230734298,7.775152961313235,6.356535880048133,10.170073661693175,0,0,0
2018,89831,22512,2484.273756248557,619.6374329201154,0.10003026198029888,10,26.1,26.11513525643702,26620,46715383,7069749,9.573263242715752,8.360889018716701,7.817735644810464,6.429134521372624,10.189418091949102,0,0,0
2019,95194,25183,2569.99597645062,666.7505100792822,0.1068990981056698,10.69,25.3,24.841708920298203,26930,47087778,7197084,9.602345991254987,8.395535509016428,7.851659612304624,6.502415928085126,10.200996185805645,0,0,0
2022,122885,39276,3139.8628845888293,1065.262821978632,0.12111446234863918,12.11,26.3,21.455430968543837,26770,47781354,7513559,9.65536740321338,8.481000094138787,8.051934410620456,6.970976828898647,10.1950371365144,0,0,0
2023,132332,43216,3408.4732531851896,1208.579708993198,0.13008059515915807,13.01,26.9,20.017164150674496,27150,48320520,7738237,9.710780994812366,8.565577135864581,8.134019743679545,7.097201154934297,10.20913232536208,0,0,0
