ano,edad_bin,p_julio,p_media,poblacion
2010,15-19,2245881,2255109,2245881
2010,20-24,2608865,2631448.5,2608865
2010,25-29,3313317,3357801.5,3313317
2011,15-19,2213053,2220570,2213053
2011,20-24,2533993,2551130,2533993
2011,25-29,3144903,3185413.5,3144903
2012,15-19,2182173,2190792.5,2182173
2012,20-24,2473556,2488684.5,2473556
2012,25-29,2984940,3025427,2984940
2013,15-19,2151610,2158493,2151610
2013,20-24,2407770,2426564,2407770
2013,25-29,2827192,2865358,2827192
2014,15-19,2143702,2141530,2143702
2014,20-24,2346337,2362001,2346337
2014,25-29,2701719,2729832.5,2701719
2015,15-19,2163423,2156677,2163423
2015,20-24,2300308,2311481.5,2300308
2015,25-29,2611598,2631885.5,2611598
2016,15-19,2195137,2187377.5,2195137
2016,20-24,2269022,2276367,2269022
2016,25-29,2551021,2564529,2551021
2017,15-19,2229631,2221628,2229631
2017,20-24,2254710,2258015,2254710
2017,25-29,2521020,2526728.5,2521020
2018,15-19,2281042,2266192,2281042
2018,20-24,2265014,2262711.5,2265014
2018,25-29,2523693,2524815,2523693
2019,15-19,2348774,2333088,2348774
2019,20-24,2307103,2294145,2307103
2019,25-29,2541207,2538648,2541207
2020,15-19,2400952,2391629.5,2400952
2020,20-24,2359375,2349352,2359375
2020,25-29,2547372,2550714,2547372
2021,15-19,2436768,2434250.5,2436768
2021,20-24,2378969,2381386.25,2378969
2021,25-29,2517756,2524979.75,2517756
2022,15-19,2515898,2506905.5,2515898
2022,20-24,2448982,2441039.75,2448982
2022,25-29,2548679,2538853.5,2548679
2023,15-19,2596832,2590954.75,2596832
2023,20-24,2548090,2538073,2548090
2023,25-29,2593315,2589005,2593315
