ano,edad_bin,poblacion
2010,16-19,1796705
2010,20-24,2608865
2010,25-29,3313317
2011,16-19,1770442
2011,20-24,2533993
2011,25-29,3144903
2012,16-19,1745738
2012,20-24,2473556
2012,25-29,2984940
2013,16-19,1721288
2013,20-24,2407770
2013,25-29,2827192
2014,16-19,1714962
2014,20-24,2346337
2014,25-29,2701719
2015,16-19,1730738
2015,20-24,2300308
2015,25-29,2611598
2016,16-19,1756110
2016,20-24,2269022
2016,25-29,2551021
2017,16-19,1783705
2017,20-24,2254710
2017,25-29,2521020
2018,16-19,1824834
2018,20-24,2265014
2018,25-29,2523693
2019,16-19,1879019
2019,20-24,2307103
2019,25-29,2541207
2020,16-19,1920762
2020,20-24,2359375
2020,25-29,2547372
2021,16-19,1949414
2021,20-24,2378969
2021,25-29,2517756
2022,16-19,2012718
2022,20-24,2448982
2022,25-29,2548679
2023,16-19,2077466
2023,20-24,2548090
2023,25-29,2593315
