nacionalidad,grupo_quinquenal_de_edad,sexo,periodo,total
Total,Todas las edades,Total,1 de octubre de 2023,48.486.865
Total,Todas las edades,Total,1 de julio de 2023,48.320.520
Total,Todas las edades,Total,1 de abril de 2023,48.205.962
Total,Todas las edades,Total,1 de enero de 2023,48.085.361
Total,Todas las edades,Total,1 de octubre de 2022,47.940.295
Total,Todas las edades,Total,1 de julio de 2022,47.781.354
Total,Todas las edades,Total,1 de abril de 2022,47.609.145
Total,Todas las edades,Total,1 de enero de 2022,47.486.727
Total,Todas las edades,Total,1 de octubre de 2021,47.424.595
Total,Todas las edades,Total,1 de julio de 2021,47.346.836
Total,Todas las edades,Total,1 de abril de 2021,47.356.065
Total,Todas las edades,Total,1 de enero de 2021,47.400.798
Total,Todas las edades,Total,1 de octubre de 2020,
Total,Todas las edades,Total,1 de julio de 2020,47.344.852
Total,Todas las edades,Total,1 de abril de 2020,
Total,Todas las edades,Total,1 de enero de 2020,47.318.050
Total,Todas las edades,Total,1 de octubre de 2019,
Total,Todas las edades,Total,1 de julio de 2019,47.087.778
Total,Todas las edades,Total,1 de abril de 2019,
Total,Todas las edades,Total,1 de enero de 2019,46.918.951
Total,Todas las edades,Total,1 de octubre de 2018,
Total,Todas las edades,Total,1 de julio de 2018,46.715.383
Total,Todas las edades,Total,1 de abril de 2018,
Total,Todas las edades,Total,1 de enero de 2018,46.645.070
Total,Todas las edades,Total,1 de octubre de 2017,
Total,Todas las edades,Total,1 de julio de 2017,46.510.461
Total,Todas las edades,Total,1 de abril de 2017,
Total,Todas las edades,Total,1 de enero de 2017,46.497.393
Total,Todas las edades,Total,1 de octubre de 2016,
Total,Todas las edades,Total,1 de julio de 2016,46.427.100
Total,Todas las edades,Total,1 de abril de 2016,
Total,Todas las edades,Total,1 de enero de 2016,46.418.884
Total,Todas las edades,Total,1 de octubre de 2015,
Total,Todas las edades,Total,1 de julio de 2015,46.384.379
Total,Todas las edades,Total,1 de abril de 2015,
Total,Todas las edades,Total,1 de enero de 2015,46.425.722
Total,Todas las edades,Total,1 de octubre de 2014,
Total,Todas las edades,Total,1 de julio de 2014,46.433.050
Total,Todas las edades,Total,1 de abril de 2014,
Total,Todas las edades,Total,1 de enero de 2014,46.495.744
Total,Todas las edades,Total,1 de octubre de 2013,
Total,Todas las edades,Total,1 de julio de 2013,46.581.124
Total,Todas las edades,Total,1 de abril de 2013,
Total,Todas las edades,Total,1 de enero de 2013,46.712.650
Total,Todas las edades,Total,1 de octubre de 2012,
Total,Todas las edades,Total,1 de julio de 2012,46.749.303
Total,Todas las edades,Total,1 de abril de 2012,
Total,Todas las edades,Total,1 de enero de 2012,46.818.216
Total,Todas las edades,Total,1 de octubre de 2011,
Total,Todas las edades,Total,1 de julio de 2011,46.736.257
Total,Todas las edades,Total,1 de abril de 2011,
Total,Todas las edades,Total,1 de enero de 2011,46.667.175
Total,Todas las edades,Total,1 de octubre de 2010,
Total,Todas las edades,Total,1 de julio de 2010,46.562.483
Total,Todas las edades,Total,1 de abril de 2010,
Total,Todas las edades,Total,1 de enero de 2010,46.486.621
Total,Todas las edades,Hombres,1 de octubre de 2023,23.764.562
Total,Todas las edades,Hombres,1 de julio de 2023,23.681.931
Total,Todas las edades,Hombres,1 de abril de 2023,23.624.765
Total,Todas las edades,Hombres,1 de enero de 2023,23.565.593
Total,Todas las edades,Hombres,1 de octubre de 2022,23.498.435
Total,Todas las edades,Hombres,1 de julio de 2022,23.421.925
Total,Todas las edades,Hombres,1 de abril de 2022,23.343.774
Total,Todas las edades,Hombres,1 de enero de 2022,23.288.747
Total,Todas las edades,Hombres,1 de octubre de 2021,23.263.694
Total,Todas las edades,Hombres,1 de julio de 2021,23.223.390
Total,Todas las edades,Hombres,1 de abril de 2021,23.226.336
Total,Todas las edades,Hombres,1 de enero de 2021,23.248.611
Total,Todas las edades,Hombres,1 de octubre de 2020,
Total,Todas las edades,Hombres,1 de julio de 2020,23.223.018
Total,Todas las edades,Hombres,1 de abril de 2020,
Total,Todas las edades,Hombres,1 de enero de 2020,23.210.668
Total,Todas las edades,Hombres,1 de octubre de 2019,
Total,Todas las edades,Hombres,1 de julio de 2019,23.100.826
Total,Todas las edades,Hombres,1 de abril de 2019,
Total,Todas las edades,Hombres,1 de enero de 2019,23.016.783
Total,Todas las edades,Hombres,1 de octubre de 2018,
Total,Todas las edades,Hombres,1 de julio de 2018,22.920.655
Total,Todas las edades,Hombres,1 de abril de 2018,
Total,Todas las edades,Hombres,1 de enero de 2018,22.889.600
Total,Todas las edades,Hombres,1 de octubre de 2017,
Total,Todas las edades,Hombres,1 de julio de 2017,22.831.694
Total,Todas las edades,Hombres,1 de abril de 2017,
Total,Todas las edades,Hombres,1 de enero de 2017,22.831.107
Total,Todas las edades,Hombres,1 de octubre de 2016,
Total,Todas las edades,Hombres,1 de julio de 2016,22.804.652
Total,Todas las edades,Hombres,1 de abril de 2016,
Total,Todas las edades,Hombres,1 de enero de 2016,22.806.445
Total,Todas las edades,Hombres,1 de octubre de 2015,
Total,Todas las edades,Hombres,1 de julio de 2015,22.797.434
Total,Todas las edades,Hombres,1 de abril de 2015,
Total,Todas las edades,Hombres,1 de enero de 2015,22.822.721
Total,Todas las edades,Hombres,1 de octubre de 2014,
Total,Todas las edades,Hombres,1 de julio de 2014,22.835.577
Total,Todas las edades,Hombres,1 de abril de 2014,
Total,Todas las edades,Hombres,1 de enero de 2014,22.874.710
Total,Todas las edades,Hombres,1 de octubre de 2013,
Total,Todas las edades,Hombres,1 de julio de 2013,22.932.248
Total,Todas las edades,Hombres,1 de abril de 2013,
Total,Todas las edades,Hombres,1 de enero de 2013,23.013.226
Total,Todas las edades,Hombres,1 de octubre de 2012,
Total,Todas las edades,Hombres,1 de julio de 2012,23.048.930
Total,Todas las edades,Hombres,1 de abril de 2012,
Total,Todas las edades,Hombres,1 de enero de 2012,23.099.009
Total,Todas las edades,Hombres,1 de octubre de 2011,
Total,Todas las edades,Hombres,1 de julio de 2011,23.073.274
Total,Todas las edades,Hombres,1 de abril de 2011,
Total,Todas las edades,Hombres,1 de enero de 2011,23.049.476
Total,Todas las edades,Hombres,1 de octubre de 2010,
Total,Todas las edades,Hombres,1 de julio de 2010,23.008.580
Total,Todas las edades,Hombres,1 de abril de 2010,
Total,Todas las edades,Hombres,1 de enero de 2010,22.982.272
Total,Todas las edades,Mujeres,1 de octubre de 2023,24.722.303
Total,Todas las edades,Mujeres,1 de julio de 2023,24.638.589
Total,Todas las edades,Mujeres,1 de abril de 2023,24.581.197
Total,Todas las edades,Mujeres,1 de enero de 2023,24.519.768
Total,Todas las edades,Mujeres,1 de octubre de 2022,24.441.860
Total,Todas las edades,Mujeres,1 de julio de 2022,24.359.429
Total,Todas las edades,Mujeres,1 de abril de 2022,24.265.371
Total,Todas las edades,Mujeres,1 de enero de 2022,24.197.980
Total,Todas las edades,Mujeres,1 de octubre de 2021,24.160.901
Total,Todas las edades,Mujeres,1 de julio de 2021,24.123.446
Total,Todas las edades,Mujeres,1 de abril de 2021,24.129.729
Total,Todas las edades,Mujeres,1 de enero de 2021,24.152.187
Total,Todas las edades,Mujeres,1 de octubre de 2020,
Total,Todas las edades,Mujeres,1 de julio de 2020,24.121.834
Total,Todas las edades,Mujeres,1 de abril de 2020,
Total,Todas las edades,Mujeres,1 de enero de 2020,24.107.382
Total,Todas las edades,Mujeres,1 de octubre de 2019,
Total,Todas las edades,Mujeres,1 de julio de 2019,23.986.952
Total,Todas las edades,Mujeres,1 de abril de 2019,
Total,Todas las edades,Mujeres,1 de enero de 2019,23.902.168
Total,Todas las edades,Mujeres,1 de octubre de 2018,
Total,Todas las edades,Mujeres,1 de julio de 2018,23.794.728
Total,Todas las edades,Mujeres,1 de abril de 2018,
Total,Todas las edades,Mujeres,1 de enero de 2018,23.755.470
Total,Todas las edades,Mujeres,1 de octubre de 2017,
Total,Todas las edades,Mujeres,1 de julio de 2017,23.678.767
Total,Todas las edades,Mujeres,1 de abril de 2017,
Total,Todas las edades,Mujeres,1 de enero de 2017,23.666.286
Total,Todas las edades,Mujeres,1 de octubre de 2016,
Total,Todas las edades,Mujeres,1 de julio de 2016,23.622.448
