ano,poblacion_total,poblacion_extranjera,share_extranjeros,hc_rate,he_rate,det_tot_rate,det_ext_rate,arope,paro_15_29,pib_pc_real,covid_2020,covid_2021,covid_2020_2021
2010,46562483,5353781,0.11498057352310873,15411.931532946815,4616.4183297527325,2240.4969253894815,683.0262896418132,26.1,31.87646132634303,24510,0,0,0
2011,46736257,5269458,0.1127488236809379,15238.39617708367,4654.11896378437,2965.890058333084,854.0350161117951,26.7,33.46346222304872,24260,0,0,0
2012,46749303,5136681,0.109877167580445,15193.574115960617,4618.391850676362,2929.2885928160254,814.7693667218953,27.2,40.45569918675741,23560,0,0,0
2013,46581124,4862690,0.10439185623773269,14581.185288701923,4701.058737869872,2919.027887777032,789.5429917062543,27.3,41.77523156572221,23310,0,0,0
2014,46433050,4521382,0.09737421944067857,14044.384334003473,4571.806073475682,2752.1129884855723,682.7206052585389,29.2,38.38815636613211,23730,0,0,0
2015,46384379,4414367,0.09516925946125095,13737.271334386087,4217.318507163802,2416.1819650533644,575.8943113154538,28.6,37.083359365896854,24720,0,0,0
2016,46427100,4385813,0.09446665848179188,13584.14374363249,4107.161550042971,2339.469835505556,568.57955805984,27.9,33.05925345109651,25420,0,0,0
2017,46510461,4450798,0.0956945578329142,13812.320630406135,4183.469606977234,2380.7074283783168,576.2467071655127,26.6,28.033233569812747,26110,0,0,0
2018,46715383,4672952,0.10003026198029887,14375.249797266995,4276.494960985336,2484.273756248557,619.6374329201154,26.1,26.11513525643702,26620,0,0,0
2019,47087778,5033641,0.1068990981056698,14799.460276082682,4427.257111176493,2569.9959764506198,666.7505100792822,25.3,24.841708920298203,26930,0,0,0
2020,47344852,5345182,0.11289890609437325,11941.524286526443,3866.1204390289363,2564.542814496495,809.916989496556,26.4,28.07281869195936,23850,1,0,1
2021,47346836,5368715,0.11339120949919441,13228.218671253977,4310.636512226499,2809.8266165029486,900.928205635536,27.6,26.61643928070686,25440,0,1,1
2022,47781354,5787013,0.12111446234863918,15605.323783834172,4822.270210258169,3139.8628845888293,1065.262821978632,26.3,21.455430968543837,26770,0,0,0
2023,48320520,6285562,0.13008059515915807,16494.478950143748,5247.867779568598,3408.4732531851896,1208.579708993198,26.9,20.017164150674496,27150,0,0,0
