ano,poblacion_total,poblacion_extranjera,share_extranjeros,hc_rate,he_rate,det_tot_rate,det_ext_rate,arope,paro_15_29,pib_pc_real,covid_2020,covid_2021,covid_2020_2021,l_hc_rate,l_he_rate,l_det_tot_rate,l_det_ext_rate,l_share_extranjeros,l_pib_pc_real,d_l_hc_rate,d_l_he_rate,d_l_det_tot_rate,d_l_det_ext_rate,d_l_share_extranjeros,d_l_pib_pc_real,base100_hc_rate,base100_he_rate,base100_det_tot_rate,base100_det_ext_rate,base100_share_extranjeros,base100_pib_pc_real
2010,46562483,5353781,0.11498057352310873,15411.931532946815,4616.4183297527325,2240.4969253894815,683.0262896418132,26.1,31.87646132634303,24510,0,0,0,9.642897263285287,8.437374430111266,7.714452961937589,6.5265333502528735,-2.1629920907744826,10.106836476522158,,,,,,,100,100,100,100.00000000000001,100,100
2011,46736257,5269458,0.1127488236809379,15238.39617708367,4654.11896378437,2965.890058333084,854.0350161117951,26.7,33.46346222304872,24260,0,0,0,9.631573585978591,8.445507905156594,7.994932454692285,6.74997219542082,-2.182592733638803,10.096584182498042,-0.011323677306695146,0.008133475045328353,0.2804794927546963,0.2234388451679461,-0.019600642864320506,-0.010252294024116537,98.87401942130245,100.81666416123204,132.37643956228607,125.03691718215721,98.05902008157727,98.98000815993473
2012,46749303,5136681,0.109877167580445,15193.574115960617,4618.391850676362,2929.2885928160254,814.7693667218953,27.2,40.45569918675741,23560,0,0,0,9.62862786191915,8.437801839211208,7.982514871443477,6.702905087575571,-2.208392195476777,10.067305637765523,-0.0029457240594421563,-0.0077060659453866975,-0.012417583248808484,-0.04706710784524848,-0.02579946183797377,-0.02927854473251834,98.58319240181281,100.0427500452225,130.7428079735841,119.28814147829794,95.56150592548744,96.12403100775194
2013,46581124,4862690,0.10439185623773269,14581.185288701923,4701.058737869872,2919.027887777032,789.5429917062543,27.3,41.77523156572221,23310,0,0,0,9.587487297779742,8.455543025706733,7.979005924688926,6.671454286559223,-2.259603611961879,10.056637732029802,-0.04114056413940759,0.017741186495525696,-0.0035089467545503794,-0.031450801016347896,-0.0512114164851023,-0.01066790573572085,94.60972012191355,101.83346486542682,130.2848423802053,115.59481731227355,90.79086409040399,95.10403916768666
2014,46433050,4521382,0.09737421944067857,14044.384334003473,4571.806073475682,2752.1129884855723,682.7206052585389,29.2,38.38815636613211,23730,0,0,0,9.54997790333394,8.427663607889933,7.920124255072914,6.526085705979224,-2.3291937908369236,10.074495349429808,-0.03750939444580226,-0.027879417816800256,-0.058881669616011933,-0.14536858057999957,-0.06959017887504437,0.01785761740000602,91.12669819470797,99.03361755607101,122.83493707571827,99.95524559040992,84.68754021400699,96.81762545899633
2015,46384379,4414367,0.09516925946125095,13737.271334386087,4217.318507163802,2416.1819650533644,575.8943113154538,28.6,37.083359365896854,24720,0,0,0,9.52786795321473,8.346954780219429,7.789943872879709,6.355924156560478,-2.3520982941485964,10.115367911571628,-0.022109950119208577,-0.08070882767050414,-0.13018038219320527,-0.1701615494187454,-0.02290450331167282,0.04087256214181956,89.13400182851365,91.35477346113242,107.84134259114605,84.31510178289908,82.76985976428783,100.85679314565483
2016,46427100,4385813,0.09446665848179188,13584.14374363249,4107.161550042971,2339.469835505556,568.57955805984,27.9,33.05925345109651,25420,0,0,0,9.5166584903291,8.320487448474637,7.757679616658522,6.343141247216149,-2.359508327036664,10.143291544743445,-0.011209462885631183,-0.026467331744791878,-0.032264256221187004,-0.01278290934432924,-0.007410032888067519,0.027923633171816675,88.14043661297757,88.96857383076376,104.41745351196452,83.24416888228558,82.15879916689234,103.71277029783762
2017,46510461,4450798,0.0956945578329142,13812.320630406135,4183.469606977234,2380.7074283783168,576.2467071655127,26.6,28.033233569812747,26110,0,0,0,9.533316272141844,8.338896230734298,7.775152961313235,6.356535880048133,-2.34659384908991,10.170073661693175,0.016657781812744687,0.018408782259660583,0.01747334465471262,0.013394632831984055,0.012914477946754044,0.02678211694973065,89.62095763843021,90.62154484603028,106.25800916751811,84.36669508983367,83.22671813224305,106.52794777641779
2018,46715383,4672952,0.10003026198029887,14375.249797266995,4276.494960985336,2484.273756248557,619.6374329201154,26.1,26.11513525643702,26620,0,0,0,9.573263242715752,8.360889018716701,7.8177356448104645,6.429134521372624,-2.302282518971194,10.189418091949102,0.03994697057390795,0.021992787982403783,0.04258268349722982,0.07259864132449056,0.04431133011871591,0.019344430255927136,93.27351193155994,92.63664285845594,110.88048049058126,90.71941187579478,86.99753263988967,108.60873113015096
2019,47087778,5033641,0.1068990981056698,14799.460276082682,4427.257111176493,2569.9959764506198,666.7505100792822,25.3,24.841708920298203,26930,0,0,0,9.602345991254987,8.395535509016428,7.851659612304624,6.502415928085126,-2.2358698977905647,10.200996185805645,0.02908274853923487,0.03464649029972655,0.03392396749415916,0.0732814067125025,0.0664126211806293,0.011578093856542182,96.02599287730533,95.90242467072147,114.70651654671916,97.6171078903762,92.9714427665342,109.87352101183191
