edad,sexo,periodo,total
Total,Ambos sexos,2023T4,"11,80"
Total,Ambos sexos,2023T3,"11,89"
Total,Ambos sexos,2023T2,"11,67"
Total,Ambos sexos,2023T1,"13,38"
Total,Ambos sexos,2022T4,"12,99"
Total,Ambos sexos,2022T3,"12,73"
Total,Ambos sexos,2022T2,"12,69"
Total,Ambos sexos,2022T1,"13,73"
Total,Ambos sexos,2021T4,"13,44"
Total,Ambos sexos,2021T3,"14,71"
Total,Ambos sexos,2021T2,"15,39"
Total,Ambos sexos,2021T1,"16,14"
Total,Ambos sexos,2020T4,"16,13"
Total,Ambos sexos,2020T3,"16,26"
Total,Ambos sexos,2020T2,"15,33"
Total,Ambos sexos,2020T1,"14,41"
Total,Ambos sexos,2019T4,"13,78"
Total,Ambos sexos,2019T3,"13,92"
Total,Ambos sexos,2019T2,"14,02"
Total,Ambos sexos,2019T1,"14,70"
Total,Ambos sexos,2018T4,"14,45"
Total,Ambos sexos,2018T3,"14,55"
Total,Ambos sexos,2018T2,"15,28"
Total,Ambos sexos,2018T1,"16,74"
Total,Ambos sexos,2017T4,"16,55"
Total,Ambos sexos,2017T3,"16,38"
Total,Ambos sexos,2017T2,"17,22"
Total,Ambos sexos,2017T1,"18,75"
Total,Ambos sexos,2016T4,"18,63"
Total,Ambos sexos,2016T3,"18,91"
Total,Ambos sexos,2016T2,"20,00"
Total,Ambos sexos,2016T1,"21,00"
Total,Ambos sexos,2015T4,"20,90"
Total,Ambos sexos,2015T3,"21,18"
Total,Ambos sexos,2015T2,"22,37"
Total,Ambos sexos,2015T1,"23,78"
Total,Ambos sexos,2014T4,"23,70"
Total,Ambos sexos,2014T3,"23,67"
Total,Ambos sexos,2014T2,"24,47"
Total,Ambos sexos,2014T1,"25,93"
Total,Ambos sexos,2013T4,"25,73"
Total,Ambos sexos,2013T3,"25,65"
Total,Ambos sexos,2013T2,"26,06"
Total,Ambos sexos,2013T1,"26,94"
Total,Ambos sexos,2012T4,"25,77"
