Comunidades autónomas;Tipología penal;Sexo;periodo;Total
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Masculino;2023;36.261
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Masculino;2022;33.036
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Masculino;2021;27.810
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Masculino;2020;24.442
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Masculino;2019;21.710
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Masculino;2018;19.579
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Masculino;2017;18.489
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Masculino;2016;17.065
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Masculino;2015;17.358
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Masculino;2014;18.711
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Masculino;2013;20.581
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Masculino;2012;22.582
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Masculino;2011;24.875
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Masculino;2010;19.526
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Femenino;2023;6.955
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Femenino;2022;6.240
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Femenino;2021;5.025
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Femenino;2020;4.502
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Femenino;2019;3.473
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Femenino;2018;2.933
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Femenino;2017;2.815
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Femenino;2016;2.402
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Femenino;2015;2.565
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Femenino;2014;2.900
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Femenino;2013;3.133
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Femenino;2012;3.254
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Femenino;2011;3.307
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Femenino;2010;1.535
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Ambos sexos;2023;43.216
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Ambos sexos;2022;39.276
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Ambos sexos;2021;32.835
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Ambos sexos;2020;28.944
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Ambos sexos;2019;25.183
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Ambos sexos;2018;22.512
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Ambos sexos;2017;21.304
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Ambos sexos;2016;19.467
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Ambos sexos;2015;19.923
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Ambos sexos;2014;21.611
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Ambos sexos;2013;23.714
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Ambos sexos;2012;25.836
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Ambos sexos;2011;28.182
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Ambos sexos;2010;21.061
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Masculino;2023;533
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Masculino;2022;445
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Masculino;2021;404
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Masculino;2020;332
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Masculino;2019;265
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Masculino;2018;242
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Masculino;2017;238
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Masculino;2016;252
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Masculino;2015;193
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Masculino;2014;171
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Masculino;2013;227
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Masculino;2012;295
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Masculino;2011;360
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Masculino;2010;267
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Femenino;2023;35
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Femenino;2022;37
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Femenino;2021;35
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Femenino;2020;49
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Femenino;2019;22
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Femenino;2018;35
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Femenino;2017;32
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Femenino;2016;38
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Femenino;2015;37
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Femenino;2014;27
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Femenino;2013;23
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Femenino;2012;31
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Femenino;2011;39
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Femenino;2010;38
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Ambos sexos;2023;568
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Ambos sexos;2022;482
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Ambos sexos;2021;439
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Ambos sexos;2020;381
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Ambos sexos;2019;287
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Ambos sexos;2018;277
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Ambos sexos;2017;270
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Ambos sexos;2016;290
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Ambos sexos;2015;230
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Ambos sexos;2014;198
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Ambos sexos;2013;250
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Ambos sexos;2012;326
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Ambos sexos;2011;399
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Ambos sexos;2010;305
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Masculino;2023;125
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Masculino;2022;96
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Masculino;2021;97
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Masculino;2020;84
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Masculino;2019;88
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Masculino;2018;82
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Masculino;2017;73
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Masculino;2016;87
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Masculino;2015;76
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Masculino;2014;61
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Masculino;2013;70
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Masculino;2012;125
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Masculino;2011;151
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Masculino;2010;102
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Femenino;2023;12
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Femenino;2022;9
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Femenino;2021;15
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Femenino;2020;17
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Femenino;2019;11
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Femenino;2018;11
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Femenino;2017;13
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Femenino;2016;20
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Femenino;2015;15
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Femenino;2014;13
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Femenino;2013;11
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Femenino;2012;15
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Femenino;2011;25
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Femenino;2010;22
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Ambos sexos;2023;137
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Ambos sexos;2022;105
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Ambos sexos;2021;112
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Ambos sexos;2020;101
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Ambos sexos;2019;99
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Ambos sexos;2018;93
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Ambos sexos;2017;86
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Ambos sexos;2016;107
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Ambos sexos;2015;91
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Ambos sexos;2014;74
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Ambos sexos;2013;81
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Ambos sexos;2012;140
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Ambos sexos;2011;176
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Ambos sexos;2010;124
TOTAL NACIONAL;1.2.-Lesiones;Masculino;2023;11.103
TOTAL NACIONAL;1.2.-Lesiones;Masculino;2022;10.683
TOTAL NACIONAL;1.2.-Lesiones;Masculino;2021;9.072
TOTAL NACIONAL;1.2.-Lesiones;Masculino;2020;7.534
TOTAL NACIONAL;1.2.-Lesiones;Masculino;2019;6.528
TOTAL NACIONAL;1.2.-Lesiones;Masculino;2018;5.842
TOTAL NACIONAL;1.2.-Lesiones;Masculino;2017;5.480
TOTAL NACIONAL;1.2.-Lesiones;Masculino;2016;4.995
TOTAL NACIONAL;1.2.-Lesiones;Masculino;2015;4.988
TOTAL NACIONAL;1.2.-Lesiones;Masculino;2014;5.322
TOTAL NACIONAL;1.2.-Lesiones;Masculino;2013;5.977
TOTAL NACIONAL;1.2.-Lesiones;Masculino;2012;6.408
TOTAL NACIONAL;1.2.-Lesiones;Masculino;2011;7.251
TOTAL NACIONAL;1.2.-Lesiones;Masculino;2010;4.647
TOTAL NACIONAL;1.2.-Lesiones;Femenino;2023;2.435
TOTAL NACIONAL;1.2.-Lesiones;Femenino;2022;2.450
TOTAL NACIONAL;1.2.-Lesiones;Femenino;2021;1.889
TOTAL NACIONAL;1.2.-Lesiones;Femenino;2020;1.766
