Comunidades autónomas;Tipología penal;periodo;Total
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;2023;132.332
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;2022;122.885
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;2021;108.154
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;2020;96.238
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;2019;95.194
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;2018;89.831
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;2017;86.481
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;2016;81.360
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;2015;86.933
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;2014;97.159
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;2013;93.213
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;2012;97.294
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;2011;101.176
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;2010;66.224
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;2023;1.631
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;2022;1.500
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;2021;1.312
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;2020;1.225
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;2019;1.256
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;2018;1.204
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;2017;1.208
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;2016;1.233
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;2015;1.076
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;2014;1.106
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;2013;1.086
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;2012;1.325
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;2011;1.390
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;2010;1.338
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2023;399
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2022;375
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2021;360
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2020;377
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2019;363
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2018;340
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2017;332
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2016;333
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2015;351
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2014;305
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2013;311
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2012;408
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2011;451
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2010;397
TOTAL NACIONAL;1.2.-Lesiones;2023;45.598
TOTAL NACIONAL;1.2.-Lesiones;2022;44.431
TOTAL NACIONAL;1.2.-Lesiones;2021;38.573
TOTAL NACIONAL;1.2.-Lesiones;2020;32.334
TOTAL NACIONAL;1.2.-Lesiones;2019;33.570
TOTAL NACIONAL;1.2.-Lesiones;2018;31.812
TOTAL NACIONAL;1.2.-Lesiones;2017;30.690
TOTAL NACIONAL;1.2.-Lesiones;2016;28.184
TOTAL NACIONAL;1.2.-Lesiones;2015;27.203
TOTAL NACIONAL;1.2.-Lesiones;2014;28.867
TOTAL NACIONAL;1.2.-Lesiones;2013;28.574
TOTAL NACIONAL;1.2.-Lesiones;2012;29.942
TOTAL NACIONAL;1.2.-Lesiones;2011;31.319
TOTAL NACIONAL;1.2.-Lesiones;2010;16.137
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;2023;81.461
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;2022;73.876
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;2021;65.618
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;2020;60.547
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;2019;58.600
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;2018;55.153
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;2017;53.238
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;2016;50.743
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;2015;49.898
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;2014;50.644
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;2013;49.079
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;2012;49.830
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;2011;51.888
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;2010;46.479
TOTAL NACIONAL;1.4.-Otros contra las personas;2023;3.642
TOTAL NACIONAL;1.4.-Otros contra las personas;2022;3.078
TOTAL NACIONAL;1.4.-Otros contra las personas;2021;2.651
