Comunidades autónomas;Tipología penal;periodo;Total
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;2023;226.761
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;2022;212.804
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;2021;183.590
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;2020;161.406
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;2019;186.110
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;2018;177.165
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;2017;174.217
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;2016;166.431
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;2015;223.893
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;2014;281.713
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;2013;274.655
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;2012;286.446
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;2011;300.654
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;2010;297.488
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;2023;1.692
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;2022;1.539
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;2021;1.322
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;2020;1.201
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;2019;1.167
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;2018;1.088
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;2017;1.106
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;2016;1.107
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;2015;964
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;2014;1.048
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;2013;964
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;2012;1.125
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;2011;1.210
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;2010;1.177
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2023;333
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2022;326
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2021;293
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2020;298
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2019;331
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2018;289
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2017;307
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2016;294
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2015;302
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2014;323
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2013;302
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2012;364
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2011;385
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2010;401
TOTAL NACIONAL;1.2.-Lesiones;2023;118.125
TOTAL NACIONAL;1.2.-Lesiones;2022;113.704
TOTAL NACIONAL;1.2.-Lesiones;2021;96.159
TOTAL NACIONAL;1.2.-Lesiones;2020;81.449
TOTAL NACIONAL;1.2.-Lesiones;2019;103.341
TOTAL NACIONAL;1.2.-Lesiones;2018;99.928
