Comunidades autónomas;Tipología penal;periodo;Total
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;2023;195.302
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;2022;181.894
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;2021;159.540
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;2020;141.869
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;2019;159.909
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;2018;153.525
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;2017;150.363
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;2016;145.212
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;2015;189.246
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;2014;233.846
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;2013;230.390
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;2012;237.300
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;2011;244.461
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;2010;244.533
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;2023;1.544
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;2022;1.384
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;2021;1.165
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;2020;1.101
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;2019;1.090
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;2018;1.008
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;2017;1.029
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;2016;1.019
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;2015;893
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;2014;950
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;2013;889
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;2012;1.031
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;2011;1.107
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;2010;1.103
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2023;315
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2022;319
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2021;261
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2020;279
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2019;254
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2018;227
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2017;236
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2016;210
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2015;244
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2014;232
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2013;228
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2012;252
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2011;271
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2010;281
TOTAL NACIONAL;1.2.-Lesiones;2023;90.444
TOTAL NACIONAL;1.2.-Lesiones;2022;86.577
TOTAL NACIONAL;1.2.-Lesiones;2021;74.813
TOTAL NACIONAL;1.2.-Lesiones;2020;64.416
TOTAL NACIONAL;1.2.-Lesiones;2019;79.537
TOTAL NACIONAL;1.2.-Lesiones;2018;78.214
TOTAL NACIONAL;1.2.-Lesiones;2017;78.624
TOTAL NACIONAL;1.2.-Lesiones;2016;77.292
TOTAL NACIONAL;1.2.-Lesiones;2015;76.483
TOTAL NACIONAL;1.2.-Lesiones;2014;78.117
TOTAL NACIONAL;1.2.-Lesiones;2013;80.397
TOTAL NACIONAL;1.2.-Lesiones;2012;83.307
TOTAL NACIONAL;1.2.-Lesiones;2011;86.806
TOTAL NACIONAL;1.2.-Lesiones;2010;88.238
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;2023;98.901
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;2022;90.267
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;2021;80.426
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;2020;73.699
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;2019;76.160
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;2018;71.414
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;2017;68.589
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;2016;65.493
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;2015;63.117
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;2014;61.442
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;2013;58.989
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;2012;58.903
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;2011;61.043
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;2010;59.593
TOTAL NACIONAL;1.4.-Otros contra las personas;2023;4.413
TOTAL NACIONAL;1.4.-Otros contra las personas;2022;3.666
