Umbral;Riesgo de pobreza;periodo;Total
Inferior al 70% de la mediana de los ingresos por unidad de consumo;Población  en riesgo de pobreza (miles de personas);2023;12.730,7
Inferior al 70% de la mediana de los ingresos por unidad de consumo;Población  en riesgo de pobreza (miles de personas);2022;12.868,4
Inferior al 70% de la mediana de los ingresos por unidad de consumo;Población  en riesgo de pobreza (miles de personas);2021;13.357,1
Inferior al 70% de la mediana de los ingresos por unidad de consumo;Población  en riesgo de pobreza (miles de personas);2020;13.099,5
Inferior al 70% de la mediana de los ingresos por unidad de consumo;Población  en riesgo de pobreza (miles de personas);2019;13.205,5
Inferior al 70% de la mediana de los ingresos por unidad de consumo;Población  en riesgo de pobreza (miles de personas);2018;13.356,8
Inferior al 70% de la mediana de los ingresos por unidad de consumo;Población  en riesgo de pobreza (miles de personas);2017;13.454,2
Inferior al 70% de la mediana de los ingresos por unidad de consumo;Población  en riesgo de pobreza (miles de personas);2016;13.750,1
Inferior al 70% de la mediana de los ingresos por unidad de consumo;Población  en riesgo de pobreza (miles de personas);2015;13.420,6
Inferior al 70% de la mediana de los ingresos por unidad de consumo;Población  en riesgo de pobreza (miles de personas);2014;13.651,1
Inferior al 70% de la mediana de los ingresos por unidad de consumo;Población  en riesgo de pobreza (miles de personas);2013;13.219,1
Inferior al 70% de la mediana de los ingresos por unidad de consumo;Población  en riesgo de pobreza (miles de personas);2012;13.395,4
Inferior al 70% de la mediana de los ingresos por unidad de consumo;Población  en riesgo de pobreza (miles de personas);2011;13.002,9
Inferior al 70% de la mediana de los ingresos por unidad de consumo;Población  en riesgo de pobreza (miles de personas);2010;12.536,7
Inferior al 70% de la mediana de los ingresos por unidad de consumo;Población  en riesgo de pobreza (miles de personas);2009;12.710,8
Inferior al 70% de la mediana de los ingresos por unidad de consumo;Población  en riesgo de pobreza (miles de personas);2008;12.376,7
Inferior al 70% de la mediana de los ingresos por unidad de consumo;Tasa de riesgo de pobreza (%);2023;26,9
Inferior al 70% de la mediana de los ingresos por unidad de consumo;Tasa de riesgo de pobreza (%);2022;27,5
Inferior al 70% de la mediana de los ingresos por unidad de consumo;Tasa de riesgo de pobreza (%);2021;28,5
Inferior al 70% de la mediana de los ingresos por unidad de consumo;Tasa de riesgo de pobreza (%);2020;27,9
Inferior al 70% de la mediana de los ingresos por unidad de consumo;Tasa de riesgo de pobreza (%);2019;28,4
Inferior al 70% de la mediana de los ingresos por unidad de consumo;Tasa de riesgo de pobreza (%);2018;28,9
Inferior al 70% de la mediana de los ingresos por unidad de consumo;Tasa de riesgo de pobreza (%);2017;29,2
Inferior al 70% de la mediana de los ingresos por unidad de consumo;Tasa de riesgo de pobreza (%);2016;29,9
Inferior al 70% de la mediana de los ingresos por unidad de consumo;Tasa de riesgo de pobreza (%);2015;29,2
Inferior al 70% de la mediana de los ingresos por unidad de consumo;Tasa de riesgo de pobreza (%);2014;29,7
Inferior al 70% de la mediana de los ingresos por unidad de consumo;Tasa de riesgo de pobreza (%);2013;28,6
Inferior al 70% de la mediana de los ingresos por unidad de consumo;Tasa de riesgo de pobreza (%);2012;28,9
Inferior al 70% de la mediana de los ingresos por unidad de consumo;Tasa de riesgo de pobreza (%);2011;28,1
Inferior al 70% de la mediana de los ingresos por unidad de consumo;Tasa de riesgo de pobreza (%);2010;27,2
Inferior al 70% de la mediana de los ingresos por unidad de consumo;Tasa de riesgo de pobreza (%);2009;27,7
Inferior al 70% de la mediana de los ingresos por unidad de consumo;Tasa de riesgo de pobreza (%);2008;27,3
Inferior al 60% de la mediana de los ingresos por unidad de consumo;Población  en riesgo de pobreza (miles de personas);2023;9.567,1
Inferior al 60% de la mediana de los ingresos por unidad de consumo;Población  en riesgo de pobreza (miles de personas);2022;9.584,7
Inferior al 60% de la mediana de los ingresos por unidad de consumo;Población  en riesgo de pobreza (miles de personas);2021;10.159,8
Inferior al 60% de la mediana de los ingresos por unidad de consumo;Población  en riesgo de pobreza (miles de personas);2020;9.829,3
Inferior al 60% de la mediana de los ingresos por unidad de consumo;Población  en riesgo de pobreza (miles de personas);2019;9.610,4
Inferior al 60% de la mediana de los ingresos por unidad de consumo;Población  en riesgo de pobreza (miles de personas);2018;9.949,6
Inferior al 60% de la mediana de los ingresos por unidad de consumo;Población  en riesgo de pobreza (miles de personas);2017;9.950,1
Inferior al 60% de la mediana de los ingresos por unidad de consumo;Población  en riesgo de pobreza (miles de personas);2016;10.268,9
Inferior al 60% de la mediana de los ingresos por unidad de consumo;Población  en riesgo de pobreza (miles de personas);2015;10.178,1
Inferior al 60% de la mediana de los ingresos por unidad de consumo;Población  en riesgo de pobreza (miles de personas);2014;10.218,4
Inferior al 60% de la mediana de los ingresos por unidad de consumo;Población  en riesgo de pobreza (miles de personas);2013;9.424,9
Inferior al 60% de la mediana de los ingresos por unidad de consumo;Población  en riesgo de pobreza (miles de personas);2012;9.656,3
Inferior al 60% de la mediana de los ingresos por unidad de consumo;Población  en riesgo de pobreza (miles de personas);2011;9.549,9
Inferior al 60% de la mediana de los ingresos por unidad de consumo;Población  en riesgo de pobreza (miles de personas);2010;9.550,6
Inferior al 60% de la mediana de los ingresos por unidad de consumo;Población  en riesgo de pobreza (miles de personas);2009;9.342,0
Inferior al 60% de la mediana de los ingresos por unidad de consumo;Población  en riesgo de pobreza (miles de personas);2008;8.996,9
Inferior al 60% de la mediana de los ingresos por unidad de consumo;Tasa de riesgo de pobreza (%);2023;20,2
Inferior al 60% de la mediana de los ingresos por unidad de consumo;Tasa de riesgo de pobreza (%);2022;20,4
Inferior al 60% de la mediana de los ingresos por unidad de consumo;Tasa de riesgo de pobreza (%);2021;21,7
Inferior al 60% de la mediana de los ingresos por unidad de consumo;Tasa de riesgo de pobreza (%);2020;21,0
Inferior al 60% de la mediana de los ingresos por unidad de consumo;Tasa de riesgo de pobreza (%);2019;20,7
Inferior al 60% de la mediana de los ingresos por unidad de consumo;Tasa de riesgo de pobreza (%);2018;21,5
Inferior al 60% de la mediana de los ingresos por unidad de consumo;Tasa de riesgo de pobreza (%);2017;21,6
Inferior al 60% de la mediana de los ingresos por unidad de consumo;Tasa de riesgo de pobreza (%);2016;22,3
Inferior al 60% de la mediana de los ingresos por unidad de consumo;Tasa de riesgo de pobreza (%);2015;22,1
Inferior al 60% de la mediana de los ingresos por unidad de consumo;Tasa de riesgo de pobreza (%);2014;22,2
Inferior al 60% de la mediana de los ingresos por unidad de consumo;Tasa de riesgo de pobreza (%);2013;20,4
Inferior al 60% de la mediana de los ingresos por unidad de consumo;Tasa de riesgo de pobreza (%);2012;20,8
Inferior al 60% de la mediana de los ingresos por unidad de consumo;Tasa de riesgo de pobreza (%);2011;20,6
Inferior al 60% de la mediana de los ingresos por unidad de consumo;Tasa de riesgo de pobreza (%);2010;20,7
Inferior al 60% de la mediana de los ingresos por unidad de consumo;Tasa de riesgo de pobreza (%);2009;20,4
Inferior al 60% de la mediana de los ingresos por unidad de consumo;Tasa de riesgo de pobreza (%);2008;19,8
Inferior al 50% de la mediana de los ingresos por unidad de consumo;Población  en riesgo de pobreza (miles de personas);2023;6.185,4
Inferior al 50% de la mediana de los ingresos por unidad de consumo;Población  en riesgo de pobreza (miles de personas);2022;6.445,5
Inferior al 50% de la mediana de los ingresos por unidad de consumo;Población  en riesgo de pobreza (miles de personas);2021;7.087,7
Inferior al 50% de la mediana de los ingresos por unidad de consumo;Población  en riesgo de pobreza (miles de personas);2020;6.841,6
Inferior al 50% de la mediana de los ingresos por unidad de consumo;Población  en riesgo de pobreza (miles de personas);2019;6.316,5
Inferior al 50% de la mediana de los ingresos por unidad de consumo;Población  en riesgo de pobreza (miles de personas);2018;6.756,5
Inferior al 50% de la mediana de los ingresos por unidad de consumo;Población  en riesgo de pobreza (miles de personas);2017;7.232,6
Inferior al 50% de la mediana de los ingresos por unidad de consumo;Población  en riesgo de pobreza (miles de personas);2016;7.113,8
Inferior al 50% de la mediana de los ingresos por unidad de consumo;Población  en riesgo de pobreza (miles de personas);2015;7.323,9
Inferior al 50% de la mediana de los ingresos por unidad de consumo;Población  en riesgo de pobreza (miles de personas);2014;7.310,9
Inferior al 50% de la mediana de los ingresos por unidad de consumo;Población  en riesgo de pobreza (miles de personas);2013;6.422,1
