"ts","kind","script","caller","path","rows","cols"
"2025-09-18 17:22:12","read","10_limpieza_arope.R","read_raw","D:/delitos_inmigracion_espana_MIN/data/raw/arope.csv",1632,5
"2025-09-18 17:22:13","write","10_limpieza_arope.R","write_clean","D:/delitos_inmigracion_espana_MIN/data/processed/arope_componentes.csv",1344,3
"2025-09-18 17:22:13","write","10_limpieza_arope.R","write_clean","D:/delitos_inmigracion_espana_MIN/data/processed/arope_total.csv",14,2
"2025-09-18 17:28:52","read",NA,"read_raw","D:/delitos_inmigracion_espana_MIN/data/raw/arope.csv",1632,5
"2025-09-18 17:28:53","write",NA,"write_clean","D:/delitos_inmigracion_espana_MIN/data/processed/arope_componentes.csv",56,3
"2025-09-18 17:28:53","write",NA,"write_clean","D:/delitos_inmigracion_espana_MIN/data/processed/arope_total.csv",14,2
"2025-09-18 17:51:17","read","11_limpieza_tasas_paro.R","read_raw","D:/delitos_inmigracion_espana_MIN/data/raw/tasas_paro.csv",3666,4
"2025-09-18 17:51:17","write","11_limpieza_tasas_paro.R","write_clean","D:/delitos_inmigracion_espana_MIN/output/tables/qc_paro_parse_periodo_samples.csv",50,3
"2025-09-18 17:51:17","write","11_limpieza_tasas_paro.R","write_clean","D:/delitos_inmigracion_espana_MIN/output/tables/qc_paro_bins_cobertura.csv",168,4
"2025-09-18 17:51:17","write","11_limpieza_tasas_paro.R","write_clean","D:/delitos_inmigracion_espana_MIN/output/tables/qc_paro_rates_year.csv",42,4
"2025-09-18 17:51:17","write","11_limpieza_tasas_paro.R","write_clean","D:/delitos_inmigracion_espana_MIN/output/tables/qc_paro_pesos_adj.csv",42,3
"2025-09-18 17:51:18","write","11_limpieza_tasas_paro.R","write_clean","D:/delitos_inmigracion_espana_MIN/output/tables/qc_paro_join_matrix.csv",42,5
"2025-09-18 17:51:18","write","11_limpieza_tasas_paro.R","write_clean","D:/delitos_inmigracion_espana_MIN/output/tables/qc_paro_cobertura_anual_15_29.csv",14,4
"2025-09-18 17:51:18","write","11_limpieza_tasas_paro.R","write_clean","D:/delitos_inmigracion_espana_MIN/data/processed/paro_15_29_anual.csv",14,3
"2025-09-19 09:54:08","read","13_limpieza_hechos_conocidos.R","read_raw","D:/delitos_inmigracion_espana_MIN/data/raw/hechos_conocidos.csv",13552,4
"2025-09-19 09:54:14","read","13_limpieza_hechos_conocidos.R","read_raw","D:/delitos_inmigracion_espana_MIN/data/raw/hechos_conocidos.csv",13552,4
"2025-09-19 10:10:03","read","13_limpieza_hechos_conocidos.R","read_raw","D:/delitos_inmigracion_espana_MIN/data/raw/hechos_conocidos.csv",13552,4
"2025-09-20 15:58:40","read","01_validacion_raw.R","read_raw","D:/delitos_inmigracion_espana_MIN/data/raw/arope.csv",1632,5
"2025-09-20 15:58:41","write","01_validacion_raw.R","write_clean","D:/delitos_inmigracion_espana_MIN/diagnostics/cols_arope.csv",5,1
"2025-09-20 15:58:41","write","01_validacion_raw.R","write_clean","D:/delitos_inmigracion_espana_MIN/diagnostics/uniques_arope.csv",5,3
"2025-09-20 15:58:41","read","01_validacion_raw.R","read_raw","D:/delitos_inmigracion_espana_MIN/data/raw/crecimiento_pib.csv",180,3
"2025-09-20 15:58:41","write","01_validacion_raw.R","write_clean","D:/delitos_inmigracion_espana_MIN/diagnostics/cols_crecimiento_pib.csv",3,1
"2025-09-20 15:58:41","write","01_validacion_raw.R","write_clean","D:/delitos_inmigracion_espana_MIN/diagnostics/uniques_crecimiento_pib.csv",3,3
"2025-09-20 15:58:42","read","01_validacion_raw.R","read_raw","D:/delitos_inmigracion_espana_MIN/data/raw/detenciones_extranjeros_tipologia.csv",36960,5
"2025-09-20 15:58:42","write","01_validacion_raw.R","write_clean","D:/delitos_inmigracion_espana_MIN/diagnostics/cols_detenciones_extranjeros_tipologia.csv",5,1
