"comunidades_autonomas","tipologia_penal","sexo","periodo","total"
"TOTAL NACIONAL","1. CONTRA LAS PERSONAS","Masculino","2023","36.261"
"TOTAL NACIONAL","1. CONTRA LAS PERSONAS","Masculino","2022","33.036"
"TOTAL NACIONAL","1. CONTRA LAS PERSONAS","Masculino","2021","27.810"
"TOTAL NACIONAL","1. CONTRA LAS PERSONAS","Masculino","2020","24.442"
"TOTAL NACIONAL","1. CONTRA LAS PERSONAS","Masculino","2019","21.710"
"TOTAL NACIONAL","1. CONTRA LAS PERSONAS","Masculino","2018","19.579"
"TOTAL NACIONAL","1. CONTRA LAS PERSONAS","Masculino","2017","18.489"
"TOTAL NACIONAL","1. CONTRA LAS PERSONAS","Masculino","2016","17.065"
"TOTAL NACIONAL","1. CONTRA LAS PERSONAS","Masculino","2015","17.358"
"TOTAL NACIONAL","1. CONTRA LAS PERSONAS","Masculino","2014","18.711"
"TOTAL NACIONAL","1. CONTRA LAS PERSONAS","Masculino","2013","20.581"
"TOTAL NACIONAL","1. CONTRA LAS PERSONAS","Masculino","2012","22.582"
"TOTAL NACIONAL","1. CONTRA LAS PERSONAS","Masculino","2011","24.875"
"TOTAL NACIONAL","1. CONTRA LAS PERSONAS","Masculino","2010","19.526"
"TOTAL NACIONAL","1. CONTRA LAS PERSONAS","Femenino","2023","6.955"
"TOTAL NACIONAL","1. CONTRA LAS PERSONAS","Femenino","2022","6.240"
"TOTAL NACIONAL","1. CONTRA LAS PERSONAS","Femenino","2021","5.025"
"TOTAL NACIONAL","1. CONTRA LAS PERSONAS","Femenino","2020","4.502"
"TOTAL NACIONAL","1. CONTRA LAS PERSONAS","Femenino","2019","3.473"
"TOTAL NACIONAL","1. CONTRA LAS PERSONAS","Femenino","2018","2.933"
