"comunidades_autonomas","tipologia_penal","periodo","total"
"TOTAL NACIONAL","1. CONTRA LAS PERSONAS","2023","132.332"
"TOTAL NACIONAL","1. CONTRA LAS PERSONAS","2022","122.885"
"TOTAL NACIONAL","1. CONTRA LAS PERSONAS","2021","108.154"
"TOTAL NACIONAL","1. CONTRA LAS PERSONAS","2020","96.238"
"TOTAL NACIONAL","1. CONTRA LAS PERSONAS","2019","95.194"
"TOTAL NACIONAL","1. CONTRA LAS PERSONAS","2018","89.831"
"TOTAL NACIONAL","1. CONTRA LAS PERSONAS","2017","86.481"
"TOTAL NACIONAL","1. CONTRA LAS PERSONAS","2016","81.360"
"TOTAL NACIONAL","1. CONTRA LAS PERSONAS","2015","86.933"
"TOTAL NACIONAL","1. CONTRA LAS PERSONAS","2014","97.159"
"TOTAL NACIONAL","1. CONTRA LAS PERSONAS","2013","93.213"
"TOTAL NACIONAL","1. CONTRA LAS PERSONAS","2012","97.294"
"TOTAL NACIONAL","1. CONTRA LAS PERSONAS","2011","101.176"
"TOTAL NACIONAL","1. CONTRA LAS PERSONAS","2010","66.224"
"TOTAL NACIONAL","1.1.-Homicidios dolosos/asesinatos","2023","1.631"
"TOTAL NACIONAL","1.1.-Homicidios dolosos/asesinatos","2022","1.500"
"TOTAL NACIONAL","1.1.-Homicidios dolosos/asesinatos","2021","1.312"
"TOTAL NACIONAL","1.1.-Homicidios dolosos/asesinatos","2020","1.225"
"TOTAL NACIONAL","1.1.-Homicidios dolosos/asesinatos","2019","1.256"
"TOTAL NACIONAL","1.1.-Homicidios dolosos/asesinatos","2018","1.204"
