"edad","sexo","unidad","periodo","total"
"De 16 a 19 años","Ambos sexos","Valor absoluto","2023T4","2.074,8"
"De 16 a 19 años","Ambos sexos","Valor absoluto","2023T3","2.027,1"
"De 16 a 19 años","Ambos sexos","Valor absoluto","2023T2","2.003,7"
"De 16 a 19 años","Ambos sexos","Valor absoluto","2023T1","2.022,2"
"De 16 a 19 años","Ambos sexos","Valor absoluto","2022T4","2.021,8"
"De 16 a 19 años","Ambos sexos","Valor absoluto","2022T3","1.998,3"
"De 16 a 19 años","Ambos sexos","Valor absoluto","2022T2","1.968,9"
"De 16 a 19 años","Ambos sexos","Valor absoluto","2022T1","1.946,8"
"De 16 a 19 años","Ambos sexos","Valor absoluto","2021T4","1.936,2"
"De 16 a 19 años","Ambos sexos","Valor absoluto","2021T3","1.929,2"
"De 16 a 19 años","Ambos sexos","Valor absoluto","2021T2","1.919,6"
"De 16 a 19 años","Ambos sexos","Valor absoluto","2021T1","1.895,5"
"De 16 a 19 años","Ambos sexos","Valor absoluto","2020T4","1.930,8"
"De 16 a 19 años","Ambos sexos","Valor absoluto","2020T3","1.923,5"
"De 16 a 19 años","Ambos sexos","Valor absoluto","2020T2","1.917,6"
"De 16 a 19 años","Ambos sexos","Valor absoluto","2020T1","1.908,4"
"De 16 a 19 años","Ambos sexos","Valor absoluto","2019T4","1.895,7"
"De 16 a 19 años","Ambos sexos","Valor absoluto","2019T3","1.882,2"
"De 16 a 19 años","Ambos sexos","Valor absoluto","2019T2","1.869,0"
"De 16 a 19 años","Ambos sexos","Valor absoluto","2019T1","1.855,2"
