"structure","structure_id","structure_name","freq","time_frequency","unit","unit_of_measure","na_item","national_accounts_indicator_esa_2010","geo","geopolitical_entity_reporting","time_period","time","obs_value","observation_value","obs_flag","observation_status_flag_v2_structure","conf_status","confidentiality_status_flag"
"dataflow","ESTAT:NAMA_10_PC(1.0)","Gross domestic product (GDP) and main components per capita","A","Annual","CLV20_EUR_HAB","Chain linked volumes (2020), euro per capita","B1GQ","Gross domestic product at market prices","AL","Albania","2010",,"3800",,,,,
"dataflow","ESTAT:NAMA_10_PC(1.0)","Gross domestic product (GDP) and main components per capita","A","Annual","CLV20_EUR_HAB","Chain linked volumes (2020), euro per capita","B1GQ","Gross domestic product at market prices","AL","Albania","2011",,"3910",,,,,
"dataflow","ESTAT:NAMA_10_PC(1.0)","Gross domestic product (GDP) and main components per capita","A","Annual","CLV20_EUR_HAB","Chain linked volumes (2020), euro per capita","B1GQ","Gross domestic product at market prices","AL","Albania","2012",,"3950",,,,,
"dataflow","ESTAT:NAMA_10_PC(1.0)","Gross domestic product (GDP) and main components per capita","A","Annual","CLV20_EUR_HAB","Chain linked volumes (2020), euro per capita","B1GQ","Gross domestic product at market prices","AL","Albania","2013",,"4030",,,,,
"dataflow","ESTAT:NAMA_10_PC(1.0)","Gross domestic product (GDP) and main components per capita","A","Annual","CLV20_EUR_HAB","Chain linked volumes (2020), euro per capita","B1GQ","Gross domestic product at market prices","AL","Albania","2014",,"4130",,,,,
"dataflow","ESTAT:NAMA_10_PC(1.0)","Gross domestic product (GDP) and main components per capita","A","Annual","CLV20_EUR_HAB","Chain linked volumes (2020), euro per capita","B1GQ","Gross domestic product at market prices","AL","Albania","2015",,"4230",,,,,
"dataflow","ESTAT:NAMA_10_PC(1.0)","Gross domestic product (GDP) and main components per capita","A","Annual","CLV20_EUR_HAB","Chain linked volumes (2020), euro per capita","B1GQ","Gross domestic product at market prices","AL","Albania","2016",,"4400",,,,,
"dataflow","ESTAT:NAMA_10_PC(1.0)","Gross domestic product (GDP) and main components per capita","A","Annual","CLV20_EUR_HAB","Chain linked volumes (2020), euro per capita","B1GQ","Gross domestic product at market prices","AL","Albania","2017",,"4550",,,,,
"dataflow","ESTAT:NAMA_10_PC(1.0)","Gross domestic product (GDP) and main components per capita","A","Annual","CLV20_EUR_HAB","Chain linked volumes (2020), euro per capita","B1GQ","Gross domestic product at market prices","AL","Albania","2018",,"4730",,,,,
"dataflow","ESTAT:NAMA_10_PC(1.0)","Gross domestic product (GDP) and main components per capita","A","Annual","CLV20_EUR_HAB","Chain linked volumes (2020), euro per capita","B1GQ","Gross domestic product at market prices","AL","Albania","2019",,"4850",,,,,
"dataflow","ESTAT:NAMA_10_PC(1.0)","Gross domestic product (GDP) and main components per capita","A","Annual","CLV20_EUR_HAB","Chain linked volumes (2020), euro per capita","B1GQ","Gross domestic product at market prices","AL","Albania","2020",,"4710",,,,,
"dataflow","ESTAT:NAMA_10_PC(1.0)","Gross domestic product (GDP) and main components per capita","A","Annual","CLV20_EUR_HAB","Chain linked volumes (2020), euro per capita","B1GQ","Gross domestic product at market prices","AL","Albania","2021",,"5190",,,,,
"dataflow","ESTAT:NAMA_10_PC(1.0)","Gross domestic product (GDP) and main components per capita","A","Annual","CLV20_EUR_HAB","Chain linked volumes (2020), euro per capita","B1GQ","Gross domestic product at market prices","AL","Albania","2022",,"5500",,,,,
"dataflow","ESTAT:NAMA_10_PC(1.0)","Gross domestic product (GDP) and main components per capita","A","Annual","CLV20_EUR_HAB","Chain linked volumes (2020), euro per capita","B1GQ","Gross domestic product at market prices","AT","Austria","2010",,"42280",,,,,
"dataflow","ESTAT:NAMA_10_PC(1.0)","Gross domestic product (GDP) and main components per capita","A","Annual","CLV20_EUR_HAB","Chain linked volumes (2020), euro per capita","B1GQ","Gross domestic product at market prices","AT","Austria","2011",,"43370",,,,,
