"comunidades_autonomas","tipologia_penal","periodo","total"
"TOTAL NACIONAL","1. CONTRA LAS PERSONAS","2023","226.761"
"TOTAL NACIONAL","1. CONTRA LAS PERSONAS","2022","212.804"
"TOTAL NACIONAL","1. CONTRA LAS PERSONAS","2021","183.590"
"TOTAL NACIONAL","1. CONTRA LAS PERSONAS","2020","161.406"
"TOTAL NACIONAL","1. CONTRA LAS PERSONAS","2019","186.110"
"TOTAL NACIONAL","1. CONTRA LAS PERSONAS","2018","177.165"
"TOTAL NACIONAL","1. CONTRA LAS PERSONAS","2017","174.217"
"TOTAL NACIONAL","1. CONTRA LAS PERSONAS","2016","166.431"
"TOTAL NACIONAL","1. CONTRA LAS PERSONAS","2015","223.893"
"TOTAL NACIONAL","1. CONTRA LAS PERSONAS","2014","281.713"
"TOTAL NACIONAL","1. CONTRA LAS PERSONAS","2013","274.655"
"TOTAL NACIONAL","1. CONTRA LAS PERSONAS","2012","286.446"
"TOTAL NACIONAL","1. CONTRA LAS PERSONAS","2011","300.654"
"TOTAL NACIONAL","1. CONTRA LAS PERSONAS","2010","297.488"
"TOTAL NACIONAL","1.1.-Homicidios dolosos/asesinatos","2023","1.692"
