"comunidades_autonomas","tipologia_penal","periodo","total"
"TOTAL NACIONAL","1. CONTRA LAS PERSONAS","2023","195.302"
"TOTAL NACIONAL","1. CONTRA LAS PERSONAS","2022","181.894"
"TOTAL NACIONAL","1. CONTRA LAS PERSONAS","2021","159.540"
"TOTAL NACIONAL","1. CONTRA LAS PERSONAS","2020","141.869"
"TOTAL NACIONAL","1. CONTRA LAS PERSONAS","2019","159.909"
"TOTAL NACIONAL","1. CONTRA LAS PERSONAS","2018","153.525"
"TOTAL NACIONAL","1. CONTRA LAS PERSONAS","2017","150.363"
"TOTAL NACIONAL","1. CONTRA LAS PERSONAS","2016","145.212"
"TOTAL NACIONAL","1. CONTRA LAS PERSONAS","2015","189.246"
"TOTAL NACIONAL","1. CONTRA LAS PERSONAS","2014","233.846"
"TOTAL NACIONAL","1. CONTRA LAS PERSONAS","2013","230.390"
"TOTAL NACIONAL","1. CONTRA LAS PERSONAS","2012","237.300"
"TOTAL NACIONAL","1. CONTRA LAS PERSONAS","2011","244.461"
"TOTAL NACIONAL","1. CONTRA LAS PERSONAS","2010","244.533"
"TOTAL NACIONAL","1.1.-Homicidios dolosos/asesinatos","2023","1.544"
"TOTAL NACIONAL","1.1.-Homicidios dolosos/asesinatos","2022","1.384"
"TOTAL NACIONAL","1.1.-Homicidios dolosos/asesinatos","2021","1.165"
"TOTAL NACIONAL","1.1.-Homicidios dolosos/asesinatos","2020","1.101"
"TOTAL NACIONAL","1.1.-Homicidios dolosos/asesinatos","2019","1.090"
"TOTAL NACIONAL","1.1.-Homicidios dolosos/asesinatos","2018","1.008"
