"nacionalidad","grupo_quinquenal_de_edad","sexo","periodo","total"
"Total","Todas las edades","Total","1 de enero de 2024","48.619.695"
"Total","Todas las edades","Total","1 de octubre de 2023","48.486.865"
"Total","Todas las edades","Total","1 de julio de 2023","48.320.520"
"Total","Todas las edades","Total","1 de abril de 2023","48.205.962"
"Total","Todas las edades","Total","1 de enero de 2023","48.085.361"
"Total","Todas las edades","Total","1 de octubre de 2022","47.940.295"
"Total","Todas las edades","Total","1 de julio de 2022","47.781.354"
"Total","Todas las edades","Total","1 de abril de 2022","47.609.145"
"Total","Todas las edades","Total","1 de enero de 2022","47.486.727"
"Total","Todas las edades","Total","1 de octubre de 2021","47.424.595"
"Total","Todas las edades","Total","1 de julio de 2021","47.346.836"
"Total","Todas las edades","Total","1 de abril de 2021","47.356.065"
"Total","Todas las edades","Total","1 de enero de 2021","47.400.798"
"Total","Todas las edades","Total","1 de octubre de 2020",
"Total","Todas las edades","Total","1 de julio de 2020","47.344.852"
"Total","Todas las edades","Total","1 de abril de 2020",
"Total","Todas las edades","Total","1 de enero de 2020","47.318.050"
"Total","Todas las edades","Total","1 de octubre de 2019",
"Total","Todas las edades","Total","1 de julio de 2019","47.087.778"
"Total","Todas las edades","Total","1 de abril de 2019",
