"umbral","riesgo_de_pobreza","periodo","total"
"Inferior al 70% de la mediana de los ingresos por unidad de consumo","Población  en riesgo de pobreza (miles de personas)","2023","12.730,7"
"Inferior al 70% de la mediana de los ingresos por unidad de consumo","Población  en riesgo de pobreza (miles de personas)","2022","12.868,4"
"Inferior al 70% de la mediana de los ingresos por unidad de consumo","Población  en riesgo de pobreza (miles de personas)","2021","13.357,1"
"Inferior al 70% de la mediana de los ingresos por unidad de consumo","Población  en riesgo de pobreza (miles de personas)","2020","13.099,5"
"Inferior al 70% de la mediana de los ingresos por unidad de consumo","Población  en riesgo de pobreza (miles de personas)","2019","13.205,5"
"Inferior al 70% de la mediana de los ingresos por unidad de consumo","Población  en riesgo de pobreza (miles de personas)","2018","13.356,8"
"Inferior al 70% de la mediana de los ingresos por unidad de consumo","Población  en riesgo de pobreza (miles de personas)","2017","13.454,2"
"Inferior al 70% de la mediana de los ingresos por unidad de consumo","Población  en riesgo de pobreza (miles de personas)","2016","13.750,1"
"Inferior al 70% de la mediana de los ingresos por unidad de consumo","Población  en riesgo de pobreza (miles de personas)","2015","13.420,6"
"Inferior al 70% de la mediana de los ingresos por unidad de consumo","Población  en riesgo de pobreza (miles de personas)","2014","13.651,1"
"Inferior al 70% de la mediana de los ingresos por unidad de consumo","Población  en riesgo de pobreza (miles de personas)","2013","13.219,1"
"Inferior al 70% de la mediana de los ingresos por unidad de consumo","Población  en riesgo de pobreza (miles de personas)","2012","13.395,4"
"Inferior al 70% de la mediana de los ingresos por unidad de consumo","Población  en riesgo de pobreza (miles de personas)","2011","13.002,9"
"Inferior al 70% de la mediana de los ingresos por unidad de consumo","Población  en riesgo de pobreza (miles de personas)","2010","12.536,7"
"Inferior al 70% de la mediana de los ingresos por unidad de consumo","Población  en riesgo de pobreza (miles de personas)","2009","12.710,8"
