ano,l_det_ext_rate,l_share_extranjeros,l_pib_pc_real
2010,6.5265333502528735,-2.162992090774482,10.106836476522158
2011,6.74997219542082,-2.182592733638803,10.096584182498042
2012,6.702905087575571,-2.208392195476777,10.067305637765523
2013,6.671454286559223,-2.259603611961879,10.056637732029802
2014,6.526085705979224,-2.3291937908369236,10.074495349429808
2015,6.355924156560478,-2.3520982941485964,10.115367911571628
2016,6.343141247216149,-2.359508327036664,10.143291544743445
2017,6.356535880048133,-2.34659384908991,10.170073661693175
2018,6.429134521372624,-2.302282518971194,10.189418091949102
2019,6.502415928085126,-2.2358698977905647,10.200996185805645
2022,6.970976828898647,-2.1110192107094155,10.1950371365144
2023,7.097201154934297,-2.0396010578613226,10.20913232536208
