ano,l_det_tot_rate,l_share_extranjeros,l_pib_pc_real
2010,7.714452961937589,-2.162992090774482,10.106836476522158
2011,7.994932454692285,-2.182592733638803,10.096584182498042
2012,7.982514871443477,-2.208392195476777,10.067305637765523
2013,7.979005924688926,-2.259603611961879,10.056637732029802
2014,7.920124255072914,-2.3291937908369236,10.074495349429808
2015,7.789943872879709,-2.3520982941485964,10.115367911571628
2016,7.757679616658522,-2.359508327036664,10.143291544743445
2017,7.775152961313235,-2.34659384908991,10.170073661693175
2018,7.817735644810464,-2.302282518971194,10.189418091949102
2019,7.851659612304624,-2.2358698977905647,10.200996185805645
2022,8.051934410620456,-2.1110192107094155,10.1950371365144
2023,8.134019743679545,-2.0396010578613226,10.20913232536208
