ano,l_hc_rate,l_share_extranjeros,l_pib_pc_real
2010,9.642897263285288,-2.162992090774482,10.106836476522158
2011,9.631573585978591,-2.182592733638803,10.096584182498042
2012,9.62862786191915,-2.208392195476777,10.067305637765523
2013,9.587487297779742,-2.259603611961879,10.056637732029802
2014,9.54997790333394,-2.3291937908369236,10.074495349429808
2015,9.52786795321473,-2.3520982941485964,10.115367911571628
2016,9.5166584903291,-2.359508327036664,10.143291544743445
2017,9.533316272141844,-2.34659384908991,10.170073661693175
2018,9.573263242715752,-2.302282518971194,10.189418091949102
2019,9.602345991254987,-2.2358698977905647,10.200996185805645
2022,9.65536740321338,-2.1110192107094155,10.1950371365144
2023,9.710780994812366,-2.0396010578613226,10.20913232536208
