Package,LibPath,Version,Priority,Built
abind,C:/Users/jesus/AppData/Local/R/win-library/4.5,1.4-8,NA,4.5.0
aod,C:/Users/jesus/AppData/Local/R/win-library/4.5,1.3.3,NA,4.5.1
ARDL,C:/Users/jesus/AppData/Local/R/win-library/4.5,0.2.4,NA,4.5.1
askpass,C:/Users/jesus/AppData/Local/R/win-library/4.5,1.2.1,NA,4.5.1
backports,C:/Users/jesus/AppData/Local/R/win-library/4.5,1.5.0,NA,4.5.0
base,C:/Program Files/R/R-4.5.1/library,4.5.1,base,4.5.1
base64enc,C:/Users/jesus/AppData/Local/R/win-library/4.5,0.1-3,NA,4.5.0
bayestestR,C:/Users/jesus/AppData/Local/R/win-library/4.5,0.17.0,NA,4.5.1
bigD,C:/Users/jesus/AppData/Local/R/win-library/4.5,0.3.1,NA,4.5.1
bit,C:/Users/jesus/AppData/Local/R/win-library/4.5,4.6.0,NA,4.5.1
bit64,C:/Users/jesus/AppData/Local/R/win-library/4.5,4.6.0-1,NA,4.5.1
bitops,C:/Users/jesus/AppData/Local/R/win-library/4.5,1.0-9,NA,4.5.0
blob,C:/Users/jesus/AppData/Local/R/win-library/4.5,1.2.4,NA,4.5.1
boot,C:/Program Files/R/R-4.5.1/library,1.3-31,recommended,4.5.1
broom,C:/Users/jesus/AppData/Local/R/win-library/4.5,1.0.9,NA,4.5.1
bslib,C:/Users/jesus/AppData/Local/R/win-library/4.5,0.9.0,NA,4.5.1
cachem,C:/Users/jesus/AppData/Local/R/win-library/4.5,1.1.0,NA,4.5.1
callr,C:/Users/jesus/AppData/Local/R/win-library/4.5,3.7.6,NA,4.5.1
car,C:/Users/jesus/AppData/Local/R/win-library/4.5,3.1-3,NA,4.5.1
carData,C:/Users/jesus/AppData/Local/R/win-library/4.5,3.0-5,NA,4.5.1
cellranger,C:/Users/jesus/AppData/Local/R/win-library/4.5,1.1.0,NA,4.5.1
checkmate,C:/Users/jesus/AppData/Local/R/win-library/4.5,2.3.3,NA,4.5.1
class,C:/Program Files/R/R-4.5.1/library,7.3-23,recommended,4.5.1
cli,C:/Users/jesus/AppData/Local/R/win-library/4.5,3.6.5,NA,4.5.1
clipr,C:/Users/jesus/AppData/Local/R/win-library/4.5,0.8.0,NA,4.5.1
cluster,C:/Program Files/R/R-4.5.1/library,2.1.8.1,recommended,4.5.1
codetools,C:/Program Files/R/R-4.5.1/library,0.2-20,recommended,4.5.1
commonmark,C:/Users/jesus/AppData/Local/R/win-library/4.5,2.0.0,NA,4.5.1
compiler,C:/Program Files/R/R-4.5.1/library,4.5.1,base,4.5.1
conflicted,C:/Users/jesus/AppData/Local/R/win-library/4.5,1.2.0,NA,4.5.1
corrplot,C:/Users/jesus/AppData/Local/R/win-library/4.5,0.95,NA,4.5.1
cowplot,C:/Users/jesus/AppData/Local/R/win-library/4.5,1.2.0,NA,4.5.1
cpp11,C:/Users/jesus/AppData/Local/R/win-library/4.5,0.5.2,NA,4.5.1
crayon,C:/Users/jesus/AppData/Local/R/win-library/4.5,1.5.3,NA,4.5.1
crosstalk,C:/Users/jesus/AppData/Local/R/win-library/4.5,1.2.2,NA,4.5.1
