window,var,mode,n_obs,classification_5pct,classification_10pct,support_level_5,support_trend_5,support_level_10,support_trend_10,za_reject_5,za_reject_10,za_break_year
2010_2019_pre,pct_extranjeros_poblacion,diff,9,Trend-stationary,Level-stationary,1,1,1,0,FALSE,FALSE,NA
2010_2019_pre,pct_extranjeros_poblacion,level,10,Trend-stationary,Level-stationary,1,1,1,0,FALSE,FALSE,NA
con_covid_2010_2023,pct_extranjeros_poblacion,diff,13,Trend-stationary,Trend-stationary,0,1,0,1,FALSE,FALSE,NA
con_covid_2010_2023,pct_extranjeros_poblacion,level,14,Level-stationary,Level-stationary,1,0,1,0,FALSE,FALSE,NA
sin_covid_2010_2023,pct_extranjeros_poblacion,diff,11,Trend-stationary,Non-stationary,1,1,0,0,FALSE,FALSE,NA
sin_covid_2010_2023,pct_extranjeros_poblacion,level,12,Level-stationary,Level-stationary,1,0,1,0,FALSE,FALSE,NA
2010_2019_pre,pib_pc_real,diff,9,Trend-stationary,Level-stationary,1,1,1,0,FALSE,FALSE,NA
2010_2019_pre,pib_pc_real,level,10,Trend-stationary,Non-stationary,1,1,0,0,FALSE,FALSE,NA
con_covid_2010_2023,pib_pc_real,diff,13,Trend-stationary,Trend-stationary,1,1,1,1,FALSE,FALSE,NA
con_covid_2010_2023,pib_pc_real,level,14,Trend-stationary,Trend-stationary,1,1,0,1,FALSE,FALSE,NA
sin_covid_2010_2023,pib_pc_real,diff,11,Trend-stationary,Level-stationary,1,1,1,0,FALSE,FALSE,NA
sin_covid_2010_2023,pib_pc_real,level,12,Trend-stationary,Trend-stationary,1,1,0,1,FALSE,FALSE,NA
2010_2019_pre,share_ext,diff,9,Trend-stationary,Non-stationary,1,1,0,0,FALSE,FALSE,NA
2010_2019_pre,share_ext,level,10,Trend-stationary,Non-stationary,1,1,0,0,FALSE,FALSE,NA
con_covid_2010_2023,share_ext,diff,13,Trend-stationary,Trend-stationary,1,1,0,1,FALSE,FALSE,NA
con_covid_2010_2023,share_ext,level,14,Level-stationary,Level-stationary,1,0,1,0,FALSE,FALSE,NA
sin_covid_2010_2023,share_ext,diff,11,Trend-stationary,Non-stationary,1,1,0,0,FALSE,FALSE,NA
sin_covid_2010_2023,share_ext,level,12,Level-stationary,Level-stationary,1,0,1,0,FALSE,FALSE,NA
2010_2019_pre,tasa_det_por_100k,diff,9,Trend-stationary,Level-stationary,1,1,1,0,FALSE,FALSE,NA
2010_2019_pre,tasa_det_por_100k,level,10,Trend-stationary,Trend-stationary,1,1,1,1,FALSE,FALSE,NA
con_covid_2010_2023,tasa_det_por_100k,diff,13,Trend-stationary,Level-stationary,1,1,1,0,FALSE,FALSE,NA
con_covid_2010_2023,tasa_det_por_100k,level,14,Trend-stationary,Level-stationary,1,1,1,0,FALSE,FALSE,NA
sin_covid_2010_2023,tasa_det_por_100k,diff,11,Trend-stationary,Level-stationary,1,1,1,0,FALSE,FALSE,NA
sin_covid_2010_2023,tasa_det_por_100k,level,12,Trend-stationary,Trend-stationary,1,1,1,1,FALSE,FALSE,NA
2010_2019_pre,tasa_hc_por_100k,diff,9,Trend-stationary,Level-stationary,1,1,1,0,FALSE,FALSE,NA
2010_2019_pre,tasa_hc_por_100k,level,10,Trend-stationary,Level-stationary,1,1,1,0,FALSE,FALSE,NA
con_covid_2010_2023,tasa_hc_por_100k,diff,13,Trend-stationary,Trend-stationary,1,1,1,1,FALSE,FALSE,NA
con_covid_2010_2023,tasa_hc_por_100k,level,14,Trend-stationary,Level-stationary,1,1,1,0,FALSE,FALSE,NA
sin_covid_2010_2023,tasa_hc_por_100k,diff,11,Trend-stationary,Non-stationary,1,1,0,0,FALSE,FALSE,NA
sin_covid_2010_2023,tasa_hc_por_100k,level,12,Trend-stationary,Level-stationary,1,1,1,0,FALSE,FALSE,NA
2010_2019_pre,tasa_he_por_100k,diff,9,Trend-stationary,Level-stationary,1,1,1,0,FALSE,FALSE,NA
2010_2019_pre,tasa_he_por_100k,level,10,Trend-stationary,Trend-stationary,1,1,1,1,FALSE,FALSE,NA
con_covid_2010_2023,tasa_he_por_100k,diff,13,Trend-stationary,Level-stationary,1,1,1,0,FALSE,FALSE,NA
con_covid_2010_2023,tasa_he_por_100k,level,14,Trend-stationary,Level-stationary,1,1,1,0,FALSE,FALSE,NA
sin_covid_2010_2023,tasa_he_por_100k,diff,11,Trend-stationary,Level-stationary,1,1,1,0,FALSE,FALSE,NA
sin_covid_2010_2023,tasa_he_por_100k,level,12,Trend-stationary,Level-stationary,1,1,1,0,FALSE,FALSE,NA
