ano,p_julio_x,p_media_x,poblacion_total,p_julio_y,p_media_y,poblacion_espanola,poblacion_extranjera,diff,rel
2010,46562483,23262276,46562483,41208701,20573185.75,41208701,5353782,0,0
2011,46736257,23350858,46736257,41466799,20705383.25,41466799,5269458,0,0
2012,46749303,23391879.75,46749303,41612622,20798702,41612622,5136681,0,0
2013,46581124,23323443.5,46581124,41718434,20841625,41718434,4862690,0,0
2014,46433050,23232198.5,46433050,41911668,20932765,41911668,4521382,0,0
2015,46384379,23202525.25,46384379,41970012,20985437.25,41970012,4414367,0,0
2016,46427100,23211496,46427100,42041287,21010209.25,42041287,4385813,0,0
2017,46510461,23251963.5,46510461,42059663,21034850.75,42059663,4450798,0,0
2018,46715383,23340113.25,46715383,42042431,21027544.75,42042431,4672952,0,0
2019,47087778,23501682.25,47087778,42054137,21030581.5,42054137,5033641,0,0
2020,47344852,23665725.5,47344852,41999670,21019110.5,41999670,5345182,0,0
2021,47346836,47382073.5,47346836,41978121,41983748,41978121,5368715,0,0
2022,47781354,47704380.25,47781354,41994341,41987339,41994341,5787013,0,0
2023,48320520,48274677,48320520,42034958,42027707.5,42034958,6285562,0,0
