ano,tipo,suma_ccaa,total_raw,delta,rel,usar_raw
2010,1. contra las personas,297324,297488,164,5.515868211109766e-4,TRUE
2010,1.1.-homicidios dolosos/asesinatos,1175,1177,2,0.00170212765957446,TRUE
2010,1.1.1.-homicidios dolosos/asesinatos consumados,399,401,2,0.0050125313283208,TRUE
2010,1.2.-lesiones,113045,113067,22,1.9461276482816577e-4,TRUE
2010,1.3.-malos tratos ambito familiar,60253,60307,54,8.962209350571755e-4,TRUE
2010,1.4.-otros contra las personas,122851,122937,86,7.000350017500875e-4,TRUE
2010,10. orden publico,33764,33767,3,8.885203174979268e-5,TRUE
2010,11. legislacion especial,234,234,0,0,TRUE
2010,12. otras infracciones penales,6775,6785,10,0.0014760147601476,TRUE
2010,2. contra la libertad,42302,42376,74,0.00174932627298945,TRUE
2010,2.1.-malos tratos habituales en el ambito familiar,17251,17270,19,0.00110138542693177,TRUE
2010,2.2.-otros contra la libertad,25051,25106,55,0.00219552113688076,TRUE
2010,3. libertad sexual,9918,9957,39,0.00393224440411373,TRUE
2010,3.1.-agresion sexual,5063,5068,5,9.875567845151097e-4,TRUE
2010,3.2.-agresion sexual con penetracion,1982,1991,9,0.00454086781029263,TRUE
2010,3.3.-corrupcion de menores o incapacitados,339,345,6,0.01769911504424778,TRUE
2010,3.4.-pornografia de menores,936,953,17,0.01816239316239316,TRUE
2010,3.5.-otros contra la libertad sexual,1598,1600,2,0.00125156445556946,TRUE
2010,4. relaciones familiares,7846,7877,31,0.00395105786387968,TRUE
2010,5. patrimonio,1757934,1779019,21085,0.01199419318358937,FALSE
2010,5.1.-hurtos,783020,785635,2615,0.00333963372583075,TRUE
2010,5.2.-robos con fuerza en las cosas,442880,443772,892,0.00201408959537572,TRUE
2010,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,141532,141674,142,0.00100330667269592,TRUE
2010,5.2.2.-robos con fuerza en viviendas,111634,111656,22,1.970725764552018e-4,TRUE
2010,5.2.3.-robos con fuerza en establecimientos,48877,48958,81,0.00165722118787977,TRUE
2010,5.3.-robos con violencia o intimidacion,84229,84411,182,0.00216077597976943,TRUE
2010,5.3.1.-robos con violencia en via publica,42098,42238,140,0.0033255736614566,TRUE
2010,5.3.2.-robos con violencia en viviendas,4944,4950,6,0.0012135922330097,TRUE
2010,5.3.3.-robos con violencia en establecimientos,7766,7772,6,7.725985063095545e-4,TRUE
2010,5.4.-sustraccion de vehiculos,65812,65948,136,0.00206649243299094,TRUE
2010,5.5.-estafas,85433,102567,17134,0.20055482073671765,FALSE
2010,5.5.1.-estafas informaticas,15748,20563,4815,0.30575311150622303,FALSE
2010,5.6.-danos,266259,266291,32,1.2018373087858064e-4,TRUE
2010,5.7.-contra la propiedad intelectual/industrial,3617,3619,2,5.52944429084877e-4,TRUE
2010,5.8.-blanqueo de capitales,177,182,5,0.02824858757062147,TRUE
2010,5.9.-otros contra el patrimonio,26507,26594,87,0.00328215188440789,TRUE
