ano,sum_categorias,total,inflation_factor
2010,2275825,2297484,0.9905727308655904
2011,2269756,2285525,0.993100491134422
2012,2252268,2268867,0.9926840136508662
2013,2155545,2172133,0.992363266890195
2014,2072986,2092040,0.9908921435536604
2015,2017201,2036815,0.9903702594491892
2016,1991149,2009690,0.9907741990058168
2017,2024240,2045784,0.989469073958932
2018,2116614,2131118,0.9931941825839772
2019,2184160,2199475,0.9930369747326068
2020,1757384,1766779,0.9946824135899284
2021,1950413,1957719,0.996268105892623
2022,2312446,2323075,0.9954245988614228
2023,2454972,2464759,0.9960292263868394
