ano,agresiones_sexuales_total,homicidios_dolosos_y_asesinatos_consumados,lesiones_graves,malos_tratos_en_el_ambito_familiar,robos_con_violencia_e_intimidacion
2010,7059,401,113067,60307,84411
2011,7366,385,112824,62260,87718
2012,6732,364,105913,59703,96607
2013,6543,302,100193,59819,86034
2014,6772,323,98821,62392,70855
2015,7006,302,97012,64118,64581
2016,8026,294,97108,66102,62952
2017,8716,307,100354,69812,61763
2018,10727,289,99928,72309,60295
2019,11964,331,103341,77424,65874
2020,10061,298,81449,75203,45263
2021,13856,293,96159,82003,53073
2022,15696,326,113704,92695,63392
2023,17617,333,118125,101179,64711
