ano,delito5,total
2010,Agresiones sexuales (total),7059
2010,Homicidios dolosos y asesinatos consumados,401
2010,Lesiones graves,113067
2010,Malos tratos en el ámbito familiar,60307
2010,Robos con violencia e intimidación,84411
2011,Agresiones sexuales (total),7366
2011,Homicidios dolosos y asesinatos consumados,385
2011,Lesiones graves,112824
2011,Malos tratos en el ámbito familiar,62260
2011,Robos con violencia e intimidación,87718
2012,Agresiones sexuales (total),6732
2012,Homicidios dolosos y asesinatos consumados,364
2012,Lesiones graves,105913
2012,Malos tratos en el ámbito familiar,59703
2012,Robos con violencia e intimidación,96607
2013,Agresiones sexuales (total),6543
2013,Homicidios dolosos y asesinatos consumados,302
2013,Lesiones graves,100193
2013,Malos tratos en el ámbito familiar,59819
2013,Robos con violencia e intimidación,86034
2014,Agresiones sexuales (total),6772
2014,Homicidios dolosos y asesinatos consumados,323
2014,Lesiones graves,98821
2014,Malos tratos en el ámbito familiar,62392
2014,Robos con violencia e intimidación,70855
2015,Agresiones sexuales (total),7006
2015,Homicidios dolosos y asesinatos consumados,302
2015,Lesiones graves,97012
2015,Malos tratos en el ámbito familiar,64118
2015,Robos con violencia e intimidación,64581
2016,Agresiones sexuales (total),8026
2016,Homicidios dolosos y asesinatos consumados,294
2016,Lesiones graves,97108
2016,Malos tratos en el ámbito familiar,66102
2016,Robos con violencia e intimidación,62952
2017,Agresiones sexuales (total),8716
2017,Homicidios dolosos y asesinatos consumados,307
2017,Lesiones graves,100354
2017,Malos tratos en el ámbito familiar,69812
2017,Robos con violencia e intimidación,61763
2018,Agresiones sexuales (total),10727
2018,Homicidios dolosos y asesinatos consumados,289
2018,Lesiones graves,99928
2018,Malos tratos en el ámbito familiar,72309
2018,Robos con violencia e intimidación,60295
2019,Agresiones sexuales (total),11964
2019,Homicidios dolosos y asesinatos consumados,331
2019,Lesiones graves,103341
2019,Malos tratos en el ámbito familiar,77424
2019,Robos con violencia e intimidación,65874
2020,Agresiones sexuales (total),10061
2020,Homicidios dolosos y asesinatos consumados,298
2020,Lesiones graves,81449
2020,Malos tratos en el ámbito familiar,75203
2020,Robos con violencia e intimidación,45263
2021,Agresiones sexuales (total),13856
2021,Homicidios dolosos y asesinatos consumados,293
2021,Lesiones graves,96159
2021,Malos tratos en el ámbito familiar,82003
2021,Robos con violencia e intimidación,53073
2022,Agresiones sexuales (total),15696
2022,Homicidios dolosos y asesinatos consumados,326
2022,Lesiones graves,113704
2022,Malos tratos en el ámbito familiar,92695
2022,Robos con violencia e intimidación,63392
2023,Agresiones sexuales (total),17617
2023,Homicidios dolosos y asesinatos consumados,333
2023,Lesiones graves,118125
2023,Malos tratos en el ámbito familiar,101179
2023,Robos con violencia e intimidación,64711
