tipo_norm,tipo
1 1 1 homicidios dolosos asesinatos consumados,1.1.1.-homicidios dolosos/asesinatos consumados
1 1 homicidios dolosos asesinatos,1.1.-homicidios dolosos/asesinatos
1 2 lesiones,1.2.-lesiones
1 3 malos tratos ambito familiar,1.3.-malos tratos ambito familiar
1 4 otros contra las personas,1.4.-otros contra las personas
1 contra las personas,1. contra las personas
10 orden publico,10. orden publico
11 legislacion especial,11. legislacion especial
12 otras infracciones penales,12. otras infracciones penales
2 1 malos tratos habituales en el ambito familiar,2.1.-malos tratos habituales en el ambito familiar
2 2 otros contra la libertad,2.2.-otros contra la libertad
2 contra la libertad,2. contra la libertad
3 1 agresion sexual,3.1.-agresion sexual
3 2 agresion sexual con penetracion,3.2.-agresion sexual con penetracion
3 3 corrupcion de menores o incapacitados,3.3.-corrupcion de menores o incapacitados
3 4 pornografia de menores,3.4.-pornografia de menores
3 5 otros contra la libertad sexual,3.5.-otros contra la libertad sexual
3 libertad sexual,3. libertad sexual
4 relaciones familiares,4. relaciones familiares
5 1 hurtos,5.1.-hurtos
5 2 1 robos con fuerza en las cosas en el interior de vehiculos,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos
5 2 2 robos con fuerza en viviendas,5.2.2.-robos con fuerza en viviendas
5 2 3 robos con fuerza en establecimientos,5.2.3.-robos con fuerza en establecimientos
5 2 robos con fuerza en las cosas,5.2.-robos con fuerza en las cosas
5 3 1 robos con violencia en via publica,5.3.1.-robos con violencia en via publica
5 3 2 robos con violencia en viviendas,5.3.2.-robos con violencia en viviendas
5 3 3 robos con violencia en establecimientos,5.3.3.-robos con violencia en establecimientos
5 3 robos con violencia o intimidacion,5.3.-robos con violencia o intimidacion
5 4 sustraccion de vehiculos,5.4.-sustraccion de vehiculos
5 5 1 estafas informaticas,5.5.1.-estafas informaticas
5 5 estafas,5.5.-estafas
5 6 danos,5.6.-danos
5 7 contra la propiedad intelectual industrial,5.7.-contra la propiedad intelectual/industrial
5 8 blanqueo de capitales,5.8.-blanqueo de capitales
5 9 otros contra el patrimonio,5.9.-otros contra el patrimonio
5 patrimonio,5. patrimonio
6 1 trafico de drogas,6.1.-trafico de drogas
6 2 contra la seguridad vial,6.2.-contra la seguridad vial
6 3 otros contra la seguridad colectiva,6.3.-otros contra la seguridad colectiva
6 seguridad colectiva,6. seguridad colectiva
7 falsedades,7. falsedades
8 admon publica,8. admon. publica
9 admon justicia,9. admon. justicia
