tipo,total_2010_2023,n_anos
5. patrimonio,22809226,14
5.1.-hurtos,9628942,14
5.2.-robos con fuerza en las cosas,4520835,14
5.5.-estafas,3348825,14
1. contra las personas,3153333,14
5.6.-danos,3094755,14
5.5.1.-estafas informaticas,1908495,14
5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,1530818,14
5.2.2.-robos con fuerza en viviendas,1445393,14
1.2.-lesiones,1437998,14
2. contra la libertad,1346052,14
2.2.-otros contra la libertad,1125762,14
1.3.-malos tratos ambito familiar,1005326,14
6. seguridad colectiva,967708,14
5.3.-robos con violencia o intimidacion,967529,14
6.2.-contra la seguridad vial,720111,14
1.4.-otros contra las personas,693299,14
5.9.-otros contra el patrimonio,656114,14
5.4.-sustraccion de vehiculos,588703,14
5.2.3.-robos con fuerza en establecimientos,508857,14
5.3.1.-robos con violencia en via publica,485541,14
9. admon. justicia,431687,14
10. orden publico,384676,14
7. falsedades,331007,14
2.1.-malos tratos habituales en el ambito familiar,220128,14
6.1.-trafico de drogas,215574,14
3. libertad sexual,179782,14
12. otras infracciones penales,126958,14
4. relaciones familiares,118231,14
3.1.-agresion sexual,102166,14
5.3.3.-robos con violencia en establecimientos,89226,14
5.3.2.-robos con violencia en viviendas,59808,14
3.2.-agresion sexual con penetracion,35975,14
6.3.-otros contra la seguridad colectiva,32023,14
5.7.-contra la propiedad intelectual/industrial,29358,14
3.5.-otros contra la libertad sexual,26371,14
1.1.-homicidios dolosos/asesinatos,16710,14
3.4.-pornografia de menores,10381,14
8. admon. publica,6582,14
3.3.-corrupcion de menores o incapacitados,4889,14
1.1.1.-homicidios dolosos/asesinatos consumados,4548,14
5.8.-blanqueo de capitales,3984,14
11. legislacion especial,3623,14
