ano,total,extranjera,total_alt,extranjera_alt,err_total_abs,err_total_rel,err_ext_abs,err_ext_rel
2010,1043231,209996,1043231,318034,0,0,108038,0.5144764662184041
2011,1386146,263645,1386146,399144,0,0,135499,0.5139448880122892
2012,1369422,251918,1369422,380899,0,0,128981,0.5119959669416239
2013,1359716,243384,1359716,367778,0,0,124394,0.5111017979817901
2014,1277890,209009,1277890,317008,0,0,107999,0.5167193757206627
2015,1120731,175317,1120731,267125,0,0,91808,0.5236685546752454
2016,1086148,173774,1086148,263975,0,0,90201,0.5190707470622763
2017,1107278,176004,1107278,268015,0,0,92011,0.5227778914115588
2018,1160538,189967,1160538,289466,0,0,99499,0.5237699179331147
2019,1210154,206282,1210154,313958,0,0,107676,0.5219844678643798
2020,1214179,252346,1214179,383454,0,0,131108,0.5195564819731638
2021,1330364,281264,1330364,426561,0,0,145297,0.5165858410603561
2022,1500269,336683,1500269,508997,0,0,172314,0.5117989325270358
2023,1646992,386896,1646992,583992,0,0,197096,0.5094288904511807
