ano,region,tipo,valor,region_raw,tipo_raw
2023,NA,1. contra las personas,195302,TOTAL NACIONAL,1. CONTRA LAS PERSONAS
2022,NA,1. contra las personas,181894,TOTAL NACIONAL,1. CONTRA LAS PERSONAS
2021,NA,1. contra las personas,159540,TOTAL NACIONAL,1. CONTRA LAS PERSONAS
2020,NA,1. contra las personas,141869,TOTAL NACIONAL,1. CONTRA LAS PERSONAS
2019,NA,1. contra las personas,159909,TOTAL NACIONAL,1. CONTRA LAS PERSONAS
2018,NA,1. contra las personas,153525,TOTAL NACIONAL,1. CONTRA LAS PERSONAS
2017,NA,1. contra las personas,150363,TOTAL NACIONAL,1. CONTRA LAS PERSONAS
2016,NA,1. contra las personas,145212,TOTAL NACIONAL,1. CONTRA LAS PERSONAS
2015,NA,1. contra las personas,189246,TOTAL NACIONAL,1. CONTRA LAS PERSONAS
2014,NA,1. contra las personas,233846,TOTAL NACIONAL,1. CONTRA LAS PERSONAS
2013,NA,1. contra las personas,230390,TOTAL NACIONAL,1. CONTRA LAS PERSONAS
2012,NA,1. contra las personas,237300,TOTAL NACIONAL,1. CONTRA LAS PERSONAS
2011,NA,1. contra las personas,244461,TOTAL NACIONAL,1. CONTRA LAS PERSONAS
2010,NA,1. contra las personas,244533,TOTAL NACIONAL,1. CONTRA LAS PERSONAS
2023,NA,1.1.-homicidios dolosos/asesinatos,1544,TOTAL NACIONAL,1.1.-Homicidios dolosos/asesinatos
2022,NA,1.1.-homicidios dolosos/asesinatos,1384,TOTAL NACIONAL,1.1.-Homicidios dolosos/asesinatos
2021,NA,1.1.-homicidios dolosos/asesinatos,1165,TOTAL NACIONAL,1.1.-Homicidios dolosos/asesinatos
2020,NA,1.1.-homicidios dolosos/asesinatos,1101,TOTAL NACIONAL,1.1.-Homicidios dolosos/asesinatos
2019,NA,1.1.-homicidios dolosos/asesinatos,1090,TOTAL NACIONAL,1.1.-Homicidios dolosos/asesinatos
2018,NA,1.1.-homicidios dolosos/asesinatos,1008,TOTAL NACIONAL,1.1.-Homicidios dolosos/asesinatos
2017,NA,1.1.-homicidios dolosos/asesinatos,1029,TOTAL NACIONAL,1.1.-Homicidios dolosos/asesinatos
2016,NA,1.1.-homicidios dolosos/asesinatos,1019,TOTAL NACIONAL,1.1.-Homicidios dolosos/asesinatos
2015,NA,1.1.-homicidios dolosos/asesinatos,893,TOTAL NACIONAL,1.1.-Homicidios dolosos/asesinatos
2014,NA,1.1.-homicidios dolosos/asesinatos,950,TOTAL NACIONAL,1.1.-Homicidios dolosos/asesinatos
2013,NA,1.1.-homicidios dolosos/asesinatos,889,TOTAL NACIONAL,1.1.-Homicidios dolosos/asesinatos
2012,NA,1.1.-homicidios dolosos/asesinatos,1031,TOTAL NACIONAL,1.1.-Homicidios dolosos/asesinatos
2011,NA,1.1.-homicidios dolosos/asesinatos,1107,TOTAL NACIONAL,1.1.-Homicidios dolosos/asesinatos
2010,NA,1.1.-homicidios dolosos/asesinatos,1103,TOTAL NACIONAL,1.1.-Homicidios dolosos/asesinatos
2023,NA,1.1.1.-homicidios dolosos/asesinatos consumados,315,TOTAL NACIONAL,1.1.1.-Homicidios dolosos/asesinatos consumados
2022,NA,1.1.1.-homicidios dolosos/asesinatos consumados,319,TOTAL NACIONAL,1.1.1.-Homicidios dolosos/asesinatos consumados
2021,NA,1.1.1.-homicidios dolosos/asesinatos consumados,261,TOTAL NACIONAL,1.1.1.-Homicidios dolosos/asesinatos consumados
2020,NA,1.1.1.-homicidios dolosos/asesinatos consumados,279,TOTAL NACIONAL,1.1.1.-Homicidios dolosos/asesinatos consumados
2019,NA,1.1.1.-homicidios dolosos/asesinatos consumados,254,TOTAL NACIONAL,1.1.1.-Homicidios dolosos/asesinatos consumados
2018,NA,1.1.1.-homicidios dolosos/asesinatos consumados,227,TOTAL NACIONAL,1.1.1.-Homicidios dolosos/asesinatos consumados
2017,NA,1.1.1.-homicidios dolosos/asesinatos consumados,236,TOTAL NACIONAL,1.1.1.-Homicidios dolosos/asesinatos consumados
2016,NA,1.1.1.-homicidios dolosos/asesinatos consumados,210,TOTAL NACIONAL,1.1.1.-Homicidios dolosos/asesinatos consumados
2015,NA,1.1.1.-homicidios dolosos/asesinatos consumados,244,TOTAL NACIONAL,1.1.1.-Homicidios dolosos/asesinatos consumados
2014,NA,1.1.1.-homicidios dolosos/asesinatos consumados,232,TOTAL NACIONAL,1.1.1.-Homicidios dolosos/asesinatos consumados
2013,NA,1.1.1.-homicidios dolosos/asesinatos consumados,228,TOTAL NACIONAL,1.1.1.-Homicidios dolosos/asesinatos consumados
2012,NA,1.1.1.-homicidios dolosos/asesinatos consumados,252,TOTAL NACIONAL,1.1.1.-Homicidios dolosos/asesinatos consumados
2011,NA,1.1.1.-homicidios dolosos/asesinatos consumados,271,TOTAL NACIONAL,1.1.1.-Homicidios dolosos/asesinatos consumados
2010,NA,1.1.1.-homicidios dolosos/asesinatos consumados,281,TOTAL NACIONAL,1.1.1.-Homicidios dolosos/asesinatos consumados
2023,NA,1.2.-lesiones,90444,TOTAL NACIONAL,1.2.-Lesiones
2022,NA,1.2.-lesiones,86577,TOTAL NACIONAL,1.2.-Lesiones
2021,NA,1.2.-lesiones,74813,TOTAL NACIONAL,1.2.-Lesiones
2020,NA,1.2.-lesiones,64416,TOTAL NACIONAL,1.2.-Lesiones
2019,NA,1.2.-lesiones,79537,TOTAL NACIONAL,1.2.-Lesiones
2018,NA,1.2.-lesiones,78214,TOTAL NACIONAL,1.2.-Lesiones
2017,NA,1.2.-lesiones,78624,TOTAL NACIONAL,1.2.-Lesiones
2016,NA,1.2.-lesiones,77292,TOTAL NACIONAL,1.2.-Lesiones
2015,NA,1.2.-lesiones,76483,TOTAL NACIONAL,1.2.-Lesiones
2014,NA,1.2.-lesiones,78117,TOTAL NACIONAL,1.2.-Lesiones
2013,NA,1.2.-lesiones,80397,TOTAL NACIONAL,1.2.-Lesiones
2012,NA,1.2.-lesiones,83307,TOTAL NACIONAL,1.2.-Lesiones
2011,NA,1.2.-lesiones,86806,TOTAL NACIONAL,1.2.-Lesiones
2010,NA,1.2.-lesiones,88238,TOTAL NACIONAL,1.2.-Lesiones
2023,NA,1.3.-malos tratos ambito familiar,98901,TOTAL NACIONAL,1.3.-Malos tratos ámbito familiar
2022,NA,1.3.-malos tratos ambito familiar,90267,TOTAL NACIONAL,1.3.-Malos tratos ámbito familiar
2021,NA,1.3.-malos tratos ambito familiar,80426,TOTAL NACIONAL,1.3.-Malos tratos ámbito familiar
2020,NA,1.3.-malos tratos ambito familiar,73699,TOTAL NACIONAL,1.3.-Malos tratos ámbito familiar
2019,NA,1.3.-malos tratos ambito familiar,76160,TOTAL NACIONAL,1.3.-Malos tratos ámbito familiar
2018,NA,1.3.-malos tratos ambito familiar,71414,TOTAL NACIONAL,1.3.-Malos tratos ámbito familiar
2017,NA,1.3.-malos tratos ambito familiar,68589,TOTAL NACIONAL,1.3.-Malos tratos ámbito familiar
2016,NA,1.3.-malos tratos ambito familiar,65493,TOTAL NACIONAL,1.3.-Malos tratos ámbito familiar
2015,NA,1.3.-malos tratos ambito familiar,63117,TOTAL NACIONAL,1.3.-Malos tratos ámbito familiar
2014,NA,1.3.-malos tratos ambito familiar,61442,TOTAL NACIONAL,1.3.-Malos tratos ámbito familiar
2013,NA,1.3.-malos tratos ambito familiar,58989,TOTAL NACIONAL,1.3.-Malos tratos ámbito familiar
2012,NA,1.3.-malos tratos ambito familiar,58903,TOTAL NACIONAL,1.3.-Malos tratos ámbito familiar
2011,NA,1.3.-malos tratos ambito familiar,61043,TOTAL NACIONAL,1.3.-Malos tratos ámbito familiar
2010,NA,1.3.-malos tratos ambito familiar,59593,TOTAL NACIONAL,1.3.-Malos tratos ámbito familiar
2023,NA,1.4.-otros contra las personas,4413,TOTAL NACIONAL,1.4.-Otros contra las personas
2022,NA,1.4.-otros contra las personas,3666,TOTAL NACIONAL,1.4.-Otros contra las personas
2021,NA,1.4.-otros contra las personas,3136,TOTAL NACIONAL,1.4.-Otros contra las personas
2020,NA,1.4.-otros contra las personas,2653,TOTAL NACIONAL,1.4.-Otros contra las personas
2019,NA,1.4.-otros contra las personas,3122,TOTAL NACIONAL,1.4.-Otros contra las personas
2018,NA,1.4.-otros contra las personas,2889,TOTAL NACIONAL,1.4.-Otros contra las personas
2017,NA,1.4.-otros contra las personas,2121,TOTAL NACIONAL,1.4.-Otros contra las personas
2016,NA,1.4.-otros contra las personas,1408,TOTAL NACIONAL,1.4.-Otros contra las personas
2015,NA,1.4.-otros contra las personas,48753,TOTAL NACIONAL,1.4.-Otros contra las personas
2014,NA,1.4.-otros contra las personas,93337,TOTAL NACIONAL,1.4.-Otros contra las personas
2013,NA,1.4.-otros contra las personas,90115,TOTAL NACIONAL,1.4.-Otros contra las personas
2012,NA,1.4.-otros contra las personas,94059,TOTAL NACIONAL,1.4.-Otros contra las personas
2011,NA,1.4.-otros contra las personas,95505,TOTAL NACIONAL,1.4.-Otros contra las personas
2010,NA,1.4.-otros contra las personas,95599,TOTAL NACIONAL,1.4.-Otros contra las personas
2023,NA,2. contra la libertad,120003,TOTAL NACIONAL,2. CONTRA LA LIBERTAD
2022,NA,2. contra la libertad,107702,TOTAL NACIONAL,2. CONTRA LA LIBERTAD
2021,NA,2. contra la libertad,104418,TOTAL NACIONAL,2. CONTRA LA LIBERTAD
2020,NA,2. contra la libertad,94335,TOTAL NACIONAL,2. CONTRA LA LIBERTAD
2019,NA,2. contra la libertad,96246,TOTAL NACIONAL,2. CONTRA LA LIBERTAD
2018,NA,2. contra la libertad,92985,TOTAL NACIONAL,2. CONTRA LA LIBERTAD
2017,NA,2. contra la libertad,93015,TOTAL NACIONAL,2. CONTRA LA LIBERTAD
2016,NA,2. contra la libertad,89305,TOTAL NACIONAL,2. CONTRA LA LIBERTAD
