ano,tipo,total,total_row,delta,rel,usar_row
2010,1. contra las personas,244427,244533,-106,4.334793258987539e-4,TRUE
2010,1.1.-homicidios dolosos/asesinatos,1102,1103,-1,9.066183136899364e-4,TRUE
2010,1.1.1.-homicidios dolosos/asesinatos consumados,280,281,-1,0.00355871886120996,TRUE
2010,1.2.-lesiones,88225,88238,-13,1.4732881524966566e-4,TRUE
2010,1.3.-malos tratos ambito familiar,59543,59593,-50,8.390247176681825e-4,TRUE
2010,1.4.-otros contra las personas,95557,95599,-42,4.393351394889067e-4,TRUE
2010,10. orden publico,31035,31038,-3,9.665571235260005e-5,TRUE
2010,11. legislacion especial,212,212,0,0,TRUE
2010,12. otras infracciones penales,4887,4892,-5,0.00102207686017988,TRUE
2010,2. contra la libertad,34822,34862,-40,0.00114738110263323,TRUE
2010,2.1.-malos tratos habituales en el ambito familiar,14384,14403,-19,0.00131916961744081,TRUE
2010,2.2.-otros contra la libertad,20438,20459,-21,0.00102644313016276,TRUE
2010,3. libertad sexual,7638,7651,-13,0.00169912429747745,TRUE
2010,3.1.-agresion sexual,3997,4004,-7,0.00174825174825174,TRUE
2010,3.2.-agresion sexual con penetracion,1666,1670,-4,0.00239520958083832,TRUE
2010,3.3.-corrupcion de menores o incapacitados,244,244,0,0,TRUE
2010,3.4.-pornografia de menores,482,483,-1,0.0020703933747412,TRUE
2010,3.5.-otros contra la libertad sexual,1249,1250,-1,8e-4,TRUE
2010,4. relaciones familiares,7032,7057,-25,0.00354258183364035,TRUE
2010,5. patrimonio,286093,286627,-534,0.0018630484915936,TRUE
2010,5.1.-hurtos,105429,105448,-19,1.801835976026098e-4,TRUE
2010,5.2.-robos con fuerza en las cosas,61786,61805,-19,3.0741849364938114e-4,TRUE
2010,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,14007,14007,0,0,TRUE
2010,5.2.2.-robos con fuerza en viviendas,12946,12948,-2,1.5446400988569664e-4,TRUE
2010,5.2.3.-robos con fuerza en establecimientos,9828,9832,-4,4.068348250610252e-4,TRUE
2010,5.3.-robos con violencia o intimidacion,21662,21666,-4,1.8462106526354657e-4,TRUE
2010,5.3.1.-robos con violencia en via publica,9328,9330,-2,2.1436227224008573e-4,TRUE
2010,5.3.2.-robos con violencia en viviendas,1210,1211,-1,8.257638315441783e-4,TRUE
2010,5.3.3.-robos con violencia en establecimientos,3473,3474,-1,2.878526194588371e-4,TRUE
2010,5.4.-sustraccion de vehiculos,17197,17252,-55,0.00318803616971945,TRUE
2010,5.5.-estafas,28103,28514,-411,0.01441397208388861,FALSE
2010,5.5.1.-estafas informaticas,4737,4931,-194,0.03934293246805922,FALSE
2010,5.6.-danos,33299,33303,-4,1.2010929946251088e-4,TRUE
2010,5.7.-contra la propiedad intelectual/industrial,3420,3421,-1,2.9231218941829873e-4,TRUE
2010,5.8.-blanqueo de capitales,162,162,0,0,TRUE
2010,5.9.-otros contra el patrimonio,15035,15056,-21,0.00139479277364505,TRUE
2010,6. seguridad colectiva,69835,69842,-7,1.002262249076487e-4,TRUE
2010,6.1.-trafico de drogas,13151,13155,-4,3.040668947168377e-4,TRUE
2010,6.2.-contra la seguridad vial,54700,54703,-3,5.484159918103212e-5,TRUE
2010,6.3.-otros contra la seguridad colectiva,1984,1984,0,0,TRUE
2010,7. falsedades,11189,11343,-154,0.01357665520585383,FALSE
2010,8. admon. publica,345,345,0,0,TRUE
2010,9. admon. justicia,26578,26593,-15,5.640582108073553e-4,TRUE
