ano,sum_categorias,total,inflation_factor
2010,1422717,724995,1.962381809529721
2011,1437043,736175,1.9520399361564849
2012,1428244,728929,1.9593732722940096
2013,1451208,736368,1.9707646176911544
2014,1405340,715357,1.9645295985081577
2015,1294134,659787,1.9614421017692072
2016,1263259,641353,1.969678164754823
2017,1288376,654821,1.967523949293013
2018,1322250,673594,1.962977698732471
2019,1379757,702544,1.963943895328976
2020,1211999,616665,1.9654090957002583
2021,1353966,685383,1.975488157716197
2022,1530239,771302,1.983968665970009
2023,1687459,845845,1.9949979015067771
