ano,tipo,he,total_hc,delta,flag
2010,1. contra las personas,244427,297488,-53061,TRUE
2010,1.1.-homicidios dolosos/asesinatos,1102,1177,-75,TRUE
2010,1.1.1.-homicidios dolosos/asesinatos consumados,280,401,-121,TRUE
2010,1.2.-lesiones,88225,113067,-24842,TRUE
2010,1.3.-malos tratos ambito familiar,59543,60307,-764,TRUE
2010,1.4.-otros contra las personas,95557,122937,-27380,TRUE
2010,10. orden publico,31035,33767,-2732,TRUE
2010,11. legislacion especial,212,234,-22,TRUE
2010,12. otras infracciones penales,4887,6785,-1898,TRUE
2010,2. contra la libertad,34822,42376,-7554,TRUE
2010,2.1.-malos tratos habituales en el ambito familiar,14384,17270,-2886,TRUE
2010,2.2.-otros contra la libertad,20438,25106,-4668,TRUE
2010,3. libertad sexual,7638,9957,-2319,TRUE
2010,3.1.-agresion sexual,3997,5068,-1071,TRUE
2010,3.2.-agresion sexual con penetracion,1666,1991,-325,TRUE
2010,3.3.-corrupcion de menores o incapacitados,244,345,-101,TRUE
2010,3.4.-pornografia de menores,482,953,-471,TRUE
2010,3.5.-otros contra la libertad sexual,1249,1600,-351,TRUE
2010,4. relaciones familiares,7032,7877,-845,TRUE
2010,5. patrimonio,286093,1757934,-1471841,TRUE
2010,5.1.-hurtos,105429,785635,-680206,TRUE
2010,5.2.-robos con fuerza en las cosas,61786,443772,-381986,TRUE
2010,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,14007,141674,-127667,TRUE
2010,5.2.2.-robos con fuerza en viviendas,12946,111656,-98710,TRUE
2010,5.2.3.-robos con fuerza en establecimientos,9828,48958,-39130,TRUE
2010,5.3.-robos con violencia o intimidacion,21662,84411,-62749,TRUE
2010,5.3.1.-robos con violencia en via publica,9328,42238,-32910,TRUE
2010,5.3.2.-robos con violencia en viviendas,1210,4950,-3740,TRUE
2010,5.3.3.-robos con violencia en establecimientos,3473,7772,-4299,TRUE
2010,5.4.-sustraccion de vehiculos,17197,65948,-48751,TRUE
2010,5.5.-estafas,28103,85433,-57330,TRUE
2010,5.5.1.-estafas informaticas,4737,15748,-11011,TRUE
2010,5.6.-danos,33299,266291,-232992,TRUE
2010,5.7.-contra la propiedad intelectual/industrial,3420,3619,-199,TRUE
2010,5.8.-blanqueo de capitales,162,182,-20,TRUE
2010,5.9.-otros contra el patrimonio,15035,26594,-11559,TRUE
2010,6. seguridad colectiva,69835,74158,-4323,TRUE
2010,6.1.-trafico de drogas,13151,14391,-1240,TRUE
2010,6.2.-contra la seguridad vial,54700,57088,-2388,TRUE
2010,6.3.-otros contra la seguridad colectiva,1984,2679,-695,TRUE
2010,7. falsedades,11189,17270,-6081,TRUE
2010,8. admon. publica,345,416,-71,TRUE
