ano,det_ext,det_tot,viol,diff
2010,209996,1043231,FALSE,833235
2011,263645,1386146,FALSE,1122501
2012,251918,1369422,FALSE,1117504
2013,243384,1359716,FALSE,1116332
2014,209009,1277890,FALSE,1068881
2015,175317,1120731,FALSE,945414
2016,173774,1086148,FALSE,912374
2017,176004,1107278,FALSE,931274
2018,189967,1160538,FALSE,970571
2019,206282,1210154,FALSE,1003872
2020,252346,1214179,FALSE,961833
2021,281264,1330364,FALSE,1049100
2022,336683,1500269,FALSE,1163586
2023,386896,1646992,FALSE,1260096
