ano,tipo,sum_sex,total_decl,diff,rel_diff
2010,1. contra las personas,42122,21061,-21061,-0.5
2010,1.1.-homicidios dolosos/asesinatos,610,305,-305,-0.5
2010,1.1.1.-homicidios dolosos/asesinatos consumados,248,124,-124,-0.5
2010,1.2.-lesiones,10144,5072,-5072,-0.5
2010,1.3.-malos tratos ambito familiar,29494,14747,-14747,-0.5
2010,1.4.-otros contra las personas,1874,937,-937,-0.5
2010,10. orden publico,15134,7567,-7567,-0.5
2010,11. legislacion especial,80,40,-40,-0.5
2010,12. otras infracciones penales,3856,1928,-1928,-0.5
2010,2. contra la libertad,11106,5553,-5553,-0.5
2010,2.1.-malos tratos habituales en el ambito familiar,4996,2498,-2498,-0.5
2010,2.2.-otros contra la libertad,6110,3055,-3055,-0.5
2010,3. libertad sexual,4286,2143,-2143,-0.5
2010,3.1.-agresion sexual,1902,951,-951,-0.5
2010,3.2.-agresion sexual con penetracion,1018,509,-509,-0.5
2010,3.3.-corrupcion de menores o incapacitados,102,51,-51,-0.5
2010,3.4.-pornografia de menores,78,39,-39,-0.5
2010,3.5.-otros contra la libertad sexual,1186,593,-593,-0.5
2010,4. relaciones familiares,614,307,-307,-0.5
2010,5. patrimonio,84642,42321,-42321,-0.5
2010,5.1.-hurtos,27122,13561,-13561,-0.5
2010,5.2.-robos con fuerza en las cosas,23878,11939,-11939,-0.5
2010,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,3570,1785,-1785,-0.5
2010,5.2.2.-robos con fuerza en viviendas,5564,2782,-2782,-0.5
2010,5.2.3.-robos con fuerza en establecimientos,5692,2846,-2846,-0.5
2010,5.3.-robos con violencia o intimidacion,12558,6279,-6279,-0.5
2010,5.3.1.-robos con violencia en via publica,8396,4198,-4198,-0.5
2010,5.3.2.-robos con violencia en viviendas,1072,536,-536,-0.5
2010,5.3.3.-robos con violencia en establecimientos,1872,936,-936,-0.5
2010,5.4.-sustraccion de vehiculos,3598,1799,-1799,-0.5
2010,5.5.-estafas,5492,2746,-2746,-0.5
2010,5.5.1.-estafas informaticas,1166,583,-583,-0.5
2010,5.6.-danos,2762,1381,-1381,-0.5
2010,5.7.-contra la propiedad intelectual/industrial,5734,2867,-2867,-0.5
2010,5.8.-blanqueo de capitales,196,98,-98,-0.5
2010,5.9.-otros contra el patrimonio,3302,1651,-1651,-0.5
2010,6. seguridad colectiva,34180,17090,-17090,-0.5
2010,6.1.-trafico de drogas,15674,7837,-7837,-0.5
2010,6.2.-contra la seguridad vial,17666,8833,-8833,-0.5
2010,6.3.-otros contra la seguridad colectiva,840,420,-420,-0.5
2010,7. falsedades,10670,5335,-5335,-0.5
2010,8. admon. publica,66,33,-33,-0.5
2010,9. admon. justicia,9320,4660,-4660,-0.5
2010,total infracciones penales,216076,108038,-108038,-0.5
2011,1. contra las personas,56364,28182,-28182,-0.5
2011,1.1.-homicidios dolosos/asesinatos,798,399,-399,-0.5
2011,1.1.1.-homicidios dolosos/asesinatos consumados,352,176,-176,-0.5
2011,1.2.-lesiones,17082,8541,-8541,-0.5
2011,1.3.-malos tratos ambito familiar,32520,16260,-16260,-0.5
2011,1.4.-otros contra las personas,5964,2982,-2982,-0.5
2011,10. orden publico,18644,9322,-9322,-0.5
2011,11. legislacion especial,116,58,-58,-0.5
2011,12. otras infracciones penales,3434,1717,-1717,-0.5
2011,2. contra la libertad,13598,6799,-6799,-0.5
2011,2.1.-malos tratos habituales en el ambito familiar,6022,3011,-3011,-0.5
2011,2.2.-otros contra la libertad,7576,3788,-3788,-0.5
2011,3. libertad sexual,4576,2288,-2288,-0.5
2011,3.1.-agresion sexual,2210,1105,-1105,-0.5
2011,3.2.-agresion sexual con penetracion,1068,534,-534,-0.5
2011,3.3.-corrupcion de menores o incapacitados,106,53,-53,-0.5
2011,3.4.-pornografia de menores,86,43,-43,-0.5
2011,3.5.-otros contra la libertad sexual,1106,553,-553,-0.5
2011,4. relaciones familiares,1032,516,-516,-0.5
2011,5. patrimonio,108960,54480,-54480,-0.5
2011,5.1.-hurtos,43646,21823,-21823,-0.5
2011,5.2.-robos con fuerza en las cosas,28938,14469,-14469,-0.5
2011,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,5204,2602,-2602,-0.5
2011,5.2.2.-robos con fuerza en viviendas,7308,3654,-3654,-0.5
2011,5.2.3.-robos con fuerza en establecimientos,6206,3103,-3103,-0.5
2011,5.3.-robos con violencia o intimidacion,13628,6814,-6814,-0.5
2011,5.3.1.-robos con violencia en via publica,8552,4276,-4276,-0.5
2011,5.3.2.-robos con violencia en viviendas,1162,581,-581,-0.5
2011,5.3.3.-robos con violencia en establecimientos,1764,882,-882,-0.5
2011,5.4.-sustraccion de vehiculos,4002,2001,-2001,-0.5
2011,5.5.-estafas,6654,3327,-3327,-0.5
2011,5.5.1.-estafas informaticas,1230,615,-615,-0.5
2011,5.6.-danos,4230,2115,-2115,-0.5
2011,5.7.-contra la propiedad intelectual/industrial,2894,1447,-1447,-0.5
2011,5.8.-blanqueo de capitales,368,184,-184,-0.5
2011,5.9.-otros contra el patrimonio,4600,2300,-2300,-0.5
2011,6. seguridad colectiva,41016,20508,-20508,-0.5
2011,6.1.-trafico de drogas,16290,8145,-8145,-0.5
2011,6.2.-contra la seguridad vial,23676,11838,-11838,-0.5
2011,6.3.-otros contra la seguridad colectiva,1050,525,-525,-0.5
2011,7. falsedades,12636,6318,-6318,-0.5
2011,8. admon. publica,86,43,-43,-0.5
2011,9. admon. justicia,10536,5268,-5268,-0.5
2011,total infracciones penales,270998,135499,-135499,-0.5
2012,1. contra las personas,51672,25836,-25836,-0.5
2012,1.1.-homicidios dolosos/asesinatos,652,326,-326,-0.5
2012,1.1.1.-homicidios dolosos/asesinatos consumados,280,140,-140,-0.5
2012,1.2.-lesiones,15334,7667,-7667,-0.5
2012,1.3.-malos tratos ambito familiar,30354,15177,-15177,-0.5
2012,1.4.-otros contra las personas,5332,2666,-2666,-0.5
2012,10. orden publico,16798,8399,-8399,-0.5
2012,11. legislacion especial,138,69,-69,-0.5
2012,12. otras infracciones penales,3250,1625,-1625,-0.5
2012,2. contra la libertad,12252,6126,-6126,-0.5
2012,2.1.-malos tratos habituales en el ambito familiar,5496,2748,-2748,-0.5
2012,2.2.-otros contra la libertad,6756,3378,-3378,-0.5
2012,3. libertad sexual,3990,1995,-1995,-0.5
2012,3.1.-agresion sexual,1956,978,-978,-0.5
2012,3.2.-agresion sexual con penetracion,894,447,-447,-0.5
2012,3.3.-corrupcion de menores o incapacitados,108,54,-54,-0.5
2012,3.4.-pornografia de menores,76,38,-38,-0.5
2012,3.5.-otros contra la libertad sexual,956,478,-478,-0.5
2012,4. relaciones familiares,1198,599,-599,-0.5
2012,5. patrimonio,107534,53767,-53767,-0.5
2012,5.1.-hurtos,44492,22246,-22246,-0.5
2012,5.2.-robos con fuerza en las cosas,25594,12797,-12797,-0.5
2012,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,4192,2096,-2096,-0.5
2012,5.2.2.-robos con fuerza en viviendas,8538,4269,-4269,-0.5
2012,5.2.3.-robos con fuerza en establecimientos,5306,2653,-2653,-0.5
2012,5.3.-robos con violencia o intimidacion,14116,7058,-7058,-0.5
2012,5.3.1.-robos con violencia en via publica,9360,4680,-4680,-0.5
2012,5.3.2.-robos con violencia en viviendas,1208,604,-604,-0.5
2012,5.3.3.-robos con violencia en establecimientos,1868,934,-934,-0.5
2012,5.4.-sustraccion de vehiculos,3574,1787,-1787,-0.5
2012,5.5.-estafas,6616,3308,-3308,-0.5
2012,5.5.1.-estafas informaticas,1276,638,-638,-0.5
2012,5.6.-danos,4000,2000,-2000,-0.5
2012,5.7.-contra la propiedad intelectual/industrial,3184,1592,-1592,-0.5
2012,5.8.-blanqueo de capitales,396,198,-198,-0.5
2012,5.9.-otros contra el patrimonio,5562,2781,-2781,-0.5
2012,6. seguridad colectiva,38398,19199,-19199,-0.5
2012,6.1.-trafico de drogas,15642,7821,-7821,-0.5
2012,6.2.-contra la seguridad vial,21524,10762,-10762,-0.5
2012,6.3.-otros contra la seguridad colectiva,1232,616,-616,-0.5
2012,7. falsedades,13386,6693,-6693,-0.5
2012,8. admon. publica,58,29,-29,-0.5
2012,9. admon. justicia,9288,4644,-4644,-0.5
2012,total infracciones penales,257962,128981,-128981,-0.5
2013,1. contra las personas,47428,23714,-23714,-0.5
2013,1.1.-homicidios dolosos/asesinatos,500,250,-250,-0.5
2013,1.1.1.-homicidios dolosos/asesinatos consumados,162,81,-81,-0.5
2013,1.2.-lesiones,14310,7155,-7155,-0.5
2013,1.3.-malos tratos ambito familiar,28092,14046,-14046,-0.5
2013,1.4.-otros contra las personas,4526,2263,-2263,-0.5
2013,10. orden publico,16092,8046,-8046,-0.5
2013,11. legislacion especial,162,81,-81,-0.5
2013,12. otras infracciones penales,3114,1557,-1557,-0.5
2013,2. contra la libertad,12182,6091,-6091,-0.5
2013,2.1.-malos tratos habituales en el ambito familiar,5306,2653,-2653,-0.5
2013,2.2.-otros contra la libertad,6876,3438,-3438,-0.5
2013,3. libertad sexual,3686,1843,-1843,-0.5
2013,3.1.-agresion sexual,1710,855,-855,-0.5
2013,3.2.-agresion sexual con penetracion,876,438,-438,-0.5
2013,3.3.-corrupcion de menores o incapacitados,96,48,-48,-0.5
2013,3.4.-pornografia de menores,68,34,-34,-0.5
2013,3.5.-otros contra la libertad sexual,936,468,-468,-0.5
2013,4. relaciones familiares,1032,516,-516,-0.5
2013,5. patrimonio,108532,54266,-54266,-0.5
2013,5.1.-hurtos,46090,23045,-23045,-0.5
2013,5.2.-robos con fuerza en las cosas,25654,12827,-12827,-0.5
2013,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,3794,1897,-1897,-0.5
2013,5.2.2.-robos con fuerza en viviendas,9946,4973,-4973,-0.5
2013,5.2.3.-robos con fuerza en establecimientos,4652,2326,-2326,-0.5
2013,5.3.-robos con violencia o intimidacion,12786,6393,-6393,-0.5
2013,5.3.1.-robos con violencia en via publica,8146,4073,-4073,-0.5
2013,5.3.2.-robos con violencia en viviendas,1190,595,-595,-0.5
2013,5.3.3.-robos con violencia en establecimientos,1940,970,-970,-0.5
2013,5.4.-sustraccion de vehiculos,2888,1444,-1444,-0.5
2013,5.5.-estafas,6538,3269,-3269,-0.5
2013,5.5.1.-estafas informaticas,1174,587,-587,-0.5
2013,5.6.-danos,3672,1836,-1836,-0.5
2013,5.7.-contra la propiedad intelectual/industrial,3764,1882,-1882,-0.5
2013,5.8.-blanqueo de capitales,354,177,-177,-0.5
2013,5.9.-otros contra el patrimonio,6786,3393,-3393,-0.5
2013,6. seguridad colectiva,35148,17574,-17574,-0.5
2013,6.1.-trafico de drogas,14718,7359,-7359,-0.5
2013,6.2.-contra la seguridad vial,19670,9835,-9835,-0.5
2013,6.3.-otros contra la seguridad colectiva,760,380,-380,-0.5
2013,7. falsedades,12728,6364,-6364,-0.5
2013,8. admon. publica,92,46,-46,-0.5
2013,9. admon. justicia,8592,4296,-4296,-0.5
2013,total infracciones penales,248788,124394,-124394,-0.5
2014,1. contra las personas,43222,21611,-21611,-0.5
2014,1.1.-homicidios dolosos/asesinatos,396,198,-198,-0.5
2014,1.1.1.-homicidios dolosos/asesinatos consumados,148,74,-74,-0.5
2014,1.2.-lesiones,12726,6363,-6363,-0.5
2014,1.3.-malos tratos ambito familiar,25602,12801,-12801,-0.5
2014,1.4.-otros contra las personas,4498,2249,-2249,-0.5
2014,10. orden publico,13616,6808,-6808,-0.5
2014,11. legislacion especial,110,55,-55,-0.5
2014,12. otras infracciones penales,3132,1566,-1566,-0.5
2014,2. contra la libertad,10238,5119,-5119,-0.5
2014,2.1.-malos tratos habituales en el ambito familiar,4464,2232,-2232,-0.5
2014,2.2.-otros contra la libertad,5774,2887,-2887,-0.5
2014,3. libertad sexual,3368,1684,-1684,-0.5
2014,3.1.-agresion sexual,1636,818,-818,-0.5
2014,3.2.-agresion sexual con penetracion,738,369,-369,-0.5
2014,3.3.-corrupcion de menores o incapacitados,84,42,-42,-0.5
2014,3.4.-pornografia de menores,98,49,-49,-0.5
2014,3.5.-otros contra la libertad sexual,812,406,-406,-0.5
2014,4. relaciones familiares,1092,546,-546,-0.5
2014,5. patrimonio,91166,45583,-45583,-0.5
2014,5.1.-hurtos,40434,20217,-20217,-0.5
2014,5.2.-robos con fuerza en las cosas,20252,10126,-10126,-0.5
2014,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,2558,1279,-1279,-0.5
2014,5.2.2.-robos con fuerza en viviendas,8470,4235,-4235,-0.5
2014,5.2.3.-robos con fuerza en establecimientos,3738,1869,-1869,-0.5
2014,5.3.-robos con violencia o intimidacion,9286,4643,-4643,-0.5
2014,5.3.1.-robos con violencia en via publica,5774,2887,-2887,-0.5
2014,5.3.2.-robos con violencia en viviendas,966,483,-483,-0.5
2014,5.3.3.-robos con violencia en establecimientos,1528,764,-764,-0.5
2014,5.4.-sustraccion de vehiculos,2418,1209,-1209,-0.5
2014,5.5.-estafas,5560,2780,-2780,-0.5
2014,5.5.1.-estafas informaticas,946,473,-473,-0.5
2014,5.6.-danos,3318,1659,-1659,-0.5
2014,5.7.-contra la propiedad intelectual/industrial,2968,1484,-1484,-0.5
2014,5.8.-blanqueo de capitales,342,171,-171,-0.5
2014,5.9.-otros contra el patrimonio,6588,3294,-3294,-0.5
2014,6. seguridad colectiva,29898,14949,-14949,-0.5
2014,6.1.-trafico de drogas,12392,6196,-6196,-0.5
2014,6.2.-contra la seguridad vial,16728,8364,-8364,-0.5
2014,6.3.-otros contra la seguridad colectiva,778,389,-389,-0.5
2014,7. falsedades,12670,6335,-6335,-0.5
2014,8. admon. publica,106,53,-53,-0.5
2014,9. admon. justicia,7380,3690,-3690,-0.5
2014,total infracciones penales,215998,107999,-107999,-0.5
2015,1. contra las personas,39846,19923,-19923,-0.5
2015,1.1.-homicidios dolosos/asesinatos,460,230,-230,-0.5
2015,1.1.1.-homicidios dolosos/asesinatos consumados,182,91,-91,-0.5
2015,1.2.-lesiones,11902,5951,-5951,-0.5
2015,1.3.-malos tratos ambito familiar,24860,12430,-12430,-0.5
2015,1.4.-otros contra las personas,2624,1312,-1312,-0.5
2015,10. orden publico,11146,5573,-5573,-0.5
2015,11. legislacion especial,136,68,-68,-0.5
2015,12. otras infracciones penales,2808,1404,-1404,-0.5
2015,2. contra la libertad,10664,5332,-5332,-0.5
2015,2.1.-malos tratos habituales en el ambito familiar,4072,2036,-2036,-0.5
2015,2.2.-otros contra la libertad,6592,3296,-3296,-0.5
2015,3. libertad sexual,2992,1496,-1496,-0.5
2015,3.1.-agresion sexual,1510,755,-755,-0.5
2015,3.2.-agresion sexual con penetracion,682,341,-341,-0.5
2015,3.3.-corrupcion de menores o incapacitados,72,36,-36,-0.5
