ano,det_ext,det_ext_sum,diff,rel_diff
2010,108038,209996,-101958,-0.48552353378159585
2011,135499,263645,-128146,-0.48605511198771073
2012,128981,251918,-122937,-0.48800403305837614
2013,124394,243384,-118990,-0.4888982020182099
2014,107999,209009,-101010,-0.48328062427933727
2015,91808,175317,-83509,-0.4763314453247546
2016,90201,173774,-83573,-0.4809292529377237
2017,92011,176004,-83993,-0.4772221085884411
2018,99499,189967,-90468,-0.4762300820668853
2019,107676,206282,-98606,-0.47801553213562015
2020,131108,252346,-121238,-0.48044351802683616
2021,145297,281264,-135967,-0.4834141589396439
2022,172314,336683,-164369,-0.48820106747296416
2023,197096,386896,-189800,-0.4905711095488194
