window,var,mode,test,n_obs,stat,cv_1pct,cv_5pct,cv_10pct,reject_1pct,reject_5pct,reject_10pct,za_break_index,za_break_year
con_covid_2010_2023,tasa_hc_por_100k,level,"ADF(drift,lag<=1,tau2)",14,NA,-3.75,-3,-2.63,FALSE,FALSE,FALSE,NA,NA
con_covid_2010_2023,tasa_hc_por_100k,level,"ADF(trend,lag<=1,tau3)",14,NA,-4.38,-3.6,-3.24,FALSE,FALSE,FALSE,NA,NA
con_covid_2010_2023,tasa_hc_por_100k,level,"PP(Z-tau,const,long)",14,-1.3498461005492977,-4.068038461538461,-3.1221828402366865,-2.7042242603550295,FALSE,FALSE,FALSE,NA,NA
con_covid_2010_2023,tasa_hc_por_100k,level,"PP(Z-tau,trend,long)",14,-0.5343969523176246,-4.887048520710059,-3.828795266272189,-3.358752071005917,FALSE,FALSE,FALSE,NA,NA
con_covid_2010_2023,tasa_hc_por_100k,level,KPSS(mu: level),14,0.14317181614435173,0.739,0.463,0.347,FALSE,FALSE,FALSE,NA,NA
con_covid_2010_2023,tasa_hc_por_100k,level,KPSS(tau: trend),14,0.1368949991050465,0.216,0.146,0.119,FALSE,FALSE,TRUE,NA,NA
con_covid_2010_2023,tasa_hc_por_100k,level,"ERS(DF-GLS,const)",14,-1.53640258666852,NA,NA,NA,NA,NA,NA,NA,NA
con_covid_2010_2023,tasa_hc_por_100k,level,"ERS(DF-GLS,trend)",14,-1.9533258624177985,NA,NA,NA,NA,NA,NA,NA,NA
con_covid_2010_2023,tasa_hc_por_100k,level,ZA(break:both),14,-3.1246729506030584,NA,NA,NA,NA,FALSE,FALSE,NA,NA
con_covid_2010_2023,tasa_hc_por_100k,diff,"ADF(drift,lag<=1,tau2)",13,NA,-3.75,-3,-2.63,FALSE,FALSE,FALSE,NA,NA
con_covid_2010_2023,tasa_hc_por_100k,diff,"ADF(trend,lag<=1,tau3)",13,NA,-4.38,-3.6,-3.24,FALSE,FALSE,FALSE,NA,NA
con_covid_2010_2023,tasa_hc_por_100k,diff,"PP(Z-tau,const,long)",13,-2.820554523005283,-4.136541666666666,-3.1483222222222222,-2.7180444444444443,FALSE,FALSE,TRUE,NA,NA
con_covid_2010_2023,tasa_hc_por_100k,diff,"PP(Z-tau,trend,long)",13,-3.9164274861827506,-4.989327777777778,-3.873002777777778,-3.3820388888888884,FALSE,TRUE,TRUE,NA,NA
con_covid_2010_2023,tasa_hc_por_100k,diff,KPSS(mu: level),13,0.2731018831970218,0.739,0.463,0.347,FALSE,FALSE,FALSE,NA,NA
con_covid_2010_2023,tasa_hc_por_100k,diff,KPSS(tau: trend),13,0.10702148637663934,0.216,0.146,0.119,FALSE,FALSE,FALSE,NA,NA
con_covid_2010_2023,tasa_hc_por_100k,diff,"ERS(DF-GLS,const)",13,-2.104708478832826,NA,NA,NA,NA,NA,NA,NA,NA
con_covid_2010_2023,tasa_hc_por_100k,diff,"ERS(DF-GLS,trend)",13,-2.759504913965602,NA,NA,NA,NA,NA,NA,NA,NA
con_covid_2010_2023,tasa_he_por_100k,level,"ADF(drift,lag<=1,tau2)",14,NA,-3.75,-3,-2.63,FALSE,FALSE,FALSE,NA,NA
con_covid_2010_2023,tasa_he_por_100k,level,"ADF(trend,lag<=1,tau3)",14,NA,-4.38,-3.6,-3.24,FALSE,FALSE,FALSE,NA,NA
con_covid_2010_2023,tasa_he_por_100k,level,"PP(Z-tau,const,long)",14,-0.8206897737933948,-4.068038461538461,-3.1221828402366865,-2.7042242603550295,FALSE,FALSE,FALSE,NA,NA
con_covid_2010_2023,tasa_he_por_100k,level,"PP(Z-tau,trend,long)",14,0.4389004395808732,-4.887048520710059,-3.828795266272189,-3.358752071005917,FALSE,FALSE,FALSE,NA,NA
con_covid_2010_2023,tasa_he_por_100k,level,KPSS(mu: level),14,0.14081859036640218,0.739,0.463,0.347,FALSE,FALSE,FALSE,NA,NA
con_covid_2010_2023,tasa_he_por_100k,level,KPSS(tau: trend),14,0.14162298020874553,0.216,0.146,0.119,FALSE,FALSE,TRUE,NA,NA
con_covid_2010_2023,tasa_he_por_100k,level,"ERS(DF-GLS,const)",14,-1.4123337863742862,NA,NA,NA,NA,NA,NA,NA,NA
con_covid_2010_2023,tasa_he_por_100k,level,"ERS(DF-GLS,trend)",14,-1.5399076293189091,NA,NA,NA,NA,NA,NA,NA,NA
con_covid_2010_2023,tasa_he_por_100k,level,ZA(break:both),14,-2.85121863910429,NA,NA,NA,NA,FALSE,FALSE,NA,NA
con_covid_2010_2023,tasa_he_por_100k,diff,"ADF(drift,lag<=1,tau2)",13,NA,-3.75,-3,-2.63,FALSE,FALSE,FALSE,NA,NA
