var1,var2,corr_pearson
hc_total,hc_total,1
hc_total,he_total,0.93063978205188
hc_total,det_tot,0.6480076349018841
hc_total,det_ext,0.629657263768292
hc_total,poblacion_total,0.4921915711849702
hc_total,tasa_hc_100k,0.9904856131341858
hc_total,tasa_he_100k,0.9327819699925256
hc_total,tasa_det_tot_100k,0.6412182412937543
hc_total,tasa_det_ext_100k,0.6302291437868414
hc_total,pct_extranjeros,0.6478651850030945
hc_total,det_share_ext,0.4851558590451966
he_total,hc_total,0.93063978205188
he_total,he_total,1
he_total,det_tot,0.819291445431127
he_total,det_ext,0.78903238417241806
he_total,poblacion_total,0.6028422943367454
he_total,tasa_hc_100k,0.8983975008052026
he_total,tasa_he_100k,0.9912313089886028
he_total,tasa_det_tot_100k,0.815074414171034
he_total,tasa_det_ext_100k,0.791748368015798
he_total,pct_extranjeros,0.7274477013357245
he_total,det_share_ext,0.6178459830167837
det_tot,hc_total,0.6480076349018841
det_tot,he_total,0.819291445431127
det_tot,det_tot,1
det_tot,det_ext,0.9242692330267568
det_tot,poblacion_total,0.7619668161556881
det_tot,tasa_hc_100k,0.5718242055366517
det_tot,tasa_he_100k,0.7694902983143628
det_tot,tasa_det_tot_100k,0.9973374384718496
det_tot,tasa_det_ext_100k,0.9278596684836912
det_tot,pct_extranjeros,0.7357619235089083
det_tot,det_share_ext,0.6982302733599245
det_ext,hc_total,0.629657263768292
det_ext,he_total,0.78903238417241806
det_ext,det_tot,0.9242692330267568
det_ext,det_ext,1
det_ext,poblacion_total,0.900778622363158
det_ext,tasa_hc_100k,0.5314012069056154
det_ext,tasa_he_100k,0.7138067326612295
det_ext,tasa_det_tot_100k,0.8997219247897124
det_ext,tasa_det_ext_100k,0.9995808817518284
det_ext,pct_extranjeros,0.9143051322106172
det_ext,det_share_ext,0.9140776918958412
poblacion_total,hc_total,0.4921915711849702
poblacion_total,he_total,0.6028422943367454
poblacion_total,det_tot,0.7619668161556881
poblacion_total,det_ext,0.900778622363158
poblacion_total,poblacion_total,1
poblacion_total,tasa_hc_100k,0.3681104290576238
poblacion_total,tasa_he_100k,0.49263616347648265
poblacion_total,tasa_det_tot_100k,0.7134256958239706
poblacion_total,tasa_det_ext_100k,0.8890480490164312
poblacion_total,pct_extranjeros,0.8628823545741457
poblacion_total,det_share_ext,0.8694165845146513
tasa_hc_100k,hc_total,0.9904856131341858
tasa_hc_100k,he_total,0.8983975008052026
tasa_hc_100k,det_tot,0.5718242055366517
tasa_hc_100k,det_ext,0.5314012069056154
tasa_hc_100k,poblacion_total,0.3681104290576238
tasa_hc_100k,tasa_hc_100k,1
tasa_hc_100k,tasa_he_100k,0.9181290810850136
tasa_hc_100k,tasa_det_tot_100k,0.5723115466207181
tasa_hc_100k,tasa_det_ext_100k,0.5340284628866356
tasa_hc_100k,pct_extranjeros,0.5594848789038732
tasa_hc_100k,det_share_ext,0.3841884608716501
tasa_he_100k,hc_total,0.9327819699925256
tasa_he_100k,he_total,0.9912313089886028
tasa_he_100k,det_tot,0.7694902983143628
tasa_he_100k,det_ext,0.7138067326612295
tasa_he_100k,poblacion_total,0.49263616347648265
tasa_he_100k,tasa_hc_100k,0.9181290810850136
tasa_he_100k,tasa_he_100k,1
tasa_he_100k,tasa_det_tot_100k,0.7731575343234138
tasa_he_100k,tasa_det_ext_100k,0.7189410983216017
tasa_he_100k,pct_extranjeros,0.6543957587534154
tasa_he_100k,det_share_ext,0.5337943910319121
tasa_det_tot_100k,hc_total,0.6412182412937543
tasa_det_tot_100k,he_total,0.815074414171034
tasa_det_tot_100k,det_tot,0.9973374384718496
tasa_det_tot_100k,det_ext,0.8997219247897124
tasa_det_tot_100k,poblacion_total,0.7134256958239706
tasa_det_tot_100k,tasa_hc_100k,0.5723115466207181
tasa_det_tot_100k,tasa_he_100k,0.7731575343234138
tasa_det_tot_100k,tasa_det_tot_100k,1
tasa_det_tot_100k,tasa_det_ext_100k,0.9050439570776176
tasa_det_tot_100k,pct_extranjeros,0.7006482230501389
tasa_det_tot_100k,det_share_ext,0.6596962965064442
tasa_det_ext_100k,hc_total,0.6302291437868414
tasa_det_ext_100k,he_total,0.791748368015798
tasa_det_ext_100k,det_tot,0.9278596684836912
tasa_det_ext_100k,det_ext,0.9995808817518284
tasa_det_ext_100k,poblacion_total,0.8890480490164312
tasa_det_ext_100k,tasa_hc_100k,0.5340284628866356
tasa_det_ext_100k,tasa_he_100k,0.7189410983216017
tasa_det_ext_100k,tasa_det_tot_100k,0.9050439570776176
tasa_det_ext_100k,tasa_det_ext_100k,1
tasa_det_ext_100k,pct_extranjeros,0.913121940268527
tasa_det_ext_100k,det_share_ext,0.9125527623588742
pct_extranjeros,hc_total,0.6478651850030945
pct_extranjeros,he_total,0.7274477013357245
pct_extranjeros,det_tot,0.7357619235089083
pct_extranjeros,det_ext,0.9143051322106172
pct_extranjeros,poblacion_total,0.8628823545741457
pct_extranjeros,tasa_hc_100k,0.5594848789038732
pct_extranjeros,tasa_he_100k,0.6543957587534154
pct_extranjeros,tasa_det_tot_100k,0.7006482230501389
pct_extranjeros,tasa_det_ext_100k,0.913121940268527
pct_extranjeros,pct_extranjeros,1
pct_extranjeros,det_share_ext,0.9625730452453556
det_share_ext,hc_total,0.4851558590451966
det_share_ext,he_total,0.6178459830167837
det_share_ext,det_tot,0.6982302733599245
det_share_ext,det_ext,0.9140776918958412
det_share_ext,poblacion_total,0.8694165845146513
det_share_ext,tasa_hc_100k,0.3841884608716501
det_share_ext,tasa_he_100k,0.5337943910319121
det_share_ext,tasa_det_tot_100k,0.6596962965064442
det_share_ext,tasa_det_ext_100k,0.9125527623588742
det_share_ext,pct_extranjeros,0.9625730452453556
det_share_ext,det_share_ext,1
