var,n_na,min,max
ano,0,2010,2023
poblacion_total,0,46384379,48320520
pct_extranjeros,0,0.09446665848179188,0.13008059515915807
hc_total,0,1766779,2464759
he_total,0,616665,845845
det_tot,0,1043231,1646992
det_ext,0,173774,386896
share_extranjeros,0,15.643093659406226,23.49106735187542
pib_pc_real,0,23310,27150
tasa_hc_100k,0,3731.7235673268137,5100.853633197656
tasa_he_100k,0,1302.4964150273402,1750.4881983885934
arope,0,25.3,29.2
paro_joven,0,27.063685519287,49.81760361345599
ln_pib_pc,0,10.056637732029802,10.20913232536208
ln_hc,0,14.384668672738467,14.717604591916572
ln_he,0,13.332081205680042,13.648091406672394
ln_det_tot,0,13.857833185970676,14.314461151831647
ln_det_ext,0,12.065510883384441,12.865911202046378
ln_tasa_hc,0,8.224625488303916,8.53716318376447
ln_tasa_he,0,7.172038021245492,7.467649998520291
dln_pib_pc,1,-0.12145668948915755,0.06453852113757108
dln_hc,1,-0.21906058074825377,0.17111171908472755
dln_he,1,-0.13038210600056033,0.11810218986317088
dln_det_tot,1,-0.13122912928705155,0.2842046063188768
dln_det_ext,1,-0.1757815494018331,0.2275150183433201
dln_tasa_hc,1,-0.2245051952857171,0.16197623522947424
dln_tasa_he,1,-0.1358267205380237,0.10896670600791848
d_tasa_hc_100k,1,-939.2868167265606,727.0395636013818
d_tasa_he_100k,1,-189.4915908624259,166.6528900603937
d_share_ext,1,-1.543830592854622,3.737332084471351
d_pct_extran,1,-0.00701763679705412,0.00896613281051889
pct_extranjeros_l1,1,0.09446665848179188,0.12111446234863918
share_extr_l1,1,15.643093659406226,22.44150882275112
tasa_hc_l1,1,3731.7235673268137,4934.195626981491
tasa_he_l1,1,1302.4964150273402,1614.2321960989218
pib_yoy,1,-0.1143705904196064,0.06666666666666665
pib_idx2010,0,95.10403916768666,110.77111383108937
pib_z,0,-1.367971385136697,1.4562276035326132
