variable,n,mean,sd,min,p25,p50,p75,max
det_ext,14,239748.92857142855,63037.852301935694,173774,194045.75,226690,260820.25,386896
det_share_ext,14,0.18615046927302856,0.026048091323738,0.15643093659406226,0.16359060653087842,0.1814777830128512,0.2061979295518348,0.2349106735187542
det_tot,14,1272361.2857142857,171612.99300928353,1043231,1130682.75,1246034.5,1366995.5,1646992
hc_total,14,6731427.857142857,587160.1895923564,5622679,6325170,6708187,7070349.5,7960282
he_total,14,2096694.4285714289,179728.28288353432,1827863,1963167.5,2100286,2168240.5,2532191
pct_extranjeros,14,0.10779411935019367,0.01065787670669883,0.09446665848179188,0.09803823007558364,0.1083881328430574,0.11326813364798911,0.13008059515915807
poblacion_total,14,46927205.71428572,580159.3218323644,46384379,46523466.5,46725820,47280583.5,48320520
tasa_det_ext_100k,14,509.5982889860149,127.0893580357302,374.29432378933853,414.50565281370416,486.746595670806,557.8017827846004,800.686747576392
tasa_det_tot_100k,14,2708.582213086505,338.07341021257145,2240.4969253894815,2433.2049128521626,2661.0544824680956,2926.723416556277,3408.473253185189
tasa_hc_100k,14,14339.49738728591,1161.030961604746,11876.009243835,13627.131683552558,14380.497147616765,15127.136518857937,16473.916257523717
tasa_he_100k,14,4466.003279287647,348.11910393342987,3860.742874431205,4224.771459095651,4492.09711304948,4638.989536849099,5240.4051115343955
