ano,poblacion_total,pct_extranjeros,hc_total,he_total,det_tot,det_ext,share_extranjeros,pib_pc_real,arope,paro_joven,tasa_hc_100k,tasa_he_100k
2010,46562483,0.11498059499962664,2297484,724995,1043231,209996,20.129386492540963,24510,26.1,37.44782597764089,4934.195626981491,1557.0368100859223
2011,46736257,0.1127488236809379,2285525,736175,1386146,263645,19.02000222198816,24260,26.7,40.88814006826859,4890.261109271117,1575.1689314786163
2012,46749303,0.109877167580445,2268867,728929,1369422,251918,18.39593638776067,23560,27.2,47.501222658318696,4853.263801601492,1559.2296638091054
2013,46581124,0.10439185623773269,2172133,736368,1359716,243384,17.899620214809563,23310,27.3,49.81760361345599,4663.118476917818,1580.8291787892451
2014,46433050,0.09737421944067856,2092040,715357,1277890,209009,16.35578962195494,23730,29.2,47.02106768573589,4505.497700452587,1540.620312471397
2015,46384379,0.09516925946125096,2036815,659787,1120731,175317,15.643093659406226,24720,28.6,44.231117660547,4391.1658276162325,1422.4336171451168
2016,46427100,0.09446665848179188,2009690,641353,1086148,173774,15.999108777072738,25420,27.9,40.35349424936559,4328.700263423733,1381.4194726786725
2017,46510461,0.0956945578329142,2045784,654821,1107278,176004,15.895195244554664,26110,26.6,35.9262481406745,4398.54595292014,1407.9004721109943
2018,46715383,0.10003026198029888,2131118,673594,1160538,189967,16.368873746486543,26620,26.1,32.249820263426095,4561.9191434222,1441.9104730448212
2019,47087778,0.1068990981056698,2199475,702544,1210154,206282,17.04592969159297,26930,25.3,30.1071712659609,4671.010384053374,1491.988005889766
