ano,poblacion_total,pct_extranjeros,hc_total,he_total,det_tot,det_ext,share_extranjeros,pib_pc_real,tasa_hc_100k,tasa_he_100k,arope,paro_joven,ln_pib_pc,ln_hc,ln_he,ln_det_tot,ln_det_ext,ln_tasa_hc,ln_tasa_he,dln_pib_pc,dln_hc,dln_he,dln_det_tot,dln_det_ext,dln_tasa_hc,dln_tasa_he,d_tasa_hc_100k,d_tasa_he_100k,d_share_ext,d_pct_extran,pct_extranjeros_l1,share_extr_l1,tasa_hc_l1,tasa_he_l1,pib_yoy,pib_idx2010,pib_z
2010,46562483,0.11498059499962664,2297484,724995,1043231,209996,20.129386492540963,24510,4934.195626981491,1557.0368100859223,26.1,37.44782597764089,10.106836476522158,14.647325169096328,13.493920037261306,13.857833185970676,12.25484376189915,8.50394494506324,7.35053981322822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,-0.48540920117753766
2011,46736257,0.1127488236809379,2285525,736175,1386146,263645,19.02000222198816,24260,4890.261109271117,1575.1689314786163,26.7,40.88814006826859,10.096584182498042,14.642106315219598,13.509223141186924,14.142037792289551,12.48235878024247,8.49500097762233,7.3621178035896575,-0.01025229402411653,-0.0052188538767286,0.01530310392561773,0.2842046063188768,0.2275150183433201,-0.00894396744090997,0.01157799036143725,-43.934517710374166,18.13212139269376,-1.109384270552802,-0.00223177131868873,0.11498059499962664,20.129386492540963,4934.195626981491,1557.0368100859223,-0.01019991840065281,98.98000815993473,-0.6692763228356959
2012,46749303,0.109877167580445,2268867,728929,1369422,251918,18.39593638776067,23560,4853.263801601492,1559.2296638091054,27.2,47.501222658318696,10.067305637765523,14.634791145913532,13.499331612557736,14.129899310970169,12.43685891671513,8.48740670638684,7.351947173031045,-0.02927854473251834,-0.00731516930606623,-0.00989152862918807,-0.01213848131938455,-0.04549986352733981,-0.00759427123549016,-0.01017063055861289,-36.99730766962512,-15.939267669510857,-0.6240658342274905,-0.0028716561004929,0.1127488236809379,19.02000222198816,4890.261109271117,1575.1689314786163,-0.02885408079142626,96.12403100775194,-1.1841042634785388
2013,46581124,0.10439185623773269,2172133,736368,1359716,243384,17.899620214809563,23310,4663.118476917818,1580.8291787892451,27.3,49.81760361345599,10.056637732029802,14.591220192047064,13.509485272752665,14.122786412376154,12.402395721959945,8.447439704359837,7.365704785065437,-0.01066790573572085,-0.04357095386646748,0.0101536601949288,-0.00711289859401276,-0.03446319475518678,-0.03996700202700332,0.01375761203439207,-190.1453246836736,21.599514980139706,-0.49631617295110786,-0.00548531134271231,0.109877167580445,18.39593638776067,4853.263801601492,1559.2296638091054,-0.01061120543293714,95.10403916768666,-1.367971385136697
2014,46433050,0.09737421944067856,2092040,715357,1277890,209009,16.35578962195494,23730,4505.497700452587,1540.620312471397,29.2,47.02106768573589,10.074495349429808,14.553650224443048,13.480536997766327,14.06072083822773,12.250132592220757,8.413053641288231,7.339940414611512,0.01785761740000602,-0.03756996760401598,-0.02894827498633745,-0.06206557414842351,-0.15226312973918787,-0.03438606307160619,-0.02576437045392499,-157.62077646523085,-40.208866317848106,-1.543830592854622,-0.00701763679705412,0.10439185623773269,17.899620214809563,4663.118476917818,1580.8291787892451,0.01801801801801805,96.81762545899632,-1.0590746207509911
2015,46384379,0.09516925946125096,2036815,659787,1120731,175317,15.643093659406226,24720,4391.1658276162325,1422.4336171451168,28.6,44.231117660547,10.115367911571628,14.526897871251483,13.399672334642228,13.92949170894068,12.074351042818922,8.387350035190513,7.260124498581256,0.04087256214181956,-0.02675235319156499,-0.08086466312409968,-0.13122912928705155,-0.1757815494018331,-0.02570360609771782,-0.07981591603025517,-114.3318728363547,-118.1866953262802,-0.7126959625487146,-0.0022049599794276,0.09737421944067856,16.35578962195494,4505.497700452587,1540.620312471397,0.04171934260429832,100.85679314565483,-0.33096081898468477
2016,46427100,0.09446665848179188,2009690,641353,1086148,173774,15.999108777072738,25420,4328.700263423733,1381.4194726786725,27.9,40.35349424936559,10.143291544743445,14.513491039285045,13.371335286350174,13.898148050117088,12.065510883384441,8.373022605826478,7.230866852891609,0.02792363317181667,-0.01340683196643866,-0.02833704829205352,-0.03134365882359091,-0.00884015943448091,-0.01432742936403563,-0.02925764568964783,-62.46556419249919,-41.01414446644435,0.3560151176665123,-7.02600979459081e-4,0.09516925946125096,15.643093659406226,4391.1658276162325,1422.4336171451168,0.02831715210355989,103.71277029783762,0.18386712165815824
2017,46510461,0.0956945578329142,2045784,654821,1107278,176004,15.895195244554664,26110,4398.54595292014,1407.9004721109943,26.6,35.9262481406745,10.170073661693175,14.531291648073102,13.39211719482619,13.91741530934108,12.078262001034757,8.389029300045259,7.249854846798345,0.02678211694973065,0.01780060878805756,0.02078190847601568,0.01926725922399086,0.01275111765031411,0.01600669421878109,0.01898799390673655,69.84568949640652,26.48099943232205,-0.10391353251807443,0.00122789935112231,0.09446665848179188,15.999108777072738,4328.700263423733,1381.4194726786725,0.02714398111723048,106.5279477764178,0.6913403774346749
2018,46715383,0.10003026198029888,2131118,673594,1160538,189967,16.368873746486543,26620,4561.9191434222,1441.9104730448212,26.1,32.249820263426095,10.189418091949102,14.572157282612013,13.420382834507162,13.964394248667215,12.154605651847248,8.42549867875526,7.27372423065041,0.01934443025592713,0.04086563453890868,0.0282656396809724,0.04697893932613795,0.07634365081249328,0.03646937871000055,0.02386938385206516,163.37319050206042,34.01000093382663,0.4736785019318788,0.00433570414738468,0.0956945578329142,15.895195244554664,4398.54595292014,1407.9004721109943,0.01953274607430111,108.60873113015096,1.0664293056173175
2019,47087778,0.1068990981056698,2199475,702544,1210154,206282,17.04592969159297,26930,4671.010384053374,1491.988005889766,25.3,30.1071712659609,10.200996185805645,14.60372925348672,13.462463311680605,14.00625818220171,12.236999443677329,8.449130683589633,7.307864741783516,0.01157809385654218,0.03157197087470997,0.04208047717344065,0.04186393353449347,0.08239379183007856,0.02363200483437388,0.03414051113310545,109.0912406311736,50.077532844944926,0.677055945106428,0.00686883612537092,0.10003026198029888,16.368873746486543,4561.9191434222,1441.9104730448212,0.01164537941397436,109.87352101183193,1.294424536473434
