col,type,n_na
ano,double,0
poblacion_total,double,0
pct_extranjeros,double,0
hc_total,double,0
he_total,double,0
det_tot,double,0
det_ext,double,0
share_extranjeros,double,0
pib_pc_real,double,0
tasa_hc_100k,double,0
tasa_he_100k,double,0
arope,double,0
paro_joven,double,0
ln_pib_pc,double,0
ln_hc,double,0
ln_he,double,0
ln_det_tot,double,0
ln_det_ext,double,0
ln_tasa_hc,double,0
ln_tasa_he,double,0
dln_pib_pc,double,1
dln_hc,double,1
dln_he,double,1
dln_det_tot,double,1
dln_det_ext,double,1
dln_tasa_hc,double,1
dln_tasa_he,double,1
d_tasa_hc_100k,double,1
d_tasa_he_100k,double,1
d_share_ext,double,1
d_pct_extran,double,1
pct_extranjeros_l1,double,1
share_extr_l1,double,1
tasa_hc_l1,double,1
tasa_he_l1,double,1
pib_yoy,double,1
pib_idx2010,double,0
pib_z,double,0
