ano,tasa_hc_100k,tasa_hc_chk,tasa_hc_err,tasa_he_100k,tasa_he_chk,tasa_he_err,share_extranjeros,share_chk,share_err
2010,4934.195626981491,4934.195626981491,0,1557.0368100859223,1557.0368100859223,1.4602973672194994e-16,20.129386492540963,20.129386492540963,0
2011,4890.261109271117,4890.261109271117,0,1575.1689314786163,1575.1689314786163,0,19.02000222198816,19.02000222198816,0
2012,4853.263801601492,4853.263801601492,0,1559.2296638091054,1559.2296638091054,0,18.39593638776067,18.39593638776067,1.9312491649863606e-16
2013,4663.118476917818,4663.118476917818,0,1580.8291787892451,1580.8291787892451,0,17.899620214809563,17.899620214809563,0
2014,4505.497700452587,4505.497700452587,0,1540.620312471397,1540.620312471397,0,16.35578962195494,16.35578962195494,0
2015,4391.1658276162325,4391.1658276162325,0,1422.4336171451168,1422.4336171451168,0,15.643093659406226,15.643093659406226,0
2016,4328.700263423733,4328.700263423733,0,1381.4194726786725,1381.4194726786725,0,15.999108777072738,15.999108777072738,0
2017,4398.54595292014,4398.54595292014,0,1407.9004721109943,1407.9004721109943,1.6149840130553391e-16,15.895195244554664,15.895195244554664,0
2018,4561.9191434222,4561.9191434222,0,1441.9104730448212,1441.9104730448212,0,16.368873746486543,16.368873746486543,0
2019,4671.010384053374,4671.010384053374,0,1491.988005889766,1491.988005889766,0,17.04592969159297,17.04592969159297,0
2020,3731.7235673268137,3731.7235673268137,1.2185987056169282e-16,1302.4964150273402,1302.4964150273402,0,20.78326177606432,20.78326177606432,0
2021,4134.8465185720115,4134.8465185720115,0,1447.579306038528,1447.579306038528,0,21.141882973381723,21.141882973381723,0
2022,4861.886082173393,4861.886082173393,0,1614.2321960989218,1614.2321960989218,0,22.44150882275112,22.44150882275112,0
2023,5100.853633197656,5100.853633197656,0,1750.4881983885934,1750.4881983885934,0,23.49106735187542,23.49106735187542,0
