ano,hc_total,poblacion_total,tasa_calc_ok,tasa_calc_miles,tasa_file,ratio_ok,ratio_miles
2010,2297484,46562483,4934.195626981491,4.934195626981491,4934.195626981491,1,1000
2011,2285525,46736257,4890.261109271117,4.890261109271117,4890.261109271117,1,1000
2012,2268867,46749303,4853.263801601492,4.853263801601491,4853.263801601492,1,1000
2013,2172133,46581124,4663.118476917818,4.663118476917818,4663.118476917818,1,1000
2014,2092040,46433050,4505.497700452587,4.505497700452588,4505.497700452587,1,1000
2015,2036815,46384379,4391.1658276162325,4.391165827616232,4391.1658276162325,1,1000
2016,2009690,46427100,4328.700263423733,4.328700263423733,4328.700263423733,1,1000
2017,2045784,46510461,4398.54595292014,4.39854595292014,4398.54595292014,1,1000
2018,2131118,46715383,4561.9191434222,4.5619191434222,4561.9191434222,1,1000
2019,2199475,47087778,4671.010384053374,4.671010384053374,4671.010384053374,1,1000
2020,1766779,47344852,3731.7235673268137,3.7317235673268128,3731.7235673268137,1.0000000000000002,1000.0000000000002
2021,1957719,47346836,4134.846518572012,4.1348465185720125,4134.8465185720115,0.9999999999999998,999.9999999999998
2022,2323075,47781354,4861.886082173393,4.861886082173394,4861.886082173393,1,1000
2023,2464759,48320520,5100.853633197656,5.100853633197656,5100.853633197656,1,1000
