delito_busqueda,sugerido,distancia
Agresiones sexuales (total),3.1.-agresion sexual,15
Agresiones sexuales (total),3. libertad sexual,19
Agresiones sexuales (total),4. relaciones familiares,19
Agresiones sexuales (total),8. admon. publica,19
Agresiones sexuales (total),9. admon. justicia,19
Homicidios dolosos y asesinatos consumados,1.1.1.-homicidios dolosos/asesinatos consumados,10
Homicidios dolosos y asesinatos consumados,1.1.-homicidios dolosos/asesinatos,19
Homicidios dolosos y asesinatos consumados,5.2.-robos con fuerza en las cosas,28
Homicidios dolosos y asesinatos consumados,1.3.-malos tratos ambito familiar,30
Homicidios dolosos y asesinatos consumados,1.4.-otros contra las personas,30
Lesiones graves,1.2.-lesiones,11
Lesiones graves,5.5.-estafas,11
Lesiones graves,7. falsedades,11
Lesiones graves,5.1.-hurtos,13
Lesiones graves,5.6.-danos,13
Malos tratos en el ámbito familiar,1.3.-malos tratos ambito familiar,11
Malos tratos en el ámbito familiar,2.1.-malos tratos habituales en el ambito familiar,16
Malos tratos en el ámbito familiar,4. relaciones familiares,23
Malos tratos en el ámbito familiar,5.9.-otros contra el patrimonio,25
Malos tratos en el ámbito familiar,1. contra las personas,26
Robos con violencia e intimidación,5.3.-robos con violencia o intimidacion,6
Robos con violencia e intimidación,5.3.2.-robos con violencia en viviendas,17
Robos con violencia e intimidación,5.3.1.-robos con violencia en via publica,19
Robos con violencia e intimidación,5.3.3.-robos con violencia en establecimientos,20
Robos con violencia e intimidación,5.2.-robos con fuerza en las cosas,24
